,게임,캐릭터,업데이트,번역,스토리,과금,가챠,플레이,플레이어,이벤트,디펜스,피로도,스테이지,생각,말,문제,운영,정도,시간,재미,자원,전략,접속,필요,서버,오류,시작,클리어,모바일,사람,무과금,머리,부족,최고,자동,난이도,지능,광고,진행,처음,계정,돈,추천,단점,출시,시스템,콘텐츠,뉴비,리뷰,마음,육성,확률,부분,설치,평점,자체,해결,화면,등급,요소,일러스트,유도,삭제,장점,이상,보상,오역,콜라보레이션,공략,운,다운로드,감사,추가,초반,한정,매력,만족,느낌,한국,배치,기능,레벨,코스튬,밸런스,수집,사용,부탁,하루,반복,개인,전투,개선,실행,복귀,답변,소리,기대,취향,노가다,음악
게임,0.0,302.0,158.0,145.0,265.0,304.0,192.0,247.0,188.0,157.0,252.0,116.0,170.0,214.0,153.0,139.0,139.0,158.0,127.0,102.0,111.0,129.0,78.0,113.0,72.0,67.0,119.0,109.0,135.0,105.0,101.0,106.0,102.0,102.0,72.0,88.0,92.0,51.0,93.0,99.0,21.0,70.0,97.0,87.0,71.0,66.0,64.0,61.0,60.0,74.0,67.0,54.0,76.0,37.0,50.0,96.0,47.0,50.0,65.0,59.0,70.0,76.0,35.0,67.0,64.0,44.0,28.0,34.0,52.0,37.0,32.0,48.0,42.0,48.0,36.0,65.0,61.0,61.0,39.0,44.0,32.0,38.0,37.0,54.0,59.0,40.0,36.0,35.0,34.0,51.0,26.0,33.0,32.0,24.0,32.0,22.0,43.0,44.0,38.0,42.0
캐릭터,302.0,0.0,30.0,21.0,128.0,90.0,87.0,87.0,66.0,57.0,74.0,33.0,88.0,77.0,43.0,28.0,32.0,60.0,35.0,49.0,56.0,65.0,8.0,47.0,15.0,7.0,43.0,53.0,26.0,36.0,36.0,39.0,37.0,23.0,30.0,50.0,30.0,10.0,38.0,35.0,3.0,13.0,30.0,42.0,25.0,36.0,27.0,25.0,18.0,39.0,45.0,29.0,30.0,8.0,8.0,23.0,9.0,5.0,43.0,31.0,41.0,30.0,3.0,30.0,24.0,11.0,7.0,8.0,25.0,15.0,3.0,14.0,16.0,18.0,15.0,50.0,19.0,24.0,13.0,25.0,11.0,17.0,21.0,28.0,21.0,13.0,9.0,9.0,15.0,23.0,17.0,12.0,1.0,6.0,3.0,6.0,13.0,11.0,18.0,15.0
업데이트,158.0,30.0,0.0,58.0,31.0,28.0,21.0,77.0,45.0,40.0,17.0,10.0,15.0,37.0,35.0,42.0,35.0,25.0,17.0,13.0,10.0,14.0,40.0,14.0,23.0,48.0,17.0,13.0,28.0,15.0,10.0,6.0,4.0,6.0,11.0,6.0,5.0,8.0,14.0,10.0,6.0,12.0,12.0,9.0,14.0,8.0,9.0,6.0,17.0,8.0,4.0,4.0,17.0,22.0,16.0,11.0,21.0,11.0,4.0,8.0,7.0,8.0,23.0,8.0,10.0,12.0,22.0,12.0,2.0,13.0,21.0,12.0,7.0,2.0,2.0,7.0,7.0,3.0,10.0,4.0,8.0,3.0,7.0,7.0,4.0,10.0,24.0,11.0,7.0,6.0,3.0,11.0,12.0,6.0,11.0,4.0,12.0,5.0,4.0,5.0
번역,145.0,21.0,58.0,0.0,37.0,23.0,18.0,32.0,49.0,42.0,13.0,3.0,10.0,35.0,46.0,99.0,59.0,31.0,16.0,5.0,5.0,4.0,1.0,4.0,35.0,70.0,15.0,5.0,9.0,18.0,6.0,6.0,7.0,5.0,2.0,4.0,3.0,13.0,17.0,12.0,3.0,27.0,11.0,5.0,15.0,9.0,12.0,9.0,10.0,9.0,3.0,4.0,21.0,1.0,30.0,20.0,23.0,0.0,7.0,6.0,3.0,8.0,3.0,6.0,9.0,8.0,33.0,41.0,4.0,3.0,2.0,11.0,7.0,3.0,4.0,8.0,11.0,5.0,19.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,6.0,2.0,6.0,0.0,17.0,0.0,2.0,10.0,7.0,12.0,4.0,1.0,0.0
스토리,265.0,128.0,31.0,37.0,0.0,83.0,61.0,74.0,55.0,68.0,51.0,27.0,53.0,65.0,31.0,30.0,27.0,63.0,34.0,37.0,40.0,33.0,4.0,34.0,17.0,12.0,27.0,36.0,26.0,32.0,40.0,38.0,42.0,14.0,21.0,38.0,19.0,8.0,51.0,18.0,1.0,13.0,25.0,46.0,17.0,25.0,21.0,26.0,10.0,21.0,24.0,19.0,31.0,3.0,8.0,25.0,5.0,5.0,18.0,28.0,28.0,24.0,5.0,23.0,18.0,19.0,8.0,3.0,23.0,12.0,3.0,14.0,16.0,21.0,14.0,27.0,21.0,17.0,12.0,11.0,8.0,10.0,18.0,16.0,16.0,8.0,3.0,5.0,6.0,23.0,9.0,14.0,2.0,7.0,3.0,4.0,14.0,9.0,8.0,18.0
과금,304.0,90.0,28.0,23.0,83.0,0.0,68.0,67.0,58.0,54.0,51.0,39.0,57.0,62.0,35.0,27.0,33.0,59.0,45.0,31.0,40.0,38.0,10.0,46.0,14.0,7.0,30.0,45.0,39.0,39.0,68.0,45.0,39.0,19.0,14.0,30.0,33.0,9.0,31.0,16.0,5.0,24.0,27.0,30.0,30.0,31.0,19.0,24.0,17.0,21.0,25.0,20.0,23.0,5.0,4.0,25.0,5.0,4.0,28.0,39.0,18.0,95.0,2.0,27.0,21.0,16.0,9.0,8.0,18.0,17.0,3.0,8.0,13.0,15.0,17.0,16.0,18.0,18.0,10.0,12.0,7.0,19.0,20.0,24.0,19.0,14.0,3.0,15.0,7.0,11.0,5.0,5.0,5.0,6.0,8.0,6.0,6.0,10.0,16.0,4.0
가챠,192.0,87.0,21.0,18.0,61.0,68.0,0.0,51.0,43.0,52.0,45.0,16.0,47.0,41.0,44.0,23.0,20.0,36.0,24.0,24.0,57.0,29.0,8.0,39.0,14.0,7.0,30.0,31.0,13.0,29.0,38.0,30.0,19.0,16.0,19.0,30.0,17.0,5.0,28.0,17.0,4.0,15.0,17.0,25.0,26.0,33.0,18.0,33.0,14.0,16.0,25.0,56.0,21.0,1.0,11.0,18.0,5.0,3.0,22.0,14.0,18.0,11.0,6.0,19.0,11.0,12.0,1.0,7.0,11.0,26.0,4.0,12.0,13.0,11.0,27.0,16.0,10.0,18.0,2.0,7.0,12.0,16.0,11.0,13.0,14.0,9.0,7.0,8.0,7.0,16.0,9.0,3.0,0.0,7.0,1.0,6.0,9.0,7.0,9.0,6.0
플레이,247.0,87.0,77.0,32.0,74.0,67.0,51.0,0.0,66.0,52.0,46.0,34.0,45.0,58.0,31.0,44.0,34.0,48.0,41.0,31.0,38.0,47.0,29.0,32.0,23.0,27.0,40.0,37.0,32.0,30.0,28.0,26.0,21.0,17.0,29.0,24.0,21.0,9.0,27.0,19.0,5.0,10.0,21.0,25.0,24.0,26.0,20.0,15.0,18.0,26.0,20.0,19.0,21.0,13.0,14.0,23.0,15.0,8.0,25.0,18.0,12.0,15.0,10.0,21.0,19.0,17.0,4.0,3.0,15.0,8.0,10.0,16.0,19.0,11.0,11.0,22.0,17.0,15.0,16.0,10.0,6.0,7.0,12.0,16.0,13.0,21.0,16.0,14.0,8.0,18.0,9.0,6.0,6.0,5.0,4.0,5.0,12.0,8.0,9.0,11.0
플레이어,188.0,66.0,45.0,49.0,55.0,58.0,43.0,66.0,0.0,52.0,34.0,21.0,38.0,57.0,51.0,48.0,53.0,45.0,31.0,25.0,22.0,19.0,18.0,20.0,24.0,25.0,36.0,27.0,27.0,30.0,26.0,20.0,22.0,15.0,13.0,23.0,16.0,18.0,26.0,24.0,13.0,21.0,13.0,22.0,31.0,20.0,25.0,24.0,22.0,21.0,19.0,13.0,25.0,9.0,14.0,19.0,15.0,9.0,18.0,14.0,12.0,14.0,2.0,17.0,15.0,23.0,11.0,16.0,12.0,14.0,4.0,10.0,12.0,10.0,16.0,13.0,19.0,15.0,20.0,11.0,5.0,11.0,6.0,9.0,15.0,10.0,9.0,6.0,3.0,17.0,3.0,13.0,3.0,21.0,15.0,9.0,15.0,9.0,8.0,6.0
이벤트,157.0,57.0,40.0,42.0,68.0,54.0,52.0,52.0,52.0,0.0,23.0,27.0,50.0,44.0,32.0,35.0,31.0,43.0,29.0,24.0,36.0,20.0,5.0,18.0,27.0,14.0,27.0,32.0,19.0,17.0,24.0,25.0,23.0,9.0,13.0,29.0,19.0,6.0,29.0,18.0,1.0,13.0,16.0,17.0,21.0,15.0,22.0,22.0,5.0,19.0,18.0,15.0,14.0,3.0,14.0,9.0,13.0,3.0,15.0,12.0,15.0,13.0,5.0,14.0,15.0,21.0,11.0,15.0,15.0,9.0,2.0,8.0,13.0,10.0,12.0,10.0,14.0,11.0,9.0,7.0,4.0,8.0,13.0,6.0,10.0,5.0,7.0,8.0,7.0,14.0,2.0,7.0,1.0,6.0,8.0,6.0,13.0,4.0,6.0,9.0
디펜스,252.0,74.0,17.0,13.0,51.0,51.0,45.0,46.0,34.0,23.0,0.0,17.0,47.0,53.0,24.0,14.0,18.0,31.0,26.0,36.0,22.0,47.0,8.0,27.0,9.0,3.0,21.0,27.0,19.0,24.0,19.0,24.0,19.0,24.0,15.0,21.0,16.0,5.0,18.0,22.0,1.0,6.0,33.0,17.0,16.0,15.0,13.0,16.0,7.0,13.0,24.0,11.0,19.0,2.0,6.0,18.0,2.0,5.0,20.0,21.0,19.0,15.0,1.0,10.0,12.0,4.0,0.0,2.0,12.0,5.0,3.0,7.0,8.0,8.0,4.0,17.0,10.0,14.0,6.0,20.0,6.0,10.0,7.0,13.0,25.0,4.0,5.0,5.0,4.0,12.0,6.0,1.0,1.0,0.0,1.0,0.0,4.0,14.0,7.0,12.0
