term,tf-idf
게임,3825.0174903827674
캐릭터,1673.3478103248456
업데이트,1473.2490651796506
번역,1435.6039476380465
스토리,1388.5713427130781
과금,1385.7504627811404
가챠,1377.4356306568122
플레이,1292.8033724025029
플레이어,1067.8416100126328
이벤트,1064.8798066616234
디펜스,1057.9938817867244
피로도,1049.1734444449628
스테이지,1047.0110973466983
생각,1019.3033550120588
말,966.8080430311563
문제,962.1679628095732
운영,942.5945005447743
정도,884.7290200669458
시간,784.5517503588186
재미,773.2040133002168
자원,768.9319956497002
전략,747.5441470208602
접속,738.2395785377631
필요,724.9446431834234
서버,702.2146984470843
오류,695.2470171230282
시작,689.9426476754523
클리어,688.166598024252
모바일,679.1957093902948
사람,676.1748974398485
무과금,647.5537377598549
머리,647.2588585588162
부족,637.6237545369788
최고,632.5825074123754
자동,620.5384925421617
난이도,608.09343588177
지능,599.0395439345065
광고,578.7578030256088
진행,567.2177930396361
처음,564.3606489021454
계정,549.825380311095
돈,535.739767968457
추천,525.751540367749
단점,515.6215749996684
출시,510.75435612309303
시스템,499.9531720137909
콘텐츠,499.9531720137909
뉴비,493.41421796420275
리뷰,492.92268711147716
마음,492.72416616077066
육성,478.9135871630906
확률,477.3385382072955
부분,473.7976572346474
설치,472.2013763277948
평점,469.10108176316885
자체,464.45302175542645
해결,464.1023257927951
화면,454.9279608587738
등급,444.1623826181509
요소,441.6860751540042
일러스트,437.28016303011793
유도,431.89829654053506
삭제,428.5016306196074
장점,416.2041862028116
이상,408.4487287880567
보상,401.777195317651
오역,401.57996326991145
콜라보레이션,397.86516176856827
공략,396.65984613431635
운,383.5831479101081
다운로드,377.9981525316626
감사,374.7758035570937
추가,373.68097265044736
초반,365.1313844982101
한정,364.35552905155174
매력,363.01733194752717
만족,359.764734091685
느낌,358.57534635876374
한국,355.498262500016
배치,351.31237397492004
기능,349.8253300592525
레벨,347.84800393256853
코스튬,344.3369745397013
밸런스,344.19962832483185
수집,341.9675879855914
사용,341.9675879855914
부탁,333.6351419682935
하루,332.02146534858196
반복,318.2345760070515
개인,312.9087530225744
전투,311.8578092659324
개선,310.1557124332246
실행,310.1557124332246
복귀,307.0366925352871
답변,306.6743777143986
소리,306.24245516759873
기대,305.9985044303935
취향,300.89733295760595
노가다,292.734633272835
음악,291.6389534819873
최근,290.97587340570936
신경,290.5620041803514
중국,290.30257291364273
인생,288.9757106214467
소모,285.52962365209527
수급,283.07093456446177
경우,281.8789748327281
회복,278.32930473936904
이유,276.2556742242729
친구,274.70481440849886
스타,272.32375534687293
방법,271.19500559099066
성능,271.19500559099066
스킬,271.19500559099066
경쟁,269.0024275838063
패키지,268.5633642221982
클라이언트,267.5461456039453
설정,267.3545243526655
불편,266.8910750980264
조금,263.23632730032216
상황,260.19531382218395
애정,248.43570663223494
기본,244.68843496250085
기간,244.68843496250085
동안,244.68843496250085
방식,240.92158687239254
수준,239.26554267068568
공지,238.69959727844133
오늘,237.13477218563847
천장,236.17709559585106
이해,235.0928100620106
스킵,233.32758488959902
설명,231.6363337351224
혜자,231.28472339749683
가요,231.28472339749683
개성,230.55582637856156
장르,229.49960215351481
합성,228.54216760701829
세계관,226.70790110246023
계속,226.70790110246023
숫자,226.17319960017429
유닛,225.99275838643558
아방가르드,223.60560218586573
오랜만,223.60560218586573
라고,222.8383408532568
조작,221.77946846979805
니다,221.1471284979482
완벽,220.74494014968658
이건,219.73366163634398
자신,218.94666999266306
로딩,218.94666999266306
속도,216.1210573957221
일본,212.74643120990217
제일,211.9226032044737
버전,210.5056721615194
조합,207.72500747557046
안드로이드,206.9941705718115
정예,206.5308889495832
디자인,205.03088506391404
애니메이션,202.5318822886812
버튼,202.5318822886812
중간,200.9668397823676
사랑,200.23710278778677
용량,199.57044764700225
팀,198.5080801311286
평가,198.06987859274918
만원,197.33875710179194
기믹,197.02981695654486
확인,197.02981695654486
초기,196.0167729868177
상태,195.10281810092044
욕,194.032324776186
한국어,192.99116375703767
던전,192.90526213027286
용문,192.86741657449934
노력,192.14563191490268
캐시,189.96853341405412
인지,188.06028644001654
성장,187.91244892132616
현상,186.95250672801342
양산,186.92572377928616
고객,186.28179214292436
결제,185.09523783427554
유튜브,184.8342487271878
필수,183.94759403547084
건지,182.83638959446054
리세마라,182.83638959446054
비교,182.83373408561462
연출,182.15256009813825
대체,181.75938154112416
그래픽,179.69996404032145
파밍,178.69194849160024
신규,177.61249274890451
존재,177.61249274890451
월정액,177.61249274890451
답,176.79513185995773
더빙,175.55125560714572
프로세스,174.99841962960187
유일,174.56567935345512
분재,174.51836710088836
데이터,173.8091587306963
메인,173.43630294772964
흥미,173.43630294772964
타워,173.43630294772964
스펙,172.6014682352452
선택,171.37313116734563
갤럭시,171.37313116734563
카페,170.31478138781657
배속,169.59346462811376
센터,168.37762252036205
서비스,167.20767235289378
보니,164.9924444694473
패치,163.94149636750117
얼마,162.92501185998844
이만,162.92501185998844
제외,161.94080221223646
이후,161.94080221223646
관련,160.72284714541613
모습,159.67010755107802
요구,159.67010755107802
공개,157.51455009969354
획득,156.42008058819096
차이,156.42008058819096
영상,155.51587890794457
가격,155.51587890794457
사실,155.36541890723558
특성,154.34777063270877
이다,153.364625634114
대부분,152.08301388935928
