,게임,캐릭터,가챠,스토리,개발자,과금,플레이,콘텐츠,번역,생각,재화,업데이트,이벤트,정도,확률,재미,운영,문제,말,서버,디펜스,피로도,시간,시작,최고,최적화,돈,필요,사람,모바일,부족,전략,접속,처음,계정,오류,추가,스테이지,화면,클리어,천장,출시,진행,마음,단점,리뷰,머리,시스템,추천,자체,감사,난이도,부분,매력,수정,다운로드,광고,삭제,해결,일러스트,요소,지능,평점,육성,느낌,이상,자동,장점,설치,기술,보상,레벨,한국,수급,전투,만족,인생,자원,사랑,유도,한정,로딩,이후,개선,소리,부탁,초반,뉴비,하루,콜라보레이션,개성,개인,이유,수집,사용,메인,리세마라,실행,일본,경우
게임,0.0,607.0,370.0,517.0,161.0,358.0,342.0,239.0,157.0,342.0,219.0,172.0,224.0,272.0,162.0,174.0,208.0,189.0,190.0,121.0,253.0,117.0,179.0,198.0,179.0,33.0,144.0,151.0,155.0,197.0,139.0,144.0,99.0,160.0,45.0,83.0,79.0,115.0,85.0,118.0,74.0,120.0,125.0,122.0,126.0,93.0,114.0,100.0,131.0,145.0,97.0,100.0,118.0,118.0,64.0,53.0,60.0,60.0,69.0,97.0,98.0,93.0,66.0,84.0,105.0,102.0,82.0,101.0,55.0,61.0,67.0,59.0,74.0,75.0,62.0,93.0,99.0,70.0,38.0,89.0,60.0,55.0,61.0,67.0,50.0,60.0,67.0,53.0,54.0,42.0,75.0,79.0,64.0,83.0,63.0,57.0,40.0,54.0,35.0,59.0
캐릭터,607.0,0.0,221.0,363.0,74.0,149.0,140.0,151.0,25.0,163.0,136.0,44.0,107.0,135.0,104.0,93.0,64.0,57.0,69.0,38.0,74.0,35.0,67.0,76.0,47.0,10.0,45.0,73.0,67.0,45.0,63.0,77.0,15.0,62.0,12.0,14.0,41.0,65.0,15.0,63.0,42.0,52.0,55.0,77.0,78.0,36.0,42.0,67.0,53.0,51.0,35.0,62.0,61.0,118.0,24.0,8.0,15.0,9.0,14.0,75.0,59.0,31.0,15.0,61.0,51.0,46.0,41.0,66.0,9.0,54.0,25.0,38.0,22.0,50.0,49.0,42.0,22.0,45.0,23.0,43.0,35.0,11.0,16.0,29.0,12.0,14.0,31.0,27.0,20.0,12.0,94.0,48.0,24.0,34.0,24.0,38.0,19.0,1.0,11.0,44.0
가챠,370.0,221.0,0.0,153.0,49.0,127.0,80.0,94.0,20.0,100.0,146.0,31.0,85.0,86.0,234.0,43.0,34.0,47.0,74.0,34.0,45.0,17.0,49.0,55.0,20.0,4.0,66.0,58.0,57.0,19.0,38.0,33.0,11.0,29.0,16.0,10.0,35.0,32.0,11.0,33.0,90.0,44.0,38.0,29.0,42.0,27.0,33.0,61.0,32.0,41.0,17.0,38.0,33.0,38.0,14.0,9.0,11.0,19.0,8.0,34.0,29.0,18.0,21.0,33.0,35.0,25.0,26.0,39.0,2.0,23.0,23.0,26.0,9.0,46.0,23.0,22.0,6.0,31.0,6.0,20.0,48.0,6.0,8.0,12.0,8.0,11.0,21.0,28.0,15.0,7.0,19.0,31.0,27.0,21.0,14.0,14.0,17.0,2.0,6.0,20.0
스토리,517.0,363.0,153.0,0.0,58.0,137.0,119.0,131.0,38.0,145.0,99.0,35.0,113.0,129.0,62.0,76.0,59.0,52.0,61.0,38.0,50.0,28.0,59.0,62.0,31.0,11.0,36.0,50.0,54.0,43.0,58.0,38.0,8.0,45.0,4.0,16.0,36.0,38.0,13.0,44.0,32.0,38.0,71.0,53.0,81.0,25.0,39.0,47.0,45.0,51.0,29.0,45.0,59.0,77.0,16.0,7.0,11.0,8.0,8.0,60.0,57.0,19.0,19.0,34.0,47.0,33.0,28.0,58.0,4.0,35.0,28.0,24.0,20.0,30.0,42.0,39.0,18.0,30.0,17.0,32.0,24.0,8.0,16.0,26.0,8.0,9.0,38.0,29.0,17.0,5.0,62.0,44.0,28.0,27.0,17.0,59.0,22.0,2.0,14.0,30.0
개발자,161.0,74.0,49.0,58.0,0.0,30.0,19.0,27.0,10.0,37.0,33.0,10.0,32.0,36.0,32.0,7.0,38.0,20.0,22.0,24.0,2.0,0.0,8.0,11.0,20.0,5.0,24.0,15.0,17.0,6.0,6.0,4.0,6.0,19.0,8.0,1.0,7.0,4.0,6.0,1.0,14.0,14.0,6.0,10.0,12.0,15.0,3.0,12.0,7.0,12.0,19.0,4.0,16.0,14.0,7.0,9.0,3.0,12.0,6.0,15.0,6.0,0.0,7.0,7.0,14.0,8.0,5.0,4.0,2.0,9.0,6.0,5.0,9.0,8.0,5.0,9.0,4.0,2.0,35.0,8.0,7.0,6.0,7.0,8.0,4.0,7.0,4.0,4.0,5.0,2.0,9.0,5.0,6.0,2.0,6.0,11.0,6.0,2.0,11.0,4.0
과금,358.0,149.0,127.0,137.0,30.0,0.0,89.0,81.0,22.0,102.0,84.0,25.0,71.0,80.0,53.0,35.0,34.0,34.0,34.0,28.0,50.0,37.0,59.0,35.0,27.0,6.0,45.0,49.0,48.0,38.0,46.0,38.0,11.0,21.0,8.0,5.0,18.0,39.0,5.0,43.0,36.0,39.0,38.0,28.0,50.0,23.0,46.0,41.0,39.0,35.0,8.0,30.0,26.0,31.0,11.0,2.0,10.0,4.0,8.0,22.0,51.0,37.0,5.0,26.0,28.0,26.0,12.0,36.0,5.0,14.0,18.0,22.0,16.0,23.0,11.0,32.0,5.0,16.0,5.0,80.0,27.0,4.0,15.0,12.0,5.0,5.0,21.0,19.0,18.0,6.0,16.0,19.0,17.0,23.0,17.0,16.0,16.0,3.0,6.0,20.0
플레이,342.0,140.0,80.0,119.0,19.0,89.0,0.0,60.0,32.0,82.0,45.0,85.0,73.0,76.0,30.0,48.0,37.0,55.0,40.0,35.0,46.0,34.0,61.0,51.0,22.0,8.0,16.0,42.0,38.0,41.0,27.0,50.0,35.0,32.0,11.0,31.0,28.0,31.0,18.0,38.0,10.0,38.0,36.0,39.0,37.0,23.0,27.0,31.0,27.0,35.0,30.0,28.0,35.0,32.0,20.0,20.0,10.0,17.0,22.0,19.0,30.0,22.0,15.0,24.0,25.0,25.0,22.0,31.0,16.0,21.0,24.0,9.0,19.0,15.0,17.0,24.0,7.0,24.0,7.0,17.0,18.0,14.0,18.0,14.0,9.0,24.0,19.0,12.0,20.0,4.0,23.0,22.0,18.0,16.0,26.0,15.0,5.0,11.0,3.0,18.0
콘텐츠,239.0,151.0,94.0,131.0,27.0,81.0,60.0,0.0,13.0,76.0,82.0,20.0,60.0,65.0,41.0,35.0,21.0,34.0,35.0,36.0,26.0,30.0,41.0,31.0,16.0,6.0,32.0,31.0,23.0,19.0,59.0,25.0,8.0,13.0,8.0,4.0,30.0,27.0,7.0,31.0,29.0,29.0,20.0,23.0,40.0,16.0,7.0,26.0,32.0,27.0,10.0,22.0,24.0,30.0,13.0,4.0,7.0,9.0,6.0,24.0,22.0,11.0,10.0,30.0,25.0,26.0,18.0,39.0,1.0,30.0,20.0,20.0,15.0,36.0,18.0,16.0,6.0,25.0,6.0,14.0,21.0,9.0,9.0,23.0,1.0,11.0,13.0,15.0,26.0,4.0,18.0,20.0,21.0,16.0,15.0,22.0,9.0,2.0,7.0,16.0
번역,157.0,25.0,20.0,38.0,10.0,22.0,32.0,13.0,0.0,36.0,9.0,17.0,44.0,32.0,4.0,7.0,59.0,101.0,37.0,42.0,13.0,3.0,16.0,16.0,5.0,0.0,30.0,4.0,19.0,9.0,8.0,4.0,1.0,13.0,3.0,70.0,7.0,7.0,0.0,5.0,4.0,18.0,17.0,8.0,6.0,11.0,6.0,10.0,11.0,20.0,11.0,4.0,23.0,9.0,45.0,2.0,16.0,4.0,23.0,4.0,7.0,3.0,30.0,3.0,6.0,10.0,2.0,6.0,1.0,10.0,9.0,2.0,22.0,1.0,0.0,11.0,3.0,2.0,2.0,8.0,4.0,1.0,10.0,18.0,7.0,5.0,3.0,6.0,6.0,41.0,0.0,6.0,10.0,3.0,3.0,1.0,5.0,0.0,6.0,2.0
생각,342.0,163.0,100.0,145.0,37.0,102.0,82.0,76.0,36.0,0.0,70.0,29.0,67.0,106.0,42.0,53.0,58.0,51.0,52.0,33.0,53.0,32.0,53.0,44.0,20.0,4.0,31.0,35.0,51.0,26.0,42.0,34.0,12.0,38.0,8.0,13.0,22.0,34.0,8.0,29.0,20.0,37.0,36.0,23.0,44.0,23.0,33.0,30.0,31.0,41.0,17.0,27.0,39.0,41.0,23.0,6.0,14.0,8.0,9.0,23.0,26.0,16.0,17.0,30.0,33.0,23.0,21.0,31.0,5.0,25.0,20.0,16.0,17.0,25.0,22.0,19.0,11.0,23.0,5.0,30.0,21.0,2.0,9.0,18.0,8.0,11.0,26.0,16.0,15.0,8.0,22.0,37.0,27.0,21.0,17.0,21.0,11.0,1.0,2.0,20.0
