,게임,스토리,번역,캐릭터,과금,업데이트,플레이,생각,문제,정도,재미,가챠,이벤트,오역,시간,운영,시작,로딩,오류,확률,사람,돈,진행,최고,부족,처음,재화,전투,자체,접속,디펜스,필요,스타,모바일,다운로드,부분,붕괴,시스템,난이도,단점,스테이지,수정,개선,이성,추천,기대,해결,광고,계정,추가,화면,수준,이해,느낌,초반,이상,출시,지금,보상,전략,이번,오픈,삭제,리뷰,레벨,버스,감사,매력,이후,요소,그래픽,유도,장점,메인,제가,설치,버전,스킵,육성,최적화,만족,로그인,회사,디자인,머리,부탁,마음,이건,자동,지능,별점,불편,복귀,하루,조작,사용,이랑,신경,몰입,한국
게임,0.0,1257.0,653.0,929.0,639.0,377.0,557.0,570.0,453.0,504.0,321.0,309.0,379.0,269.0,393.0,326.0,339.0,207.0,200.0,219.0,310.0,273.0,279.0,204.0,253.0,275.0,221.0,184.0,329.0,158.0,286.0,216.0,172.0,268.0,135.0,207.0,139.0,197.0,180.0,213.0,179.0,133.0,145.0,132.0,233.0,166.0,160.0,117.0,70.0,126.0,129.0,158.0,166.0,186.0,163.0,172.0,167.0,193.0,129.0,176.0,135.0,175.0,103.0,144.0,111.0,115.0,124.0,165.0,124.0,150.0,141.0,151.0,159.0,124.0,142.0,90.0,89.0,97.0,121.0,110.0,131.0,64.0,124.0,121.0,140.0,102.0,116.0,120.0,106.0,137.0,87.0,117.0,73.0,108.0,101.0,99.0,97.0,99.0,119.0,101.0
스토리,1257.0,0.0,406.0,693.0,259.0,153.0,241.0,292.0,201.0,264.0,175.0,135.0,236.0,201.0,158.0,86.0,116.0,51.0,47.0,74.0,143.0,94.0,194.0,47.0,156.0,102.0,115.0,125.0,123.0,21.0,52.0,78.0,82.0,68.0,18.0,126.0,98.0,84.0,112.0,151.0,74.0,61.0,77.0,28.0,90.0,96.0,51.0,26.0,11.0,76.0,36.0,106.0,162.0,105.0,108.0,77.0,80.0,81.0,70.0,50.0,81.0,76.0,35.0,44.0,73.0,58.0,43.0,117.0,57.0,86.0,86.0,61.0,101.0,168.0,47.0,14.0,79.0,95.0,75.0,40.0,74.0,7.0,53.0,93.0,47.0,32.0,63.0,63.0,49.0,21.0,28.0,58.0,36.0,44.0,47.0,25.0,53.0,53.0,119.0,43.0
번역,653.0,406.0,0.0,208.0,44.0,103.0,97.0,114.0,279.0,154.0,21.0,20.0,76.0,228.0,50.0,82.0,37.0,2.0,116.0,10.0,55.0,83.0,53.0,12.0,64.0,35.0,20.0,18.0,70.0,2.0,13.0,27.0,50.0,13.0,3.0,62.0,34.0,20.0,8.0,21.0,16.0,99.0,95.0,3.0,23.0,48.0,66.0,19.0,4.0,29.0,1.0,125.0,121.0,31.0,18.0,32.0,23.0,48.0,11.0,10.0,33.0,43.0,6.0,24.0,6.0,41.0,21.0,27.0,23.0,16.0,18.0,14.0,29.0,38.0,15.0,2.0,47.0,4.0,19.0,9.0,22.0,1.0,52.0,24.0,8.0,25.0,18.0,19.0,5.0,5.0,40.0,25.0,4.0,17.0,7.0,15.0,27.0,70.0,63.0,56.0
캐릭터,929.0,693.0,208.0,0.0,208.0,109.0,218.0,230.0,149.0,198.0,125.0,150.0,167.0,117.0,111.0,69.0,107.0,32.0,40.0,85.0,111.0,66.0,107.0,46.0,104.0,86.0,112.0,118.0,92.0,16.0,78.0,93.0,62.0,52.0,13.0,99.0,71.0,87.0,100.0,118.0,71.0,38.0,57.0,34.0,73.0,66.0,37.0,24.0,14.0,55.0,27.0,74.0,79.0,88.0,71.0,70.0,69.0,58.0,50.0,80.0,42.0,63.0,26.0,41.0,60.0,52.0,34.0,161.0,38.0,69.0,58.0,63.0,90.0,74.0,43.0,15.0,46.0,31.0,100.0,26.0,60.0,7.0,27.0,128.0,48.0,25.0,71.0,41.0,44.0,31.0,20.0,39.0,26.0,22.0,36.0,36.0,44.0,40.0,59.0,33.0
과금,639.0,259.0,44.0,208.0,0.0,52.0,125.0,143.0,67.0,132.0,77.0,127.0,102.0,25.0,107.0,71.0,64.0,31.0,18.0,71.0,77.0,70.0,77.0,32.0,62.0,47.0,85.0,37.0,49.0,16.0,55.0,65.0,18.0,49.0,6.0,52.0,18.0,67.0,52.0,69.0,59.0,17.0,26.0,37.0,52.0,26.0,21.0,13.0,14.0,25.0,9.0,31.0,26.0,38.0,38.0,57.0,31.0,30.0,40.0,43.0,21.0,44.0,12.0,33.0,48.0,10.0,16.0,41.0,31.0,74.0,17.0,137.0,53.0,34.0,16.0,10.0,16.0,13.0,38.0,15.0,38.0,1.0,10.0,23.0,49.0,9.0,20.0,24.0,17.0,40.0,6.0,20.0,19.0,25.0,20.0,24.0,21.0,21.0,18.0,16.0
업데이트,377.0,153.0,103.0,109.0,52.0,0.0,128.0,56.0,83.0,51.0,20.0,30.0,73.0,47.0,42.0,35.0,43.0,44.0,51.0,15.0,35.0,29.0,41.0,9.0,25.0,24.0,24.0,24.0,29.0,68.0,12.0,37.0,25.0,23.0,63.0,29.0,16.0,20.0,18.0,21.0,20.0,37.0,38.0,7.0,13.0,28.0,41.0,8.0,14.0,34.0,41.0,32.0,17.0,20.0,13.0,22.0,24.0,35.0,19.0,11.0,74.0,19.0,33.0,21.0,9.0,12.0,22.0,14.0,100.0,18.0,14.0,16.0,20.0,27.0,20.0,46.0,52.0,6.0,13.0,11.0,19.0,16.0,12.0,17.0,7.0,30.0,15.0,10.0,11.0,4.0,10.0,25.0,12.0,20.0,2.0,23.0,14.0,14.0,12.0,13.0
플레이,557.0,241.0,97.0,218.0,125.0,128.0,0.0,131.0,101.0,118.0,60.0,54.0,94.0,43.0,101.0,52.0,68.0,44.0,44.0,39.0,68.0,31.0,57.0,27.0,49.0,45.0,50.0,42.0,55.0,45.0,48.0,49.0,37.0,45.0,29.0,48.0,35.0,43.0,40.0,54.0,41.0,29.0,22.0,34.0,42.0,40.0,28.0,17.0,19.0,30.0,26.0,28.0,37.0,47.0,32.0,36.0,40.0,52.0,39.0,51.0,34.0,30.0,25.0,31.0,20.0,20.0,28.0,50.0,19.0,36.0,26.0,27.0,44.0,25.0,33.0,25.0,29.0,19.0,25.0,24.0,35.0,12.0,11.0,29.0,29.0,33.0,34.0,24.0,31.0,24.0,13.0,31.0,14.0,24.0,17.0,33.0,11.0,29.0,26.0,23.0
생각,570.0,292.0,114.0,230.0,143.0,56.0,131.0,0.0,117.0,143.0,78.0,80.0,93.0,57.0,85.0,75.0,73.0,25.0,27.0,48.0,88.0,58.0,68.0,25.0,63.0,61.0,62.0,44.0,61.0,22.0,54.0,44.0,43.0,40.0,11.0,68.0,35.0,56.0,44.0,57.0,47.0,39.0,41.0,30.0,42.0,44.0,29.0,21.0,15.0,33.0,20.0,32.0,49.0,54.0,45.0,42.0,46.0,54.0,36.0,40.0,46.0,47.0,19.0,32.0,27.0,30.0,20.0,51.0,24.0,32.0,23.0,42.0,43.0,36.0,32.0,7.0,21.0,18.0,35.0,9.0,33.0,6.0,20.0,29.0,37.0,19.0,27.0,29.0,19.0,16.0,21.0,26.0,18.0,26.0,15.0,23.0,25.0,27.0,27.0,16.0
문제,453.0,201.0,279.0,149.0,67.0,83.0,101.0,117.0,0.0,110.0,29.0,38.0,72.0,103.0,68.0,71.0,59.0,34.0,50.0,28.0,57.0,30.0,56.0,18.0,56.0,21.0,42.0,28.0,63.0,37.0,14.0,37.0,34.0,23.0,25.0,53.0,24.0,34.0,20.0,33.0,27.0,36.0,48.0,16.0,19.0,25.0,114.0,17.0,17.0,28.0,24.0,41.0,52.0,33.0,29.0,38.0,30.0,49.0,18.0,10.0,33.0,33.0,18.0,24.0,16.0,15.0,20.0,20.0,30.0,25.0,19.0,17.0,30.0,23.0,17.0,20.0,26.0,6.0,25.0,35.0,22.0,20.0,20.0,14.0,12.0,27.0,17.0,22.0,12.0,9.0,29.0,20.0,16.0,17.0,14.0,25.0,14.0,28.0,21.0,24.0
정도,504.0,264.0,154.0,198.0,132.0,51.0,118.0,143.0,110.0,0.0,58.0,76.0,96.0,70.0,74.0,53.0,68.0,28.0,28.0,51.0,72.0,54.0,72.0,16.0,69.0,52.0,69.0,41.0,63.0,23.0,32.0,50.0,33.0,32.0,9.0,59.0,28.0,39.0,56.0,65.0,50.0,32.0,36.0,33.0,40.0,32.0,30.0,16.0,14.0,26.0,13.0,55.0,73.0,42.0,42.0,48.0,44.0,42.0,37.0,24.0,41.0,43.0,19.0,30.0,39.0,30.0,14.0,39.0,30.0,28.0,14.0,31.0,37.0,41.0,30.0,9.0,27.0,12.0,33.0,19.0,22.0,10.0,23.0,30.0,31.0,13.0,18.0,34.0,17.0,14.0,13.0,22.0,20.0,34.0,18.0,25.0,19.0,23.0,34.0,17.0
