,게임,스토리,플레이,만들,생각,시간,정도,진행,퍼즐,사람,느낌,캐릭터,요소,추천,부분,재미,하나,재밌,전투,문제,경우,보스,아이템,시스템,가지,자체,시작,난이도,플레이어,누드,처음,도전,공격,구매,선택,반복,조작,필요,초반,방식,이상,그것,그래픽,새끼,무기,평가,주인공,부족,불편,퀘스트,추가,스테이지,모드,과제,수준,기대,사용,가격,아쉽,중간,단점,타임,이해,이야기,배치,사실,레벨,설명,이유,친구,힘들,들어가,기능,상황,카드,이건,건물,연산,패치,여기,장르,번역,다음,짜증,연출,몰입,환불,업데이트,노가다,장점,개인,스티커,이후,의미,작품,마지막,내용,건지,화면,한글
게임,0.0,403.0,602.0,533.0,564.0,539.0,493.0,342.0,225.0,353.0,373.0,234.0,281.0,401.0,277.0,336.0,330.0,305.0,120.0,253.0,179.0,145.0,148.0,182.0,251.0,287.0,223.0,216.0,155.0,4.0,268.0,119.0,94.0,225.0,163.0,202.0,159.0,201.0,176.0,175.0,206.0,211.0,214.0,45.0,70.0,183.0,109.0,173.0,176.0,80.0,159.0,88.0,96.0,89.0,175.0,198.0,124.0,175.0,167.0,127.0,180.0,159.0,155.0,116.0,73.0,165.0,83.0,114.0,179.0,94.0,158.0,136.0,124.0,132.0,63.0,141.0,50.0,2.0,103.0,131.0,126.0,78.0,134.0,122.0,86.0,127.0,117.0,82.0,99.0,154.0,127.0,5.0,122.0,114.0,79.0,128.0,103.0,111.0,108.0,70.0
스토리,403.0,0.0,205.0,165.0,206.0,175.0,169.0,157.0,96.0,118.0,151.0,87.0,123.0,134.0,115.0,102.0,106.0,86.0,67.0,84.0,69.0,45.0,44.0,62.0,92.0,97.0,71.0,83.0,67.0,0.0,76.0,57.0,30.0,69.0,56.0,60.0,46.0,75.0,61.0,75.0,69.0,68.0,73.0,8.0,22.0,61.0,87.0,67.0,57.0,34.0,29.0,25.0,34.0,36.0,61.0,93.0,41.0,73.0,83.0,59.0,74.0,65.0,81.0,81.0,26.0,73.0,31.0,58.0,81.0,20.0,54.0,45.0,29.0,40.0,21.0,43.0,8.0,1.0,17.0,61.0,51.0,34.0,55.0,45.0,62.0,73.0,18.0,16.0,35.0,71.0,64.0,3.0,43.0,58.0,47.0,64.0,59.0,37.0,22.0,32.0
플레이,602.0,205.0,0.0,238.0,290.0,317.0,265.0,179.0,109.0,189.0,198.0,126.0,159.0,200.0,155.0,174.0,172.0,139.0,64.0,132.0,116.0,70.0,85.0,92.0,146.0,144.0,126.0,119.0,108.0,4.0,137.0,77.0,45.0,126.0,90.0,116.0,78.0,102.0,74.0,114.0,127.0,120.0,102.0,23.0,36.0,93.0,71.0,92.0,103.0,44.0,88.0,48.0,55.0,50.0,99.0,104.0,78.0,95.0,94.0,67.0,112.0,167.0,83.0,73.0,40.0,103.0,52.0,72.0,115.0,54.0,84.0,81.0,65.0,92.0,25.0,65.0,24.0,0.0,42.0,76.0,65.0,39.0,70.0,62.0,52.0,75.0,59.0,41.0,55.0,84.0,78.0,3.0,79.0,64.0,45.0,68.0,68.0,49.0,67.0,35.0
만들,533.0,165.0,238.0,0.0,274.0,228.0,229.0,153.0,85.0,167.0,186.0,110.0,128.0,162.0,138.0,152.0,160.0,127.0,64.0,121.0,105.0,77.0,79.0,104.0,138.0,140.0,113.0,77.0,97.0,0.0,130.0,59.0,48.0,78.0,69.0,97.0,69.0,107.0,85.0,92.0,102.0,108.0,79.0,17.0,42.0,88.0,56.0,92.0,90.0,48.0,92.0,40.0,46.0,35.0,88.0,76.0,78.0,65.0,81.0,63.0,93.0,76.0,85.0,65.0,45.0,95.0,45.0,59.0,92.0,42.0,98.0,81.0,65.0,70.0,16.0,66.0,38.0,1.0,48.0,84.0,71.0,33.0,85.0,62.0,38.0,60.0,47.0,35.0,49.0,72.0,64.0,7.0,71.0,66.0,36.0,68.0,65.0,58.0,46.0,28.0
생각,564.0,206.0,290.0,274.0,0.0,260.0,259.0,166.0,104.0,180.0,207.0,127.0,139.0,203.0,153.0,173.0,165.0,131.0,73.0,140.0,118.0,77.0,73.0,95.0,145.0,138.0,114.0,120.0,90.0,0.0,140.0,66.0,45.0,119.0,86.0,92.0,74.0,121.0,85.0,108.0,116.0,124.0,92.0,22.0,43.0,93.0,76.0,99.0,89.0,50.0,87.0,43.0,39.0,43.0,81.0,103.0,77.0,89.0,95.0,61.0,108.0,87.0,91.0,74.0,43.0,104.0,53.0,68.0,117.0,43.0,87.0,81.0,59.0,85.0,25.0,72.0,22.0,1.0,42.0,87.0,66.0,25.0,88.0,62.0,53.0,83.0,44.0,27.0,50.0,94.0,78.0,4.0,70.0,65.0,44.0,79.0,72.0,59.0,39.0,31.0
시간,539.0,175.0,317.0,228.0,260.0,0.0,256.0,153.0,72.0,160.0,164.0,116.0,136.0,179.0,131.0,157.0,150.0,131.0,50.0,120.0,107.0,67.0,69.0,104.0,132.0,125.0,132.0,100.0,82.0,2.0,132.0,64.0,46.0,90.0,87.0,104.0,57.0,106.0,88.0,82.0,119.0,108.0,84.0,20.0,40.0,84.0,60.0,87.0,81.0,42.0,83.0,31.0,54.0,46.0,95.0,85.0,65.0,103.0,75.0,58.0,99.0,103.0,80.0,64.0,45.0,93.0,43.0,65.0,104.0,37.0,82.0,72.0,79.0,76.0,22.0,60.0,28.0,1.0,32.0,74.0,56.0,27.0,85.0,70.0,42.0,54.0,78.0,23.0,61.0,84.0,65.0,3.0,72.0,71.0,35.0,68.0,54.0,47.0,54.0,39.0
정도,493.0,169.0,265.0,229.0,259.0,256.0,0.0,162.0,80.0,154.0,169.0,110.0,140.0,155.0,135.0,157.0,152.0,102.0,60.0,127.0,110.0,68.0,76.0,79.0,125.0,131.0,101.0,99.0,100.0,2.0,136.0,60.0,45.0,91.0,74.0,93.0,66.0,109.0,77.0,94.0,116.0,105.0,80.0,14.0,40.0,81.0,64.0,95.0,84.0,40.0,86.0,48.0,47.0,45.0,83.0,89.0,71.0,73.0,81.0,71.0,92.0,83.0,80.0,69.0,37.0,83.0,40.0,65.0,87.0,39.0,78.0,85.0,64.0,79.0,16.0,60.0,26.0,1.0,36.0,73.0,59.0,38.0,72.0,59.0,47.0,63.0,42.0,26.0,56.0,80.0,74.0,2.0,68.0,58.0,32.0,78.0,59.0,49.0,49.0,35.0
진행,342.0,157.0,179.0,153.0,166.0,153.0,162.0,0.0,73.0,101.0,123.0,71.0,90.0,112.0,98.0,107.0,106.0,60.0,48.0,103.0,83.0,46.0,57.0,60.0,98.0,91.0,102.0,69.0,71.0,0.0,109.0,51.0,37.0,74.0,59.0,65.0,48.0,78.0,66.0,90.0,76.0,66.0,59.0,8.0,28.0,58.0,51.0,61.0,68.0,39.0,53.0,42.0,36.0,30.0,49.0,48.0,55.0,42.0,57.0,47.0,68.0,58.0,53.0,60.0,32.0,70.0,38.0,49.0,72.0,23.0,51.0,51.0,45.0,53.0,21.0,48.0,16.0,0.0,34.0,69.0,47.0,29.0,76.0,42.0,39.0,48.0,24.0,21.0,40.0,51.0,51.0,2.0,59.0,46.0,33.0,56.0,48.0,28.0,44.0,20.0
퍼즐,225.0,96.0,109.0,85.0,104.0,72.0,80.0,73.0,0.0,65.0,76.0,33.0,58.0,83.0,60.0,65.0,48.0,33.0,23.0,42.0,44.0,20.0,21.0,23.0,43.0,54.0,37.0,64.0,37.0,2.0,49.0,37.0,11.0,45.0,16.0,44.0,34.0,34.0,35.0,47.0,29.0,40.0,47.0,6.0,6.0,34.0,24.0,27.0,26.0,8.0,17.0,15.0,9.0,27.0,34.0,44.0,27.0,43.0,39.0,31.0,33.0,44.0,33.0,26.0,19.0,33.0,23.0,32.0,27.0,9.0,27.0,20.0,24.0,21.0,2.0,13.0,4.0,2.0,5.0,35.0,26.0,7.0,21.0,28.0,24.0,35.0,9.0,1.0,10.0,32.0,32.0,0.0,23.0,20.0,22.0,34.0,26.0,17.0,15.0,11.0
사람,353.0,118.0,189.0,167.0,180.0,160.0,154.0,101.0,65.0,0.0,121.0,75.0,100.0,158.0,92.0,113.0,120.0,84.0,31.0,87.0,66.0,33.0,44.0,60.0,93.0,85.0,74.0,66.0,66.0,2.0,95.0,45.0,23.0,75.0,52.0,41.0,44.0,63.0,51.0,57.0,80.0,79.0,58.0,15.0,17.0,76.0,48.0,63.0,44.0,21.0,57.0,34.0,34.0,29.0,63.0,62.0,44.0,46.0,50.0,40.0,67.0,49.0,63.0,49.0,27.0,70.0,31.0,54.0,62.0,35.0,51.0,54.0,39.0,46.0,18.0,49.0,16.0,1.0,38.0,60.0,49.0,20.0,50.0,43.0,37.0,43.0,27.0,17.0,30.0,67.0,48.0,4.0,35.0,38.0,27.0,53.0,40.0,33.0,31.0,25.0
