recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
155595084,76561198835037552,0,3,75200,1907,59537,2024-05-03,koreana,"님 이 정출 시즌 에 한 병신짓     빈 티어 리셋으로 이터 데미 미스릴 전부 플레티넘  배치   플레티넘 구간 전 시즌 이터 데미 미스릴끼리매칭되면서 개꿀 잼이긴 했으나 티어 올리기 개빡셈   그런 와중에 이터  인 큐 등장  플래티넘 구간 학살   이터  인큐 불만 야기   시즌 초  주 동안 다이아 사전큐 금지로 다   안착한 이터들은 게임 안 돌림   다야 사전큐 풀어버림    이터 인큐 미스릴 까지 학살   매칭 개 빡세서 힘든 와중에 이터  인 큐 트럭 안 만나기 게임 되어 버리니 불만 폭발   님  이 병신들은 자기들이 티어 리셋 병신같이 해서 시즌초 티어 안정화되기 전 일어날 수 밖에 없는 문제인데귀 닫고 버텨야지 일하는 척 보여주기식 패치로 희대의 병신 같은 패치  다야   인 사전큐 분리  를 해버림  이걸로 다야 사전큐  인 돌리면 하위  인큐 만나서 손가락만 있으면 미스릴 올라갈 수 있도록 만들어짐  그 후 사전큐 인원들은 손쉽게 미스릴 올라가고 미데 한자리 차지하면서 미스릴  솔로 랭크 돌리며 팀원들 점수 박살  다야  강등되면 다시 사전큐로 미스릴          너무 많아 생략    이때부터 하위 티어 인원들 시즌   골플다  시즌 골드 플 하위 과 플 상위   다야 시즌  이데미  인원들의 매칭 문제가 스멀스멀 올라옴    시즌 초 플레티넘에 배치 되었던 시즌  데이들은 개빡센 매칭에 플 상위    다야 하위에 갇혀 있었는데실골 배치된 전시즌 다야 플레 골드 인원들은 값싼 입장료와 현지인들 줘패면서 손쉽게 플레티넘 하위 안착결국은 매칭이 섞여 버림       이제는 이터  인큐 피하는 게임이 아니라 통나무 잘 뽑기 게임이 되어 버림   심지어 시즌  초반 플레티넘 골드일때 실버 브론즈랑도 듀오가 가능하니 전시즌 브실골 이런 친구들과 듀오 돌리는 인원들도 많아 통나무 뽑기 더 빡셈    듀오  인 인원들을 티어 높은 솔로  인 유저에게 매칭 해주는 이전의   같은 패치가 더욱 빛을 보게 됨     병신이라도 사전큐  인을 돌리면 손쉽게     점을 넘기고 이터 데미 딱지를 받게 되면서 이터니티 레니 업계  위 방송인 등장 등 웃긴 상황 연출    위와 같은 여러 문제들로 솔로 인원들 대가리 깨지고 탈출은 지능순 깨달아 버림    프리시즌 주와 시즌 초 매칭 콜라보로 동접 출타 후 매칭 문제 더 심각해짐   시즌  피크타임 동접             나온거 시즌  피크타임 동접            나오는중   님블은 그저 순 수 무 능     ",2024-01-09,2024-01-09,False,111,6,0.873517632484436035,0,False,False,False
157890241,76561199232367037,0,1,221423,2708,209202,2024-05-03,koreana,"레벨   와    을 같이 매칭해주는 어딘가 많이 고장난 게임 부캐인줄 알았으나 전적 보니 의심할 여지 없는 뉴비임재미는 있음 근데 그 재미를 완벽하게 덮을 정도로 불쾌감이 높음 년 넘게 얼액을 거쳐 최근에 정출을 했지만 여전히 수 많은 잡버그가 존재함정출하고 최고 동접자  만명을 훌쩍 넘겼지만 대표적으로 랭크매칭 관련해서 개선해야할 문제를 유저들의 많은피드백이 있음에도 불구하고 게임사는  우리는 틀리지 않았다 를 시전 몇달동안 변화 없이 방치한 결과동접 단 몇달사이에  만명에서    천명  위기를 느낀 게임사는 간담회를 열어서 시즌 는 큰 변화가 있을 것이고 매칭 개선 또한 할 것이다 라고 발표함 하지만 얼리액세스 때부터     시간 플레이하면서 지켜본 바로는 전혀 기대되지않음",2024-02-09,2024-02-09,False,64,1,0.836945950984954834,0,False,False,False
146665348,76561197997634392,0,27,1309,0,975,2023-09-29,koreana,"유저가 늘어나니까 점점 롤판이 되고 있음채팅창 자체를 삭제하던가 해라 진짜 뉴비 배척    심하고좀 못한다 싶으면 바로 욕부터 박음 난 여기가 롤인줄 알았다 아니면 신고로 편하게 하던가 이렇게 신고 기능이 구린 게임도 오랜만",2023-09-21,2023-09-21,False,235,6,0.823566734790802002,0,False,False,False
142451139,76561198121025665,219,58,6315,0,4614,2024-02-04,koreana,"    되면 게임 꺼짐 ",2023-07-20,2023-07-20,False,50,0,0.810882210731506348,8,False,False,False
154648893,76561198264936695,0,3,39648,2054,26398,2024-05-03,koreana,"츠바메 삭제해라 농담아니다",2023-12-29,2023-12-29,False,53,1,0.804997146129608154,0,False,False,False
149375126,76561198120080624,13,1,36995,1818,22087,2024-05-03,koreana,"게임은 재미있는데 트롤 잘못 만나면  일차부터 겜 끝 날 때 까지 메이플 하는 거 구경해되는 게임    일차에 혼자 수틀리고 혼자 다니기 시작    일차에 팀 전원사망하면 다행인데  일차 되고 나랑 아군 명 짤리고 트롤  명남으면 이때 부터 강제 관람 시작 돈 돼도 살리지도 않고 지템만 맞추고 계속 사람 피하면서 사냥만 함 나가면 패널티 있다고 나와서 나가지도 못하고  놀려고 게임하는데 기분만 더러워짐 게임하면서 이런 상황이 자주나오는 건 아니지만 시간 대비 재미 대비 해서 이런 트롤만나면 확실히 정신이 나갈 거 같음  너무 기억에 남음 이 게임 자체적으로 유저 차단 기능도 없고  다음 큐를 못 돌리고 또 만날까봐 게임을 그냥 끄게됨 진짜  인 사전큐가 아니면 날이 갈 수록 게임판수가 줄고있음   점점 재미가 떨어지고 트롤 걱정하면서 게임킴 재미는 떨어지는데 트롤은 점점 더 보이고 신고를 해도 이게 신고가 됐는지 안됐는지 알려주지도 않고더 보인다는건 제재를 안하는 것 같다는 생각밖에 안듬  걍 게임이 관리가 안됨 과거에 인기가 없었고 요즘 조금 떠서 기분은 좋을 거 같은데  이 게임도 조만간 일 것 같음 게임하는게 유쾌하긴 커녕 불쾌함  이게 게임을 할 수록 쌓이는데 해소가 안됨 진짜 이렇다가 내가 트롤이 될거 같음 뭐 게임사도 노력은 하겠다만은   현재로서 딱 생각나는건 용두사미가 생각남 과거가 어찌되었던 최근 유입인데 처음 시작했을 때가 용이었음 겜 흥했다고 즐거운건 알겠는데 왜 플레이하는 사람은 이제 안 즐겁나요  트롤이 트롤만드는데 왜 제재를 안함   진짜 리뷰 안 쓰는데 제발 제재좀 해주세요 욕나와요 이럴거면 롤을하지 왜 이 겜을함  소통이 잘 되는것도 아니고 버그 픽스가 빠르지도 않고밸런스 패치는 진짜 겜 안한사람이 하는 것 마냥   만들고 핫픽스 하고점점 문제점이 눈에 띄게 보이는 게임   지금 생각해보니 이 게임은 아직도 완성을 못 했나보다 ",2023-11-02,2023-11-02,False,63,0,0.759528100490570068,0,False,False,False
139472336,76561198046311143,118,8,20051,43,15983,2024-04-21,koreana,"겜안분 운영진이 카겜등뒤 따숩다고 밸런스 개 줱같이 패치하는 개 븅  신게임 인플루언서로 홍보 그렇게 애지게 해놓고 즈그들이 밸패랑 운영을 개처못해서 유저들 다 떠나게 한 킹블씹런  그래도 사랑한다 씨  발련아  ",2023-06-03,2023-06-03,False,42,3,0.758935511112213135,0,False,False,True
153700409,76561198219864007,0,2,77047,0,75347,2024-02-23,koreana,"처음엔 할 만하고 분명히 재미짐  롤이랑 비교를 안할 수가 없는 게임인데  정글러나 서폿때문에   때론 원딜이나 라이너 때문에 라인전 말려서   정글꼬여서 고통받고 서렌도 만장일치아니면   분까진 못치고   그런 스트레스는 덜한 편임  근데 왜 비추를 박느냐하면 너무 운빨적인 요소가 크게 작용하는게 굉장히 불쾌한 경우가 많음  롤 같은 경우도 뭐 팀운겜이네 하는거 잘 아는데 그건     격투겜이든         장르 아니면 어느게임에나 공용되는 소리고   이터널 리턴 특유의 좆같은 불쾌감 유발요소가 몇 개 있어서 비추를 박는것     병신같은 파밍 시스템 걍 좆같은 데 떨궈두면     그리고 파밍 상자들에 나보다 상대가 가깝게 태어났을 때   파밍이 꼬이기 쉬운 위치에 시작 스폰이 됬을 때 등등 같이   유저가 어느 정도   울며겨자먹기지 이게 무슨 완벽한 대비책이 된다는게 아님   대처를 할려곤 하지만 그냥 시작부터 굉장히 불쾌함을 안고 가야함  롤에서 게임시작했더니 상점에 도란검이 없고   포션이 없다고 생각하면 정말 억울할 것임  유저가 잘못한게 없는데 왜 시작부터 다른 유저에 비해 불리함을 안고 시작해야하는것인지 이해가 가지 않음  그럼 사람적은대로 빼면 되지   하는 병신새끼들은 모든 실험체가 다 똑같은 템만 쳐쓰는게 아니란걸 알기만 하면 그딴 소리 못할것임  아무리 자기 주캐릭이면 루트     많게는    개까지도 미리 챙겨둔다지만   그럼에도 그건 대비책일뿐 선호하는 루트는 있기마련임  근데 그게 그냥 게임사에서 병신같이 패치해놓은 템 스폰때문에 한 장소로 사람이 몰린거 뿐인데  거기서 도태되기 싫어서 익숙하지않은 루트라던가   연습은 해놨지만 좀 덜 익숙한 루트로 빼려는 거 자체가 부담이 되고   시작부터 불안감을 가지고 게임하게 될 수도 있음  경쟁   생존이 융합된 게임이라지만 서바이벌 장르   특히 이터널 리턴 같은 게임은 전투가 알파이고 오메가이고 이 게임을 하는 이유임 결국  전투도 전에 파밍단계에서부터 불쾌하고 싶은 사람은 없을거임  최근 패치로 루트속도가 빨라져 이 부분은 나름 완화되었다고 체감중임    좆같은 루프시스템 예전보단 그나마 팀한테 루프라도 탈 수 있게 해준거   고맙긴함  이건 유저마다 그건 실력이지   아니지 할 수 있겠지만    분명히  어떤 순간에는 울며겨자먹기로 루프를 후반부에 탈 수 밖에 없는 상황도 있음  그 상황에 놓였을 때 그냥 루프탔더니 대기하고 있던 상대방 아가리 앞으로 가졌을 때   그냥 져야함  아닐 때도 있다지만 대부분의 경우 높은 확률로 루프 탄 팀은 지게 되있음  자신이 열심히 굴려온 그 한 판의 향방이 고작 딸깍 한번에 게임사에서 운빨로 지정해놓은 확률에서 져야한다는 것도 굉장히 좆같음  너무너무 불쾌함       이터널 리턴에는  랑  가 싸우면  가 이긴단 말이 있음 운빨 좆같음 다음으로 뉴비들이 겜 하다가 금방 흥미를 잃는데는 이 부분도 크다고 봄 걍 당하면 어디에도 생존겜이니까  하는 느낌따위 없음 그저 좆같을뿐이지 아무리 롤이 스트레스 덩어리에 질병겜이어도 이따위    로 잘 굴려온 게임이 한순간에  망하진 않음  특히    일차까지 살아와서 눈치싸움하다가    공멸하고  가 우승하게 되는 좆같은 경험 다들 해봤을 것임이건 어떻게든 개선이 좀 필요함  본인도 최근 패치 이후로 간간히 접속해서 해보고 있지만   게임 키기도전에     당했던 경험이라던가   당할 걸 생각하면 뭔가 벌써 의욕이 죽음  사람마다 케바케인거라지만  본인에겐 이 방식으로 인한 어이없는 패배나   광탈이 너무나도 큰 허무감을 줘서 의욕을 상실케한 큰 원인이어서 아직까지도 어떻게든 개선이 되었으면 좋겠으면 함    롤에 비해 좆같이 떨어지는 가시성질병겜이니 뭐니 해도 롤은 좋은게임이 맞음  뉴비들이 롤 처음할때 롤 챔프같은 경우 이것만 맞지 않음 된다 라고 할만한 시그니쳐 기술같은 걸 뉴비들에게 알려주기 편함  가령 트페의 골카   럭스     잭스    등등 맞으면 불리하거나 좆되는 그런 확실한 것들  이 게임은 어찌나 가시성이 좆같은지 뭐 엘레나  명이서 장판 좀 깔아두면 깔려있는 이렘 생선이나 윌리엄 공은 잘 보이지도 않음  그럼 클릭하기 편하냐  그런 것도 아님  카타리나 칼 줍는 난이도가 이터널 리턴 급이었으면 승률에 영향 갈 만큼 좆같음   캐시의 수쳐   하트나 프리야의 매혹 같이 굉장히 강력한   기가 뭐 사운드라도 잘 들리던지   모션이 명확해  계속 생각해두면 반응하기라도 편하든지 하는 것도 아님  사운드도 안들리고 모션도 좆같아서 한타중에 생각해놔도 보고 반응하기가 쉽지 않음  롤이라고 뭐 아리 매혹생각해뒀다고 피하기 쉽고   말파궁 생각해뒀다고 코앞 말파궁 피할 수 있고 당연히 그런건 아니라지만  아무리 그래도 그렇지 모션도 작은게 파괴력은 엄청난 스킬들이 꽤 있어서 굉장히 피곤함  좀 더 역동적이게 모션을 개선하고 사운드도 좀 더 명확하게 바꿔줬으면 좋겠음이 평가는   이 게임이 밉거나 망하길 바래서 적는게 아님  이 게임을 오래도록 즐겨온    천결사대 시절 유저분들이나   심화된 고수분들이 보기엔 동감못할 수 있음  어디까지나 작성자 본인과 비슷한   그냥 즐기려고 적당히 하거나 이 게임에 입문하려는 뉴비들의 관점에서 바라보았을 때 이 게임의 단점이라고 생각한 걸 적은것임 예전에 하다가 재미없어져서 접고   정출후에 친구들 여럿 끌어들여서 지금도 대가리 깨져서 하고있지만   친구들 하나 둘 다 접고 결국 얼마 안남음    물 들어오면서 잘 되나 했는데   얼엑을 그렇게 해놓고도 정출했는데 이지경이면 솔직히 좀 늦은거같음 ",2023-12-16,2024-03-04,False,82,3,0.737562179565429688,0,False,False,False
142645263,76561198318495237,0,9,22719,507,18111,2024-04-30,koreana,"강제  인 조별과제",2023-07-23,2023-07-23,False,47,4,0.71303027868270874,0,False,False,False
160999260,76561198271497031,0,1,225461,1295,219786,2024-04-30,koreana,"도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐",2024-03-21,2024-03-21,False,22,11,0.703936517238616943,0,False,False,False
