term,tf
게임,7553
플레이,1381
만들,1317
생각,1237
스토리,1176
시간,1175
정도,946
진행,788
사람,696
느낌,694
추천,676
퍼즐,660
재미,628
요소,575
부분,567
캐릭터,566
하나,543
재밌,541
문제,458
자체,438
가지,429
시작,414
처음,404
경우,403
보스,395
시스템,394
난이도,388
아이템,383
전투,375
구매,363
반복,345
플레이어,334
필요,331
이상,330
조작,325
그것,323
초반,319
그래픽,319
선택,318
도전,313
방식,310
평가,302
기대,297
부족,295
공격,289
불편,287
수준,285
가격,282
추가,273
아쉽,271
단점,267
타임,260
주인공,255
모드,251
스테이지,249
이해,247
사용,247
중간,246
이유,243
무기,240
사실,239
힘들,238
과제,238
새끼,232
퀘스트,231
들어가,226
이건,224
친구,220
이야기,220
환불,219
설명,217
기능,214
상황,213
다음,212
짜증,211
여기,205
장점,204
몰입,203
레벨,200
장르,200
패치,199
개인,197
이후,194
업데이트,194
노가다,194
번역,193
배치,192
마지막,192
의미,188
카드,185
건지,183
대부분,182
연출,180
내용,180
화면,179
기본,178
한글,177
개발자,175
출시,175
작품,172
누드,172
분위기,171
상태,169
존재,167
건물,167
이동,167
클릭,166
끝나,166
이거,163
패턴,162
거기,160
설정,160
흥미,158
할인,158
과정,157
배경,156
특정,154
동안,153
멀티,153
방법,153
로그,151
디자인,151
경험,150
친절,150
마음,148
전체,148
시리즈,147
전작,147
넘어가,146
자원,146
소리,142
업그레이드,139
이벤트,137
종류,136
지역,136
해결,136
공포,136
컨셉,136
세이브,134
제작,134
회차,132
지금,131
리뷰,128
매력,127
나름,126
메인,126
실망,126
단계,125
속도,125
버전,125
밸런스,124
재미없,124
구간,123
포인트,123
효과,122
서버,121
기분,120
이랑,120
나가,119
만큼,119
후반,118
무엇,118
관련,117
그림,117
모바일,117
대사,116
시점,116
지나,115
쓰레기,113
텍스트,113
인지,112
장비,112
해당,109
나중,109
지원,108
확인,108
고양이,108
시발,108
스티커,107
제한,106
발생,106
돌아가,106
만원,105
공략,105
물건,105
제가,104
연산,104
추리,103
해금,102
마을,102
취향,102
대체,102
재료,102
개발,102
미니게임,102
비교,101
위치,101
제작자,101
절대,101
그리,100
하루,100
액션,100
병신,99
등장,99
다니,99
스트레스,99
결론,99
조합,99
이다,99
머리,99
구성,98
이번,98
음악,98
정보,97
긍정,97
버튼,97
누구,97
자신,96
후반부,96
방향,96
능력,96
수집,96
거리,95
결과,94
인물,94
저장,94
지도,93
자동,93
몬스터,93
보상,92
비주얼,92
성장,92
대화,91
달성,91
개선,90
본인,90
신경,90
사기,90
기준,90
점프,90
등등,89
특성,89
올라가,88
목표,88
조금,88
남기,88
기믹,87
현실,87
나서,87
만나,86
사운드,86
연구,86
방치,85
상호작용,84
사지,84
정리,84
제일,84
차이,83
한국어,83
제외,83
혼자,82
마우스,82
제공,81
감정,81
구조,81
공간,81
미션,81
강제,80
순간,80
랜덤,80
행동,80
표현,80
개새끼,80
오브젝트,80
발견,79
실패,79
나무,79
수정,79
조절,79
일반,79
세일,79
보니,78
바라,78
의도,78
월드,78
분량,78
무료,78
운영,77
한번,77
생존,77
당신,77
표시,77
영상,77
모습,77
업적,76
힌트,76
늘어나,75
모션,75
파밍,75
편의,75
정식,75
무한,75
작업,75
이용,75
기술,74
루트,74
중반,74
하지,74
요구,74
효율,73
패드,73
체력,73
직원,73
기존,72
영어,72
설치,72
변화,71
수도,71
부수,71
사서,71
완성,70
던전,70
활용,70
멀미,70
확률,69
지루함,69
참고,69
도시,69
설계,69
장면,69
깨지,68
영향,68
전략,68
목적,68
구현,68
정가,68
상점,67
그러,67
거지,67
타이밍,67
고민,67
옵션,67
볼륨,67
검색,67
발전,66
정작,66
어려움,66
이전,65
상자,65
전부,65
실행,65
전개,65
오류,65
탐험,65
시도,65
티어,64
정신,64
해서,64
힐링,64
라면,64
애초,64
오리,64
건설,64
코어,64
요즘,63
구입,63
하면,63
직관,63
아쉬움,63
얘기,63
소울,63
입장,63
판정,63
감동,63
탈출,62
우리,62
기억,62
수록,62
자연,62
만족,62
음식,62
최적화,62
시뮬레이션,61
대로,61
일정,61
현상,61
문제점,60
시너지,60
동료,60
적용,60
회사,60
한국,60
귀신,60
자기,59
의문,59
컨트롤,59
언어,59
마리,59
소모,58
완료,58
계속,58
아트,58
아래,58
관리,57
라이트,57
초기,57
스킵,57
달리,57
강화,57
타일,57
감성,57
사건,57
레디,57
사이,56
포함,56
마라,56
최악,56
이름,56
나머지,56
일본,56
최소,56
끝내,56
흐름,56
서브,56
일어나,55
얼마,55
타격감,55
필수,55
보내,55
증가,55
결말,55
포기,54
인터페이스,54
전달,54
일부,54
세계,54
연결,54
골드,53
유발,53
게이머,53
세상,53
인해,53
언급,53
예상,53
노래,53
성우,53
준비,52
형식,52
유지,52
식량,52
도구,52
대비,51
상대,51
중국,51
주변,51
있다,51
동물,51
캠페인,51
리듬,51
정답,51
부품,51
잘못,50
최종,50
변경,50
절반,50
감상,50
실제,50
바닥,50
후속작,49
특징,49
완전,49
유튜브,49
고정,48
최소한,48
노벨,48
키보드,48
요리,48
단서,48
묘사,48
불만,47
원래,47
가치,47
진입,47
아니,47
장소,46
스포,46
최대,46
조건,46
방해,46
버프,46
유닛,46
삭제,45
낚시,45
소재,45
지점,45
할거,45
불합리,45
구분,45
데미지,45
슈퍼,45
도움,45
종료,45
그런지,45
회복,45
잡기,45
조사,45
인가,44
성취감,44
없애,44
마찬가지,44
옛날,44
파일,44
이하,44
경영,44
완벽,43
라인,43
서사,43
높이,43
스타일,43
한계,43
한정,43
정상,43
파악,43
회피,43
개발사,43
집중,43
필자,43
납득,43
구리,42
노력,42
시대,42
조차,42
구역,42
벗어나,42
장치,42
코드,42
요약,42
깊이,42
크기,42
레고,42
떠나,41
예전,41
연속,41
수치,41
권장,41
시나리오,41
피지컬,41
순서,41
오버,41
테크,41
채집,41
강요,40
개성,40
환경,40
가도,40
먹이,40
컴퓨터,40
진짜,40
움직임,40
지형,40
트리,40
도중,40
약간,40
페이지,40
위기,39
뉴비,39
의심,39
유물,39
상당,39
제작사,39
규모,39
기계,39
수급,39
시뮬레이터,39
다운,39
세계관,39
메시지,39
점수,38
이제,38
과거,38
고통,38
주민,38
로딩,38
싱글,38
단어,38
디테일,38
실수,38
이것저것,38
에선,38
파괴,38
인상,38
부정,38
가요,38
긴장감,38
생산,38
반전,38
가시,37
처리,37
각종,37
더럽,37
줄이,37
데모,37
확장,37
여기저기,37
프레임,37
한참,37
동시,37
억지,37
로만,37
판매,37
주의,37
템포,37
중국어,37
캐주얼,37
테마,37
천원,37
차지,36
현재,36
역할,36
기간,36
나타나,36
자유도,36
농사,36
선물,36
바람,36
부여,36
불가,36
하드,36
획득,36
공격력,36
인간,36
연기,36
가이드,36
하트,35
투자,35
대신,35
반대,35
망치,35
오픈,35
광산,35
성공,35
완성도,35
작동,35
공장,35
지랄,35
손님,35
공식,35
계획,35
인구,35
좀비,35
보석,35
미니,35
상위,34
최근,34
함정,34
장난,34
실력,34
체감,34
이외,34
메뉴,34
자리,34
스포일러,34
해도,34
말하자면,34
콘텐츠,34
전환,34
주제,34
시각,34
하위,33
최고,33
육성,33
더빙,33
모자라,33
유도,33
아이디어,33
진심,33
모니터,33
창고,33
발매,33
방어,33
시체,33
인줄,32
반응,32
따위,32
관계,32
인생,32
무시,32
하네,32
괴물,32
직업,32
후회,32
기반,32
물리,32
관심,32
개념,32
모양,32
이미지,32
엔진,32
분기,32
레이크,32
피드백,31
안함,31
죽음,31
인정,31
조정,31
로봇,31
파티,31
마무리,31
한방,31
수량,31
이식,31
동선,31
수위,31
물고기,31
병사,31
구경,30
범위,30
다크,30
사양,30
엉망,30
인터넷,30
좋아서,30
화가,30
년대,30
가면,30
해보면,30
아케이드,30
영혼,30
수동,30
커서,30
지정,29
호감,29
재화,29
태그,29
비추,29
듯이,29
근처,29
동기,29
사고,29
생성,29
비밀,29
광석,29
비중,29
다리,29
사항,29
부실,29
숫자,29
파트,29
대가리,28
리셋,28
방송,28
시즌,28
시절,28
제약,28
등장인물,28
일러스트,28
작성,28
커뮤니티,28
석상,28
모험,28
제거,28
방향성,28
성격,28
트레일러,28
제작진,28
시야,28
공감,28
소환,28
성의,28
키워드,28
사이버펑크,28
광고,28
과일,28
싸움,27
결정,27
베타,27
횟수,27
낭비,27
차별,27
상승,27
부탁,27
적의,27
갯수,27
성능,27
주문,27
얼굴,27
남은,27
서술,27
속성,27
감소,27
고객,27
접근,27
정해진,27
임무,27
이면,27
애니메이션,27
선수,27
커피,27
부검,27
이때,26
대표,26
일차,26
하진,26
한판,26
간다,26
장사,26
당장,26
특색,26
온라인,26
농장,26
세팅,26
구림,26
우주,26
탐색,26
영화,26
테스트,26
자유,26
정돈,26
겨울,26
입력,26
환생,26
디펜스,26
포커,26
인원,25
사망,25
뺑뺑이,25
전쟁,25
바다,25
나아지,25
필드,25
행위,25
의식,25
조준,25
체크,25
사면,25
이루,25
동작,25
고전,25
반면,25
개판,25
아이,25
산소,25
다시,25
최대한,25
가방,25
시장,25
히로인,25
대항해시대,25
폭발,24
게임사,24
생각나,24
지게,24
기가,24
연습,24
양상,24
제시,24
체험,24
기회,24
딜러,24
달리기,24
보관,24
그때,24
언제,24
해골,24
가구,24
리메이크,24
보이스,24
로드,24
이도,24
원작,24
메커니즘,24
여담,24
타워,24
핸드폰,24
피랍,24
사냥,23
기지,23
연애,23
생활,23
광부,23
핵심,23
이든,23
에러,23
까지,23
마다,23
의견,23
증거,23
개조,23
에피소드,23
데이터,23
목소리,23
동화,23
등급,23
여러분,23
예측,23
명작,23
충격,23
망자,23
정지,23
순수,23
포장,23
경직,23
버림,22
결국,22
부담,22
접속,22
타격,22
들이,22
영웅,22
종일,22
나라,22
표기,22
포탈,22
경험치,22
나비,22
오브,22
피해,22
왼쪽,22
일본어,22
해상도,22
내려가,22
구글,22
상관,22
사도,22
정말,22
수리,22
이용한,22
픽셀,22
비용,22
적재,22
여지,21
채팅,21
인기,21
지경,21
기도,21
위주,21
극복,21
부활,21
노동,21
신속,21
위험,21
킬링타임,21
인식,21
칭찬,21
후기,21
사진,21
너프,21
플래시,21
와서,21
스킨,21
감사,21
패스,21
마녀,21
흔적,21
웨이브,21
호러,21
고유,21
담당,21
차량,21
폭탄,21
샌드박스,21
메타,21
미로,21
철거,21
컨트롤러,21
펭귄,21
판단,20
한마디,20
고난,20
성향,20
우선,20
물품,20
악의,20
문장,20
한대,20
어택,20
피격,20
조종,20
운전,20
달러,20
병원,20
분이,20
소설,20
어드벤처,20
없어,20
가공,20
스페이스,20
기록,20
무역,20
정복,20
탄창,20
크레딧,20
정원,20
오랜만,19
사랑,19
입문,19
상대방,19
루프,19
작용,19
간의,19
빌딩,19
공지,19
스크립트,19
스컬,19
아이작,19
러스트,19
근본,19
날짜,19
소식,19
지옥,19
이지,19
레이저,19
모두,19
물체,19
쓸모,19
스피드,19
유령,19
카메라,19
채광,19
출력,19
배터리,19
가족,19
나이트,19
회수,19
한국인,19
키스,19
보너스,19
자살,19
이속,19
하나로,19
클리셰,19
전기,19
특수,19
돌연변이,19
클래스,19
둘째,19
조각,19
스위치,19
활동,19
생존자,19
지식,19
야구,19
음성,19
화이트데이,19
뽑기,18
홍보,18
하기,18
원인,18
덩어리,18
각각,18
여유,18
보기,18
방패,18
배속,18
타이틀,18
기타,18
공유,18
다수,18
미래,18
플랫폼,18
색깔,18
스윙,18
쉬프트,18
이고,18
원거리,18
때려,18
나레이션,18
도망가,18
마법,18
겁나,18
직전,18
차원,18
예정,18
장벽,18
유일,18
마나,18
통과,18
추후,18
명령,18
가량,18
리얼,18
누적,18
문서,18
기물,18
당시,18
아이돌,18
장식품,18
선박,18
사전,17
액세스,17
대기,17
가능,17
개월,17
확보,17
국가,17
니들,17
심해,17
공부,17
어둠,17
즉사,17
실질,17
리버,17
연타,17
심리,17
지하,17
술집,17
말씀,17
즐거움,17
스펙,17
스택,17
라이브러리,17
공개,17
사회,17
시민,17
협동,17
작가,17
길목,17
습득,17
이란,17
자막,17
군대,17
파고들,17
히든,17
오른쪽,17
박자,17
읽기,17
거래,17
폰트,17
이득,17
남자,17
대검,17
해독,17
딱지,16
걱정,16
발동,16
단축키,16
주기,16
주위,16
수작,16
나아가,16
매우,16
박스,16
리스크,16
영역,16
상식,16
예시,16
무적,16
편안,16
무리,16
반감,16
정신병,16
힐러,16
과도,16
용도,16
스토리텔링,16
무작위,16
안내,16
병과,16
계절,16
세부,16
총기,16
신작,16
프로스트,16
펑크,16
가야,16
분도,16
조립,16
프로그래밍,16
개그,16
훈련,16
케이지,16
실종,16
투석기,16
슈팅,16
하프라이프,16
적대자,16
불쾌감,15
신고,15
해소,15
리턴,15
여타,15
광물,15
수십,15
효과음,15
유기,15
다음날,15
주인,15
중국인,15
사용자,15
시간제한,15
기대감,15
형태,15
블록,15
소스,15
발판,15
직접,15
표식,15
이나,15
한숨,15
하자,15
보정,15
실상,15
계정,15
쓰기,15
탱커,15
교육,15
방문,15
마스터,15
인칭,15
순간이동,15
장식,15
세대,15
방어력,15
문자,15
후원,15
부가,15
자동차,15
마이너스,15
추격,15
상단,15
갈등,15
학교,15
깃발,15
보급품,15
보드,15
작업자,15
시전,14
차단,14
아군,14
후에,14
값어치,14
여부,14
충돌,14
선형,14
부재,14
아무도,14
따름,14
벌레,14
돌파,14
보통,14
가가,14
비율,14
소비,14
동네,14
규칙,14
엔드,14
기획,14
대상,14
실망감,14
시험,14
검사,14
퇴근,14
짱깨,14
환자,14
바가,14
한게임,14
경로,14
예술,14
아빠,14
잠깐,14
드라마,14
참여,14
계단,14
문명,14
계열,14
배열,14
페이스,14
노트,14
공포감,14
취소,14
결제,14
모델링,14
주얼,14
이입,14
프로,14
변이,14
모닥불,14
중심,14
탄약,14
후일담,14
중량,14
젤다,14
지능,13
생략,13
소통,13
서로,13
안남,13
여럿,13
장판,13
장착,13
다양성,13
연계,13
슬래시,13
초보자,13
상품,13
근접,13
오프라인,13
눈물,13
하이,13
앞으로,13
구슬,13
기사,13
공통,13
진화,13
배려,13
아트워크,13
물류,13
대전,13
불필요,13
하드코어,13
순위,13
미라,13
제값,13
유료,13
꺼내,13
판타지,13
회상,13
광역,13
얼음,13
슬롯,13
외부,13
차기,13
비행기,13
비트,13
명성,13
저주,13
기체,13
채굴,13
중구난방,13
열쇠,13
일시,13
나열,13
고개,13
행성,13
애가,13
기초,13
스카이,13
식물,13
토론,13
문구,13
일수,13
분식집,13
회전,13
고어,13
하나하나,13
클래식,13
방향키,13
패러디,13
필리아,13
눈치,12
남짓,12
데드,12
그전,12
대다수,12
기만,12
클리커,12
할당,12
가독성,12
일상,12
모름,12
매니아,12
전사,12
지구,12
아니야,12
대원,12
내부,12
마법사,12
파워,12
엘리트,12
분간,12
수확,12
글자,12
진상,12
말이,12
전설,12
팽이,12
미만,12
우울,12
세번,12
하니,12
아시아,12
중독,12
수용,12
프로젝트,12
모아,12
작의,12
테러,12
마크,12
해제,12
동굴,12
각도,12
아픔,12
유행,12
별거,12
생산량,12
나사,12
취급,12
미사일,12
전용,12
생김새,12
일꾼,12
재생,12
충전,12
버섯,12
가상,12
작업대,12
잠입,12
지루,12
인어,12
호기심,12
태양,12
채용,12
코일,12
성벽,12
엔터,12
시티,12
교체,12
일괄,12
부산,12
여왕벌,12
라이브,12
겉옷,12
솔로,11
손가락,11
트롤,11
서바이벌,11
패배,11
제목,11
단편,11
정성,11
엄마,11
공중,11
공짜,11
문화,11
사막,11
댓글,11
장막,11
냄새,11
신체,11
단위,11
매판,11
이러,11
도로,11
표정,11
메세지,11
김치,11
현대,11
새벽,11
닌텐도,11
사이드,11
건강,11
제품,11
이슈,11
전문,11
수수께끼,11
맥락,11
무장,11
고급,11
지적,11
발목,11
만점,11
도끼,11
계곡,11
경제,11
구도,11
사이트,11
구독,11
며칠,11
고증,11
구별,11
유일한,11
짜임새,11
개수,11
정석,11
담기,11
전자,11
점령,11
클라우드,11
큐레이터,11
콘솔,11
메타픽션,11
여운,11
아마추어,11
현장,11
유명,11
그린,11
윈도우,11
아이콘,11
번들,11
건전,11
서스펜스,11
복도,11
어른,11
세나,11
금지,10
프리,10
어처구니,10
제로,10
아이러니,10
베스트,10
목장,10
풍경,10
충족,10
오늘,10
토끼,10
증발,10
강종,10
전제,10
총알,10
건축,10
목적지,10
중후반,10
방지,10
요인,10
복장,10
오타쿠,10
챔피언,10
타입,10
여태,10
사무실,10
리가,10
놀이,10
우편,10
속도감,10
고기,10
이새끼,10
이내,10
차로,10
알바,10
재고,10
다인,10
사시,10
청소,10
가입,10
최신,10
고르고,10
배달,10
순식간,10
출근,10
악마,10
마이,10
붕괴,10
저항,10
좌우,10
의뢰,10
분대,10
부모,10
한가지,10
자식,10
날개,10
서비스,10
복귀,10
발사,10
쪼개,10
곤충,10
스테미너,10
허공,10
실시간,10
무서움,10
감흥,10
엘리베이터,10
향상,10
매복,10
동북공정,10
과금,10
스타,10
자동화,10
색감,10
거품,10
라스트,10
소름,10
아웃라스트,10
한편,10
블랙홀,10
변신,10
적극,10
신이,10
한데,10
임팩트,10
자물쇠,10
역사,10
평판,10
전문가,10
킬러,10
텐트,10
반동,10
트레이딩,10
로맨스,10
심플,10
무비,10
하든,10
오리지널,10
양동이,10
오프닝,10
지시,10
병력,10
어미,10
항해,10
추진력,10
연우,10
팀원,9
박살,9
트럭,9
용두사미,9
픽스,9
이해도,9
작년,9
스스로,9
하데스,9
주력,9
아침,9
해킹,9
산거,9
제정신,9
오역,9
쓸데,9
용어,9
사례,9
전이,9
레전드,9
작전,9
글씨,9
각인,9
트라이,9
오오,9
나니,9
경고,9
변태,9
거미,9
용량,9
공방,9
들로,9
돼지,9
분만,9
마인드,9
업무,9
이질감,9
보고,9
그림판,9
기쁨,9
분석,9
졸업,9
이별,9
자료,9
헌터,9
진단,9
퍼센트,9
뒤통수,9
음료,9
식당,9
데스,9
캠프,9
보호,9
마치,9
아버지,9
다섯,9
차례,9
뻥튀기,9
주되,9
평소,9
참조,9
통계,9
위화감,9
사이에서,9
분해,9
고블린,9
연료,9
동생,9
연주,9
블레이드,9
재미나,9
거주,9
후자,9
반값,9
미니맵,9
맞춤법,9
정서,9
다만,9
소요,9
분기점,9
손목,9
카운터,9
체스,9
육각형,9
거주지,9
픽시,9
미국,9
공룡,9
답습,9
열차,9
피자,9
일기,9
로컬,9
농지,9
섬광탄,9
대포,9
드림,9
유머,9
케이스,9
선원,9
추리물,9
쿠키,9
필살기,9
동방,9
식수,9
견제,9
마그나,9
암호,9
미친년,9
살인마,9
학살,8
생선,8
칼질,8
인형,8
국내,8
안감,8
적기,8
치킨,8
천지,8
구조물,8
보장,8
저기,8
학생,8
발아,8
사인,8
닌자,8
재탕,8
초대,8
그동안,8
인내심,8
해피엔딩,8
평생,8
경매,8
신호,8
기기,8
사유,8
곡괭이,8
물량,8
배틀,8
어필,8
이자,8
요원,8
미친놈,8
킬링,8
내성,8
수익,8
자세,8
의사,8
인구수,8
정치,8
침략,8
발음,8
소수,8
헤비,8
적정,8
엄폐,8
별도,8
가운데,8
그릇,8
