term,tf-idf
게임,5672.282482043097
스토리,2601.917717412209
플레이,2543.0983082720923
만들,2519.0257249687857
생각,2389.5035024192402
시간,2210.5959677810065
정도,1965.3338266195867
진행,1932.0996655885924
퍼즐,1833.1608396385177
사람,1623.588775006108
느낌,1605.3001699253077
캐릭터,1589.8558628793062
요소,1533.5333424084752
추천,1529.5010838217313
부분,1508.718687822402
재미,1433.9269695861055
하나,1353.3813438251839
재밌,1291.396474858627
전투,1290.0766487887352
문제,1275.2611552612332
경우,1270.4664967002263
보스,1269.6871025743255
아이템,1239.3512064375193
시스템,1220.998733611719
가지,1203.513508292658
자체,1177.6892789416854
시작,1155.6219946941303
난이도,1128.9155445346225
플레이어,1099.4559868116635
누드,1095.8804816600575
처음,1073.7617373227574
도전,1068.5466586856598
공격,1058.7075569963251
구매,1028.7668993314712
선택,1010.5531620721854
반복,1006.5203197378502
조작,998.056259630871
필요,980.3895503188545
초반,979.6306056069164
방식,978.8358085039343
이상,953.7521597507272
그것,952.7148181438411
그래픽,942.2211975177916
새끼,941.0826043969564
무기,935.2710718237621
평가,927.4245858723785
주인공,919.6964141239444
부족,897.8820362247988
불편,893.5175624043258
퀘스트,893.0164810171939
추가,886.3854100345119
스테이지,882.8456631945189
모드,882.6078051916166
과제,879.9453809428446
수준,877.8574738804878
기대,874.8159220153545
사용,866.7717252594573
가격,852.0613254591207
아쉽,845.0107632498296
중간,844.6557240966179
단점,835.1305330313247
타임,820.9590651968482
이해,806.0731096012889
이야기,781.6599760013671
배치,769.5721794001729
사실,768.2410570006679
레벨,767.1438348049913
설명,766.1963520132658
이유,757.7033781170059
친구,756.8449672893913
힘들,753.8973589865183
들어가,747.8738063661638
기능,740.5271202747207
상황,739.9845670189217
카드,739.3510930033511
이건,724.8424810496197
건물,714.1675543020867
연산,711.50578495694
패치,710.0395158876893
여기,709.3834563379334
장르,707.6369610260328
번역,707.0261539802449
다음,705.297650830147
짜증,704.497751429541
연출,697.70316822531
몰입,695.6727115140478
환불,692.6034125775982
업데이트,689.2819788375691
노가다,684.9866004173897
장점,671.5240158969442
개인,669.9937856724858
스티커,669.1368171477096
이후,666.1106116859506
의미,665.178743364471
작품,663.1838126058398
마지막,649.3316138200291
내용,646.384911570818
건지,642.1831000910149
화면,637.3278107133589
한글,634.2450275526821
기본,631.110554412146
대부분,631.036418586734
이동,630.9278130195198
개발자,627.0784170718609
클릭,624.075640233754
상태,620.520037420542
출시,620.4738596748626
분위기,618.0893810494202
존재,613.1766050250327
과정,611.823159484711
자원,611.4713328184355
로그,605.2364535907609
패턴,601.7718812804187
업그레이드,600.9950375091363
배경,598.3721911478932
설정,595.7522995446201
멀티,594.6331994079521
지역,588.0239215916729
전작,585.78494111511
특정,583.2596919001389
거기,580.8893000417887
시리즈,580.8014130187848
끝나,580.1720971219826
디자인,571.8974901098765
방법,569.688136439543
이거,566.2792695966397
흥미,561.3739827646182
경험,559.8511229356683
할인,554.4531683845921
제작,550.3425920476794
공포,550.0003803298671
전체,548.474319250439
소리,547.512217383891
회차,543.8540382765448
이벤트,542.8218549953684
종류,540.3963911887694
동안,540.221391050828
친절,539.8214140419899
컨셉,537.3400827928893
세이브,535.529980878103
마음,534.9545520193813
넘어가,527.7254364515518
서버,523.1683420043561
고양이,519.8313813631016
메인,512.6704450802342
해결,512.5443510689115
매력,509.03993116573935
구간,506.77308112132584
단계,495.27541514175954
효과,494.8796454156409
버전,493.87875256699385
미니게임,493.6720213786432
포인트,491.56856453736316
리뷰,490.97205427519447
텍스트,486.7706609856392
속도,485.8114374247975
쓰레기,484.99109664823953
지금,484.33968446854055
대사,484.20413433461863
모바일,483.602134547599
시점,482.60410896726773
나름,474.85726643149155
무엇,474.3627012587025
장비,472.2741168621232
밸런스,471.9996501738806
후반,471.5861025642996
관련,470.3426783666796
실망,466.94435287537374
추리,463.45838514533324
그림,462.2705124027063
이랑,461.480340585375
나가,458.83066104706353
만큼,458.83066104706353
재미없,455.29280852158115
기분,453.36130276851725
해당,450.5353219289597
마을,449.5944191492299
재료,449.5944191492299
물건,445.84544250490126
시발,442.1661333310754
지나,437.741611048357
지원,435.4559009715188
인지,435.2870479326185
위치,431.9216945180285
확인,431.6211786181725
정보,431.02013104647335
해금,430.1067849994336
수집,428.3381418529865
개발,427.19230101013983
돌아가,426.1224265544277
액션,426.1184948839791
공략,424.63264657820616
제작자,424.4367893305026
발생,423.62819382894713
나중,423.6275734344234
조합,423.3687896760873
등장,421.8573099351393
능력,421.47808131070053
제한,421.19130489712904
음악,420.61174753564137
연구,418.5895847072691
개새끼,418.55710927984126
만원,418.41781508222147
병신,416.0321004328689
후반부,415.0757093588279
대체,415.0189317316181
점프,414.06228802405417
버튼,410.4392026119407
인물,409.51054209254687
이번,409.0690100413157
그리,408.13918383991944
하루,406.8813056192335
방향,406.20787062625055
보상,405.51653491891324
스트레스,405.3189555534858
제가,405.28413112363023
비교,403.6457318558836
결과,403.4439211056152
이다,402.81249256304113
레디,402.6790837955406
성장,402.34380672036576
취향,401.87797880363536
비주얼,400.7975518352586
머리,400.3679239165944
구성,398.7436795068488
다니,397.98226631026733
대화,397.97050447340524
자신,396.80175142367096
본인,396.7009580728499
저장,396.372919509282
몬스터,394.89167764719826
절대,394.6620357682175
특성,393.868432011665
달성,393.45718282972234
긍정,392.27968302939047
정리,391.99860478362825
결론,391.15197203305917
미션,389.8735360223263
기믹,389.8076566263262
나무,389.03385413375435
누구,387.6597622774327
코어,387.3884427563421
목표,386.3549078681421
거리,384.19144214218653
지도,381.95418701816556
자동,380.75417036842606
올라가,380.48606691225893
개선,378.21100039351717
월드,377.5138987013154
신경,376.9343832442411
업적,376.52924183437995
사운드,376.10399323860275
방치,374.6620159576916
사기,373.2097137895842
감정,372.6560592216488
남기,372.35721474072966
오리,371.9540711200613
만나,371.8386563006167
등등,371.5014478946643
공간,370.9507330766244
작업,369.33593746875414
기준,368.4717777758962
상호작용,364.557129442204
현실,364.3699038027664
오브젝트,363.10533483504565
조금,360.28351604754295
한국어,360.2171636155111
일반,357.00211059320935
도시,355.6951949154702
구조,352.87610542017336
기술,352.38505751966875
하지,352.38505751966875
나서,350.7839202270568
마우스,350.6690985195875
랜덤,349.8641797568398
직원,349.4712972657696
티어,349.12687470798244
제공,348.92410212244937
차이,348.79458925179915
표현,348.51961029152926
당신,347.96408247692557
사지,347.2015324957121
생존,346.46888986592876
표시,346.46888986592876
행동,345.89642446568996
발견,345.4908775098793
실패,345.4908775098793
혼자,343.42910473364185
수정,342.85730030873947
조절,342.85730030873947
제일,342.8369144255323
의도,341.11757526291876
검색,340.59743867894275
루트,340.45121459755563
파밍,340.4112514078553
제외,339.81286172665983
강제,338.5065588552088
모습,338.06054438462434
운영,336.7442730159583
패드,334.31362363695774
무료,333.5632888357052
던전,333.3372165726596
중반,332.9701019490744
세일,331.9852114565318
분량,331.19947157506954
힌트,331.0936297769528
순간,330.66812618639244
체력,329.888026244358
영상,329.2868364147346
늘어나,329.2797510239848
정식,329.2797510239848
보니,328.90518852897867
편의,327.9976685220373
타일,327.33900091654834
설치,326.7948013515411
효율,325.7154620340418
이용,325.49743700196785
부수,325.1543462770411
멀미,325.09240407671274
모션,324.27789793658434
영어,323.9709100045048
바라,323.4484186176396
한번,322.4883056645173
요구,321.15747117527496
무한,320.73393157279344
확률,320.44822687561685
귀신,318.920728496224
활용,317.71716798066495
장면,317.44775415177486
음식,317.3553812028428
동료,316.36715163109625
전략,315.80404967452097
타이밍,315.7823948630508
변화,315.48896189999596
수도,314.2096480093058
시너지,313.91783195988097
기존,313.6676492623763
상점,311.1598724734251
목적,310.0133187073801
건설,308.04822599294914
구현,307.2929559536486
옵션,306.8357915572078
완성,302.6593714074787
탐험,301.87151807123325
소울,301.5985168184039
설계,299.4576420418104
이전,299.04498579515024
사서,298.3664558659969
고민,297.71493587746096
영향,297.3845527933138
상자,296.33626052911336
참고,296.14500591795155
전개,295.0230845534746
거지,294.1565775814264
지루함,294.02176146994555
깨지,294.01196079583644
얘기,293.9989535877212
발전,293.2714293718272
리듬,292.8822639779643
탈출,292.2165445001366
정가,291.85304931044504
실행,291.23560552541613
볼륨,290.7777103884246
시뮬레이션,290.4795744418891
골드,289.12069311754794
정작,288.6379482993928
어려움,288.6379482993928
판정,288.51723683737447
전부,287.65672000851936
오류,287.65672000851936
직관,287.21822174360216
힐링,286.75505774810205
최적화,286.5762942513815
그러,286.5223122050288
현상,286.0680140855319
시도,285.3757842207868
정신,284.3844163605597
우리,283.9375981574162
라면,283.2312320083883
구입,282.27450997078796
대로,281.95409595700437
회사,281.37837451035927
자연,280.1788716047972
입장,279.94090985492596
감동,279.94090985492596
애초,279.8913438054718
레고,279.6813693088028
마리,279.49878982555265
소모,277.66212659472103
문제점,277.3318976626273
한국,277.3318976626273
기억,276.6350499467204
완료,276.19369373163227
라이트,275.87554135865355
사건,275.87554135865355
요즘,275.5180415585113
아쉬움,275.5180415585113
해서,274.68522288041885
만족,274.3802560081262
서브,274.14753124510094
수록,273.2828822279633
증가,272.48826711698547
하면,272.3934342667308
적용,272.32900112628425
언어,271.4408332602133
스킵,271.43173349487995
강화,271.43173349487995
캠페인,271.08261922179037
일정,271.0538968436585
전달,270.91003426457775
컨트롤,268.9821441725798
정답,268.9120788864318
관리,268.65069413722233
아트,268.087501073873
도구,268.0601468928181
부품,266.8301571658988
사이,265.2869869530669
성우,264.21050076752397
흐름,263.9375240646395
의문,263.2494830138146
연결,261.3557760239876
이름,261.3324031890855
자기,261.103792007733
동물,261.0503942152416
노래,260.99739581125294
식량,260.87632929181564
결말,260.549719328905
초기,259.8641053870686
달리,259.8641053870686
보내,259.22435399205665
일본,258.8431044851188
아래,258.7876273695127
감성,258.71255106997
요리,257.2702674003792
세계,257.1458527846231
계속,256.6783040076019
포함,256.45976607766625
타격감,254.22090619074166
최소,254.17373438453194
인터페이스,251.9991030751896
최악,251.9773744479482
끝내,251.9773744479482
세상,251.07518408058118
나머지,249.86391608090878
언급,249.79801384689094
일어나,248.54577319780398
필수,248.54577319780398
일부,248.4373728144325
마라,247.82732800733976
유발,247.33245301824164
중국,246.8360106893216
유닛,246.55067292536344
얼마,246.43012775227518
게이머,246.1413916580825
묘사,245.69448867316862
포기,245.0961010136558
인해,244.9765096019874
예상,243.83668072527635
조사,243.2842763914257
필자,241.55793291282998
준비,241.49721445698663
유지,241.49721445698663
채집,241.32150366959186
특징,241.2994791462527
슈퍼,241.19087568785554
단서,240.80891934629136
최종,239.3639022368285
형식,239.2359886361202
바닥,236.86338120809546
후속작,235.84942302585168
대비,235.73211301323317
있다,235.73211301323317
절반,235.6585036291424
상대,234.63529654696404
감상,234.4819787586327
서사,232.47164188514012
버프,232.2835462233868
변경,232.20886005479483
실제,232.20886005479483
회복,231.9751271187849
주변,231.4796509573416
잘못,231.10991471885603
완전,230.94533355655955
낚시,230.33858313109556
고정,229.78934614735533
노벨,229.78934614735533
키보드,229.78934614735533
가치,228.764075363275
불만,227.47632357643363
데미지,227.23390391418275
진입,226.22291596357204
스포,225.19261495133293
가도,224.7050538724
유튜브,223.3919502450239
잡기,222.94494582298813
장소,222.63640179821164
시나리오,221.65900737885454
불합리,221.6015624812525
최소한,220.83322027949555
지점,220.29712332195612
조건,220.2147900578822
경영,219.34456667492555
유물,219.08742752559
최대,219.05017089060487
소재,219.02943385845478
광산,218.87652897354988
방해,217.9143107114478
원래,217.2433198357247
라인,217.13461929577463
없애,216.67708331500245
도움,216.59640890129236
아니,215.2430179580413
농사,214.77358947881578
위기,214.74962775629126
테크,214.51051850591864
회피,214.35946288685906
종료,214.28821065385262
구분,213.1770430872859
파일,212.95655824176765
구역,212.08497698657055
장치,212.08497698657055
할거,211.03378088276943
벗어나,210.70780442800492
이하,210.64023396840906
삭제,209.999252562658
성취감,209.52625041710033
완벽,209.29479235363456
높이,209.29479235363456
개발사,209.29479235363456
지형,209.27855463992063
주민,209.2432270445915
뉴비,209.03209226280813
메시지,209.03209226280813
스타일,208.11663646354566
한계,208.11663646354566
집중,208.11663646354566
코드,208.08194943478892
그런지,207.99892324697043
페이지,207.70972611378937
마찬가지,207.3794831936453
옛날,207.3794831936453
조차,206.82812498250232
깊이,206.82812498250232
먹이,206.2001129944755
정상,205.8529559236725
파악,205.8529559236725
테마,205.7373135198919
인가,205.33260250571004
납득,204.76429018034804
크기,204.42747160122445
노력,203.27671468532367
시대,203.27671468532367
피지컬,203.12761730538918
한정,202.66631312106247
구리,202.15664830787287
환경,201.98569236816243
트리,201.98569236816243
예전,201.90364581625226
오버,201.90364581625226
하트,200.9976321417402
순서,200.71515680444892
요약,200.00232994359578
기계,199.6267720469495
수급,199.6267720469495
떠나,199.56015084881435
생산,198.8146269079246
권장,198.43679290710168
개성,198.17328517598946
수치,197.34339477673305
단어,197.3242398080999
강요,196.9791666500022
움직임,196.9791666500022
계획,196.61692213835
연속,196.27839983419935
반전,195.8901073447517
약간,194.69283009640424
미니,194.61637765395182
과거,194.50813686625847
파괴,194.50813686625847
프레임,193.5826630419266
제작사,193.21895304658972
규모,193.21895304658972
다운,193.21895304658972
세계관,193.21895304658972
점수,193.1746667134302
긴장감,193.1746667134302
인구,192.72402490949216
진짜,192.5301412455932
도중,192.5301412455932
시뮬레이터,192.05468748375216
인상,191.8864077497543
과일,191.55924979609924
컴퓨터,191.4911217894628
연기,191.3524370977344
포커,191.1579124571508
가시,190.7351045198898
판매,190.7351045198898
중국어,190.7351045198898
로딩,190.64039448248064
가이드,189.82029097865774
디테일,189.43394394652663
부정,189.43394394652663
템포,189.38950168556747
캐주얼,189.38950168556747
보석,189.22110385999778
광석,188.6429567125162
공격력,188.35069917592858
레이크,188.34849066894975
이것저것,188.26462091718997
의심,187.71688771445338
손님,187.59290331277654
좀비,187.59290331277654
모니터,187.38228196467236
싱글,187.1302083175021
실수,187.1302083175021
각종,186.83676544055027
줄이,186.83676544055027
데모,186.83676544055027
확장,186.83676544055027
상당,186.7038437447262
오픈,186.03709162279733
이제,186.0286819163185
고통,186.0286819163185
에선,186.0286819163185
더럽,185.6235419960996
수위,184.9439242734247
나타나,184.27086650487647
획득,184.27086650487647
가요,183.9170275724357
방어,183.4954417880117
로만,183.31028878779023
공장,183.11873530993054
역할,183.00757899167073
자유도,183.00757899167073
선물,183.00757899167073
병사,182.46260033554506
시각,182.23310607526864
한참,182.20572915125206
동시,182.20572915125206
기간,181.7871231313462
하드,181.7871231313462
인간,181.7871231313462
투자,181.7460103495657
작동,181.7460103495657
억지,181.1331902869417
차지,180.6066895097185
성공,180.42509887016604
여기저기,180.09086783917394
처리,179.0771057942137
주의,179.0771057942137
천원,179.0771057942137
영혼,178.97799123234648
육성,178.40846935371218
시체,178.40846935371218
시즌,178.39914817721865
현재,178.3559566583905
반대,177.92403513079097
망치,177.92403513079097
콘텐츠,177.88677144393253
바람,177.28124998500198
완성도,176.73748082214215
아케이드,176.5767100021404
함정,176.55326719672098
피랍,176.45345765275457
부여,176.23769865756492
불가,176.23769865756492
엔진,176.20482277439282
공식,175.58983702333745
석상,175.10122317883992
분기,174.56343735399122
수량,174.14641675111
체감,174.03359614349444
하위,174.00193339710293
대신,173.40162452899077
지랄,173.40162452899077
상위,172.84049126991124
메뉴,172.84049126991124
말하자면,172.84049126991124
주제,172.84049126991124
한방,172.3745059220716
물고기,172.3745059220716
고객,172.02775002803227
부검,172.02775002803227
실력,171.68783851293807
이외,171.68783851293807
전환,171.68783851293807
괴물,171.51351160025283
기반,171.51351160025283
로봇,170.69842206269306
파티,170.69842206269306
이식,170.69842206269306
스포일러,170.57298453695637
직업,170.09105519798612
해골,169.54908791391182
최근,169.49352879426067
장난,169.49352879426067
창고,168.9149609628034
해도,168.44729239959102
발매,167.75694740903148
자리,167.43229165250187
개념,167.4228437119365
키워드,167.04612515019005
사이버펑크,167.04612515019005
최고,166.63819620373403
진심,166.63819620373403
대항해시대,166.47700554095402
모자라,165.55613205057531
유도,165.55613205057531
물리,164.96009039558038
모양,164.96009039558038
반응,163.7963257821124
따위,163.7963257821124
이미지,163.7963257821124
더빙,163.4929602701913
아이디어,163.4929602701913
죽음,163.4563616760664
인생,162.67340354815175
관심,162.67340354815175
정돈,162.5939929517799
적재,161.74900284835834
인줄,161.58855389452995
무시,161.58855389452995
인정,160.97503773818676
동선,160.97503773818676
다크,160.79391712523702
관계,160.53927956419423
후회,160.53927956419423
피드백,159.80508757071848
마무리,159.80508757071848
커서,159.460364248112
제거,158.99102712154018
주문,158.91903900192636
임무,158.91903900192636
조정,158.6776906014214
하네,158.53862814079156
재화,158.19811510205454
사양,158.18357581554812
환생,157.376554869764
범위,156.95891597994049
안함,156.53891158532588
