term,tf
게임,7553
플레이,1381
만들,1317
생각,1237
스토리,1176
시간,1175
정도,946
진행,788
사람,696
느낌,694
추천,676
퍼즐,660
재미,628
요소,575
부분,567
캐릭터,566
하나,543
재밌,541
문제,458
자체,438
가지,429
시작,414
처음,404
경우,403
보스,395
시스템,394
난이도,388
아이템,383
전투,375
구매,363
반복,345
플레이어,334
필요,331
이상,330
조작,325
그것,323
초반,319
그래픽,319
선택,318
도전,313
방식,310
평가,302
기대,297
부족,295
공격,289
불편,287
수준,285
가격,282
추가,273
아쉽,271
단점,267
타임,260
주인공,255
모드,251
스테이지,249
이해,247
사용,247
중간,246
이유,243
무기,240
사실,239
힘들,238
과제,238
새끼,232
퀘스트,231
들어가,226
이건,224
친구,220
이야기,220
환불,219
설명,217
기능,214
상황,213
다음,212
짜증,211
여기,205
장점,204
몰입,203
레벨,200
장르,200
패치,199
개인,197
이후,194
업데이트,194
노가다,194
번역,193
배치,192
마지막,192
의미,188
카드,185
건지,183
대부분,182
연출,180
내용,180
화면,179
기본,178
한글,177
개발자,175
출시,175
작품,172
