term,tf
게임,10590
플레이,1939
스토리,1733
시간,1682
생각,1545
진행,989
사람,951
느낌,948
추천,923
재미,865
퍼즐,782
요소,763
캐릭터,692
문제,629
처음,628
보스,610
난이도,610
전투,605
시스템,564
구매,522
아이템,516
반복,491
시작,491
필요,480
조작,467
이상,454
초반,451
공격,446
기대,443
선택,439
그래픽,432
가격,422
평가,415
플레이어,410
부족,408
불편,407
환불,404
수준,380
추가,369
중간,355
단점,354
방식,353
도전,353
모드,342
이해,340
번역,332
친구,321
사실,320
타임,319
노가다,317
주인공,317
짜증,317
스테이지,313
이유,313
무기,309
사용,306
패치,304
한글,297
설명,294
퀘스트,294
업데이트,293
몰입,290
장점,288
개인,271
다음,265
기본,264
출시,263
패턴,260
화면,258
의미,252
이동,251
레벨,248
연출,247
마지막,244
상황,243
개발자,242
설정,242
존재,240
멀티,239
상태,239
과제,233
분위기,231
장르,230
기능,230
작품,227
친절,226
카드,225
내용,225
자원,223
배치,222
특정,213
회차,208
전체,204
과정,203
할인,201
로그,200
건물,199
흥미,197
지역,196
방법,196
배경,195
디자인,194
서버,194
마음,193
스트레스,192
실망,190
클릭,189
세이브,185
물건,183
인지,182
시리즈,180
기분,178
소리,178
경험,176
해결,175
만원,174
컨셉,174
장비,173
리뷰,172
지금,171
공포,170
이벤트,169
전작,169
절대,168
버전,164
제작자,163
매력,161
쓰레기,161
구간,160
종류,159
포인트,159
점프,158
개발,158
공략,158
나중,157
시점,157
메인,156
제작,156
한국어,155
밸런스,154
추리,154
조합,153
관련,152
후반,151
개선,150
대화,150
저장,150
몬스터,150
지원,149
감정,148
능력,147
속도,147
액션,147
대체,146
모바일,146
해금,145
대사,145
취향,144
머리,144
코어,144
효과,142
지도,141
재료,141
기준,140
자신,140
세일,140
그림,140
양심,139
체력,138
구성,136
업그레이드,135
버튼,134
음악,134
강제,132
후반부,131
마우스,130
특성,130
파밍,129
혼자,128
거지,127
마을,127
발생,127
순간,127
제한,126
정보,126
정신,126
긍정,126
결론,124
상호작용,124
현실,123
당신,121
위치,121
텍스트,121
이번,120
단계,120
자동,119
하루,118
모션,118
탐험,117
결과,117
의도,116
던전,116
확인,116
수정,116
목표,116
정식,114
수집,114
본인,114
거리,113
무한,113
신경,113
비주얼,113
영상,113
어려움,112
랜덤,111
사지,111
비교,111
작업,111
연구,111
방향,110
해당,110
소울,110
편의,107
패드,107
차이,107
성장,107
요구,107
일반,107
멀미,107
인물,106
행동,106
보상,105
생존,105
고양이,105
제외,105
조절,105
영어,104
모습,104
기술,103
등장,103
중반,102
사운드,102
월드,102
판정,102
미니게임,102
최적화,101
사서,101
보니,101
고민,101
제일,101
기믹,99
달성,99
키보드,99
오브젝트,99
미션,99
해서,98
실행,98
사기,97
컨트롤,96
구조,96
오류,96
표현,96
볼륨,96
나무,95
무료,95
힌트,95
강화,94
설계,94
설치,94
한번,94
상점,94
수도,93
완성,93
삭제,93
구입,92
타격감,92
회사,92
정리,92
공간,92
제공,91
힐링,91
루트,91
운영,91
분량,91
상자,89
관리,89
건설,89
전략,88
발전,88
확률,88
데미지,88
기억,88
효율,87
실패,87
적용,87
문제점,87
표시,87
회피,87
스킵,86
초기,86
인해,86
직원,86
정가,86
시도,86
가치,85
리듬,85
지루함,84
포기,84
일부,84
입장,84
전부,83
이용,83
컴퓨터,83
구현,83
세계,83
감성,83
기존,82
라면,82
계속,82
시뮬레이션,82
이름,82
성우,82
자기,81
우리,81
하면,81
나머지,81
목적,81
참고,81
유튜브,81
만족,80
파일,80
활용,80
잘못,80
손님,80
조건,79
하지,79
불합리,79
이전,78
고통,78
포함,78
캠페인,78
탈출,77
음식,77
장면,77
감동,77
직관,76
옵션,76
의문,75
인터페이스,75
회복,75
영향,75
검색,75
사건,75
대비,75
발견,74
게이머,74
라이트,74
정작,74
오리,74
타이밍,73
세상,73
필수,73
귀신,73
단서,73
변경,72
변화,72
고정,72
애초,72
최악,72
방해,72
구역,72
지랄,72
도움,72
집중,72
서브,72
동료,71
인간,71
도시,71
현상,71
전개,70
최소한,70
특징,70
상대,70
얘기,70
실제,70
요리,70
원래,69
피곤,69
최종,69
아쉬움,69
슈퍼,69
노벨,69
미니,69
실수,68
얼마,67
로딩,67
결말,67
아래,67
그런지,67
자유도,66
마라,66
경영,66
유발,66
이제,66
시나리오,66
한국,66
허무,66
언어,66
요약,66
연결,66
필자,66
세계관,66
고려,65
완료,65
완전,65
업적,65
옛날,65
최소,64
도구,64
유물,63
낚시,63
스포,63
한정,63
주변,63
후속작,63
프레임,63
아트,63
동물,63
수록,63
노래,63
정답,63
생산,63
완벽,62
불만,62
유닛,62
방어,62
조차,61
절반,61
인가,61
정상,61
도중,61
우주,61
자연,60
파악,60
긴장감,60
최대,59
소재,59
불가,59
직업,59
예상,59
증가,59
부정,59
점수,59
준비,58
대신,58
연속,58
언급,58
전달,58
깊이,58
요즘,57
스타일,57
강요,57
장소,57
개성,57
다크,57
오픈,57
완성도,57
버프,57
바닥,57
일정,57
성취감,57
천원,57
한계,56
잡기,56
필드,56
유지,56
적응,56
묘사,56
