term,tf-idf
게임,11286.47471906328
스토리,5160.211739178249
플레이,5103.823227430974
만들,5060.196220705189
생각,4763.9575733516385
시간,4369.201531225922
정도,3881.507526481197
진행,3848.889760452788
퍼즐,3838.393197422227
재미,3646.549811865958
느낌,3310.3069082773213
사람,3180.615642391256
캐릭터,3123.4498176682428
추천,3083.6471751644917
요소,3044.357057843911
부분,2987.4642479286936
전투,2861.155899634109
보스,2764.7112091471827
시스템,2710.7572897028435
경우,2696.4930474952553
하나,2683.1693221807745
문제,2551.7689181546884
공격,2444.5539927196837
아이템,2421.659370247323
자체,2408.6087152944483
가지,2391.3889608679683
난이도,2373.9794688744983
누드,2287.43781894361
시작,2253.6830124008907
조작,2232.207146638622
처음,2190.7051243532396
구매,2161.4896675310174
플레이어,2130.5741795846957
도전,2071.637239230429
반복,2067.5310280226304
선택,2023.265930330438
필요,1994.9484738206158
무기,1987.969466706545
초반,1968.1472007955108
이상,1960.8987684735919
그것,1914.1532304724735
주인공,1908.7673718766544
평가,1886.4112607779423
방식,1866.4885133554421
그래픽,1861.0865370604859
기대,1856.7008861015224
부족,1831.3786114333675
불편,1815.0617755368785
모드,1806.420827338176
추가,1784.4550346680637
스테이지,1769.6427667523496
새끼,1765.0309878248106
수준,1751.155774711913
퀘스트,1739.8863275443614
중간,1723.2946417509118
가격,1720.6037416838924
재밌,1712.9823620984946
아쉽,1701.8274430298873
과제,1695.6276973110848
단점,1666.3877734451205
사용,1663.3542882261086
이해,1615.6253647720691
카드,1614.7186907099153
들어가,1596.2378603948043
설명,1593.0326396286578
타임,1569.6182880659842
배치,1568.503565594648
레벨,1539.7085355758325
이유,1524.8498198054315
상황,1494.4212921352334
패턴,1480.7030762703005
이야기,1476.7686876840319
번역,1476.0822561176542
짜증,1474.3479527379584
사실,1465.9747554144185
힘들,1465.6535260387964
여기,1462.7243088768332
연출,1452.474228963943
건물,1443.3695445967314
몰입,1442.3766375942755
연산,1441.113229186336
환불,1412.8200371258488
분위기,1401.8941555790477
개인,1395.3523753224526
장르,1392.9718163994398
장점,1387.0751703973938
친구,1381.225619228281
작품,1380.6282564778776
이건,1370.6213040163857
노가다,1368.4641617955429
다음,1366.8145624173605
스티커,1346.5822070270933
업데이트,1345.990271798988
패치,1343.5067640804693
기능,1341.758029998717
마지막,1330.047695828742
과정,1328.3759914771888
화면,1323.618429780984
의미,1311.9917829944236
이후,1304.9808521289735
전작,1303.8159688043302
출시,1296.3480841704636
배경,1292.1760460891621
이동,1287.844834122
지역,1272.979727354401
존재,1261.1274090847016
기본,1260.588980743794
특정,1253.8289686223443
한글,1251.8021176198192
자원,1248.8367350631363
내용,1242.9233699781882
대부분,1233.9569999055748
상태,1227.816136718333
설정,1218.8294639670776
끝나,1212.5243366080792
전체,1201.4826880050502
시리즈,1191.7307537680472
업그레이드,1181.6847477487097
로그,1176.4573148607396
디자인,1176.1674500243182
회차,1174.7519255724592
클릭,1171.2142240785388
개발자,1164.4374031522857
거기,1157.7924084412302
구간,1154.0780322017883
경험,1149.169586225605
이거,1144.020136799713
멀티,1137.2071245106854
방법,1130.4184648740566
공포,1128.1507992843835
할인,1127.7079614770776
컨셉,1117.2696615211203
이벤트,1106.0507649350502
동안,1101.7890943687191
흥미,1099.2363587250577
친절,1096.9055206767093
마음,1094.4609899018703
넘어가,1089.654565669771
제작,1088.1307160759718
종류,1072.5377317140267
장비,1069.5438530851127
미니게임,1065.3900793406006
세이브,1045.6690437297655
소리,1042.398857030983
버전,1040.2165814162154
고양이,1030.9504215947468
메인,1025.4907551320916
지금,1004.5026456081634
실망,1002.5954252492895
매력,1002.5388572076974
리뷰,993.8106504949775
몬스터,992.5387425634838
지도,988.8481901174684
시점,987.8992841473178
해결,986.1630403413411
대사,982.5906290562385
단계,980.0615417973569
효과,973.6198467813017
포인트,967.6568071205343
속도,958.2261939405317
나름,956.564949502077
무엇,953.3668726346904
스트레스,948.1896217389062
그림,940.2216417242936
재료,937.4743871853881
정보,936.2181528492908
모바일,930.441878010582
능력,930.1574351292562
지원,927.0151249415325
추리,925.1304625693467
관련,919.2739667645076
물건,915.817965380798
후반,911.1003155500138
이랑,910.3043449304688
재미없,907.0831688231167
음악,905.2948002265122
제작자,900.9474413316417
만원,895.7453377995125
마을,893.6671728309307
서버,893.0855432996105
점프,891.9847467198988
위치,890.5450272888827
돌아가,889.809081125711
나중,883.1306709538179
조합,878.7632788461473
인지,878.4051131959152
만큼,878.4051131959152
기준,877.2215000567353
액션,877.1476714204722
수집,876.4518698756873
나가,869.9950669198536
탐험,858.5650970210813
발생,858.5423712370749
해금,857.5386403111108
기분,856.2060988879806
텍스트,855.2420072862017
대화,848.6531515696006
확인,847.1000279638141
이다,844.6058815489417
버튼,844.075757074112
후반부,843.2268337153071
지나,843.1167225985891
다니,839.1085182660423
공간,838.9591467359977
대체,838.635899504463
등장,833.0894231591361
해당,832.723182320211
밸런스,828.9033490531449
결론,826.6741622294782
리듬,824.4052143432972
자신,824.3414515727059
공략,822.5082860524542
이번,821.4861246349061
취향,820.1125251334395
인물,819.5591496029487
체력,819.1696653550091
시발,816.0980370569788
비주얼,811.6072109960894
긍정,810.3618417394867
저장,810.3173726455791
제가,810.0653489665157
세일,808.8498397649051
등등,808.2812324841691
절대,806.9144653649101
하루,800.1167755903896
머리,797.6039206582934
연구,797.1956729957197
기믹,795.9613920299608
거리,794.4723938622419
방향,793.4464556572009
본인,788.5298583802329
일반,786.0699585244046
월드,784.2230952806701
나무,782.6475294738768
개발,782.0839482718421
코어,778.3847841389525
구성,778.0909720591451
제한,775.1764406838677
오리,774.0666248680426
사운드,773.6823525841477
마우스,768.5484359112709
결과,767.972414705977
패드,763.45717784849
특성,762.2455297675585
비교,759.2944911214921
정리,758.646373785625
개선,758.3941354468894
목표,753.484086896667
남기,751.8408612175476
조금,751.2019115905522
올라가,750.7880440627277
사기,750.1507209311624
오브젝트,742.3010734661433
세계,741.9680909693469
신경,740.198384284632
성장,739.7274197027077
상호작용,739.5793858657637
타이밍,734.8886513049173
구조,733.7246794249385
자동,733.6638918997082
달성,733.2897654342172
그리,732.4933965229226
작업,727.4477502629486
감정,725.7025431636058
실패,725.1929971060439
나서,722.9698784146402
누구,720.7579530653134
회피,718.4602978850313
현실,718.425711830101
보상,718.3575204159349
순간,717.6787986143963
미션,717.2772212932958
표시,715.4119847244581
도시,711.4399077354476
행동,710.7234352401659
조절,710.7234352401659
의도,708.1296324682546
직원,707.7135250093852
사지,704.3770904956472
강제,704.1181779539539
영어,700.6202976896155
이용,696.1690518940835
제외,693.9788359712562
랜덤,692.1539868004267
발견,689.4297813837749
한국어,689.4297813837749
기술,687.1946915778091
하지,686.5975654178048
모션,686.1193185651321
중반,685.7350083194508
파밍,685.6010231390949
흡수,682.313237460135
바라,681.5338927469112
수정,681.5281349329783
모습,680.7028221257524
생존,679.5800570511598
편의,678.9796925880567
소울,677.7810656657844
업적,677.622561888774
세상,677.00451033522
무한,676.6567750957929
혼자,676.6567750957929
검색,675.6182899721005
늘어나,675.4586308411107
판정,674.6311010586437
멀미,673.5395026252297
부수,667.4793941424334
