term,tf
게임,10590
플레이,1939
스토리,1733
시간,1682
생각,1545
진행,989
사람,951
느낌,948
추천,923
재미,865
퍼즐,782
요소,763
캐릭터,692
문제,629
처음,628
보스,610
난이도,610
전투,605
시스템,564
구매,522
아이템,516
반복,491
시작,491
필요,480
조작,467
이상,454
초반,451
공격,446
기대,443
선택,439
그래픽,432
가격,422
평가,415
플레이어,410
부족,408
불편,407
환불,404
수준,380
추가,369
중간,355
단점,354
방식,353
도전,353
모드,342
이해,340
번역,332
친구,321
사실,320
타임,319
노가다,317
주인공,317
짜증,317
스테이지,313
이유,313
무기,309
사용,306
패치,304
한글,297
설명,294
퀘스트,294
업데이트,293
몰입,290
장점,288
개인,271
다음,265
기본,264
출시,263
패턴,260
화면,258
의미,252
이동,251
레벨,248
연출,247
마지막,244
상황,243
개발자,242
설정,242
존재,240
멀티,239
상태,239
과제,233
분위기,231
장르,230
기능,230
작품,227
친절,226
카드,225
내용,225
자원,223
배치,222
특정,213
회차,208
전체,204
과정,203
할인,201
로그,200
건물,199
흥미,197
지역,196
방법,196
