term,tf
게임,8747
플레이,2067
나오,1571
시간,1554
생각,1489
재밌,1371
만들,1320
스토리,1200
정도,1142
멀티,1046
추가,1028
추천,993
사람,966
때문,896
난이도,890
퍼즐,868
보이,818
진행,785
느낌,778
부분,741
캐릭터,697
도전,688
어렵,675
모르,674
부족,664
가지,651
재미,626
해보,625
요소,612
하나,604
시작,550
경우,548
보스,545
아이템,545
처음,535
필요,525
과제,501
아쉽,496
리어,480
선택,462
구매,442
모드,432
전투,429
한글,427
초반,425
가격,420
무기,419
번역,410
이상,405
단점,404
사용,391
그래픽,387
자체,382
시스템,372
친구,371
공격,367
레벨,363
방식,362
문제,362
존재,338
전작,338
이렇,335
주인공,330
중간,325
개인,316
스테이지,313
회차,309
퀘스트,309
이야기,300
시리즈,300
기대,299
사실,297
그것,296
타임,295
플레이어,295
다음,293
패치,287
평가,283
조작,281
마음,279
설정,278
여기,278
건물,277
힘들,274
기본,271
이후,263
마지막,256
기능,256
장점,254
분위기,248
자신,244
업데이트,243
들어가,242
수준,241
반복,236
스팀,235
작품,233
불편,231
상황,230
나름,228
클릭,226
전체,224
몰입,223
카드,222
이해,222
그림,222
배치,220
우리,213
포인트,212
장비,207
출시,207
자원,207
나무,207
배경,207
설명,206
방법,203
당근,203
모으,202
이동,202
화면,201
상태,200
조합,199
장르,199
만큼,198
식량,198
마을,198
해금,196
발언,195
이유,194
과정,193
나가,193
공략,192
달성,192
내용,191
제가,189
한국어,189
강화,188
해결,187
종류,187
공포,187
할인,187
특정,186
지원,186
개발자,185
사서,184
업그레이드,184
확인,182
후반,179
최고,177
소리,176
능력,173
노가다,172
대부분,172
리뷰,170
연출,169
디자인,165
음악,164
생산,163
해당,163
패턴,162
지역,162
참고,162
조금,161
만족,160
이번,159
액션,159
로그,158
지금,158
버전,158
모습,158
수집,157
기준,154
동안,154
구성,153
자동,152
시설,152
위치,151
이건,151
속도,151
관련,150
취향,149
현실,148
몬스터,148
이벤트,148
고양이,147
당신,146
세일,145
개발,144
이랑,144
등등,144
미션,144
머리,143
보니,142
탐험,142
그리,142
물건,142
매력,141
나중,141
흥미,140
일부,139
이다,139
제일,138
대화,138
완료,137
지나,137
혼자,137
등장,137
상대,136
힐링,136
순간,136
이용,136
경험,136
마법,136
효율,135
특성,135
옵션,135
제작,135
아델라,135
업적,134
체력,134
의미,133
효과,132
누구,131
세이브,131
이거,131
전기,131
인간,130
기억,128
상자,128
무엇,127
만나,127
파밍,127
올라가,127
메인,126
거리,125
영상,124
재료,124
수정,123
바라,123
무료,122
어려움,122
감사,121
성장,121
인지,121
마리,120
기분,119
제외,119
시발,118
편의,118
고민,118
이름,117
넘어가,116
추리,116
연구,115
시점,115
밸런스,115
후반부,115
모바일,115
시키,114
생존,114
제작자,114
사운드,113
