term,tf-idf
게임,6568.853853463687
멀티,4018.759288197824
플레이,3576.036820284453
나오,3199.477415082438
시간,2874.855946322836
추가,2872.5118387764574
생각,2851.713203099062
만들,2693.6856300463887
스토리,2628.6129254385155
재밌,2544.0612960721965
정도,2409.4586538061003
퍼즐,2314.569561148178
사람,2205.8094087825766
부족,2188.2003014987095
때문,2165.834911421652
난이도,2118.3326508130303
추천,2031.8199014191985
진행,2018.7912067544391
부분,1951.7418088753766
보이,1951.6766299696037
캐릭터,1947.6077350459054
느낌,1875.9758123440533
도전,1792.0545234155281
보스,1743.8568420251456
아이템,1727.5172884696406
가지,1674.1822619071845
경우,1647.6194588513986
요소,1639.787867714639
어렵,1631.6278629571598
모르,1610.7075137220627
재미,1575.9670284579302
하나,1567.4910152347873
무기,1557.7731616150656
해보,1512.0103212801544
시작,1502.8501321269732
당근,1472.0590213418773
과제,1463.315255099211
전투,1445.7121856362821
필요,1443.1928045887248
선택,1437.9120269089847
리어,1409.939068967659
모드,1374.8380639411428
처음,1373.3872145695552
아쉽,1348.5856986155475
발언,1334.9811470798247
번역,1330.117525828922
한글,1283.8202717692468
공격,1280.9482315920338
구매,1278.0931418943217
초반,1271.7571378411137
사용,1239.3747886084943
이상,1229.4576142084115
레벨,1217.7244845157215
가격,1217.1699630555117
시스템,1206.8383405081927
단점,1189.4101359546598
전작,1181.6997401062129
퀘스트,1162.6493669564968
친구,1157.6549465291246
방식,1147.4518503229538
자체,1143.0852391889541
회차,1142.1178312393774
그래픽,1141.9755743538606
문제,1129.5716728936472
스테이지,1115.1072021924247
주인공,1108.7016515881214
중간,1107.1801054877517
시리즈,1096.263003609492
존재,1093.4770671312815
건물,1093.1718441685007
플레이어,1027.9348865764482
이렇,1018.1972160384365
아델라,1017.7925865847019
이야기,1006.3838715005962
개인,986.0349409789849
설정,967.0956509980742
패치,964.2344666842147
사실,959.5015240971176
식량,952.2166969756744
조작,944.0762548371579
그것,942.0186734411533
다음,937.5230361713168
나무,930.3991548211278
타임,924.0831038532459
평가,921.9911562964633
