term,tf
게임,16294
플레이,3475
시간,3256
사랑해,2805
스토리,2572
생각,2448
사람,2209
추천,1665
친구,1562
난이도,1505
퍼즐,1389
추가,1377
멀티,1252
진행,1250
느낌,1222
도전,1064
캐릭터,1030
재미,1022
요소,973
처음,950
모드,914
필요,906
시작,885
보스,858
아이템,836
한글,813
과제,758
그래픽,743
구매,739
선택,703
무기,695
이상,678
가격,677
단점,662
클릭,654
초반,648
문제,635
전투,634
시스템,621
사용,595
공격,582
존재,575
부족,563
레벨,562
방식,558
번역,544
개인,523
플레이어,516
전작,501
회차,499
주인공,498
시리즈,498
평가,492
작품,492
조작,484
사실,482
분위기,470
마음,467
장점,460
다음,460
스테이지,455
기본,446
중간,439
패치,432
몰입,432
기대,428
마지막,413
업데이트,410
퀘스트,410
설정,404
상황,400
자신,396
수준,392
카드,392
기능,389
고양이,388
이해,384
건물,381
불편,366
배경,365
상태,355
장르,350
니다,348
지원,348
전체,348
공포,344
방법,334
탄창,333
마을,331
반복,330
설명,328
포인트,327
자원,321
출시,318
연출,318
해결,318
배치,317
내용,315
공략,314
이유,313
화면,302
최고,299
소리,299
액션,298
조합,296
음악,296
할인,295
이동,293
현실,292
장비,291
노가다,291
만족,291
개발자,290
확인,288
그림,288
종류,286
달성,282
한국어,281
과정,279
능력,276
리뷰,275
머리,274
특정,273
경험,271
상어,271
물건,271
특성,263
세일,261
버전,259
디자인,258
혼자,256
해금,255
후반,254
지금,253
사서,252
파밍,250
패턴,249
참고,248
체력,246
관련,246
기준,244
지역,244
속도,243
몬스터,243
매력,242
이벤트,240
세이브,239
업그레이드,239
이번,237
강화,237
나중,236
효과,233
제작,232
행복,232
순간,231
의미,229
레디,229
힐링,228
세계,228
개발,226
제일,224
나무,223
구성,223
자동,223
보니,222
흥미,221
등장,221
수집,221
모습,221
건설,220
고민,220
해파리,219
니코,219
해당,218
효율,216
대화,216
무료,215
이용,215
취향,213
위치,212
재료,212
기억,211
개선,210
생존,209
동물,209
영상,209
