term,tf-idf
사랑해,18593.245745689444
게임,13181.01788903088
플레이,6301.997152559487
시간,5786.354934957115
스토리,5469.15305338204
사람,5117.923130367685
생각,4960.3803321086325
친구,4829.388739180898
멀티,4612.579750526818
추가,4018.8109178159557
퍼즐,3926.3125492699564
난이도,3733.827474425509
추천,3565.727645218385
진행,3304.500263494448
느낌,3083.846840291176
캐릭터,3029.7614444035635
도전,2979.1645820905287
모드,2934.7456227852804
보스,2889.54501694112
아이템,2848.151023848334
요소,2762.8920414312634
재미,2651.4435551860097
필요,2614.5795755975546
무기,2581.7205683033153
시작,2521.630944853428
처음,2520.2928464721067
한글,2500.2212976350315
클릭,2468.591012896707
과제,2337.305543124741
선택,2313.7941140961557
전투,2226.5593246554145
구매,2213.1486512844212
그래픽,2177.6139026346154
공격,2171.052741857765
이상,2136.9023062902197
탄창,2088.5537439588065
초반,2074.609161822624
시스템,2059.8712122107972
가격,2041.6705730258145
문제,2032.988916292232
단점,2005.4236185740351
사용,1997.3369327601804
레벨,1989.9395423466392
존재,1972.2126200719695
번역,1912.2104830747815
회차,1906.6431053976419
부족,1883.8469916697713
시리즈,1877.7076122245207
전작,1874.8484622312976
레디,1870.7131713333615
플레이어,1837.2464697048335
방식,1832.32087011281
상어,1796.3527975336324
작품,1770.1099816825467
스테이지,1768.9344787000216
주인공,1748.937766054253
개인,1692.9406332687806
조작,1675.8647473246183
평가,1674.7848573946987
카드,1645.9144046590866
건물,1634.8449762426283
사실,1619.3187652055833
분위기,1617.582705671051
중간,1617.3502479882375
해파리,1603.4644084092904
박하민,1601.1344173857592
퀘스트,1592.0998540806088
고양이,1568.2644807743134
기본,1567.7313886973393
마음,1556.4041704697288
당근,1554.9884416284185
다음,1550.4353226410074
장점,1545.4079501961996
패치,1542.4870833029006
니코,1504.4796663095608
설정,1482.3743657572193
현아,1470.6516991419203
몰입,1465.6613937451582
기능,1461.9697926653478
상황,1450.3033470629355
마지막,1441.3754166489646
자신,1433.0017153719614
업데이트,1430.905377302846
기대,1428.6966543479787
발언,1420.420526170787
마을,1398.2235464748242
수준,1391.8499929781783
자원,1384.1001202991356
이해,1358.425211758801
상태,1347.365141548012
쿠키,1344.8004877587005
공포,1335.810609277389
배경,1332.5764344390416
불편,1315.5292347411691
장르,1294.7623271920245
배치,1293.4486435832391
니다,1288.69447088292
지원,1282.090857175186
방법,1270.4804336123273
전체,1269.2480713616492
포인트,1265.3273950244077
해결,1245.2267230279647
체리,1236.374510269486
연출,1234.8481795064235
설명,1230.0697138188843
장비,1227.3825445216614
조합,1219.5706046874716
공략,1217.8784245565905
반복,1212.0748394678922
내용,1203.5923410826797
액션,1201.3045957781198
출시,1192.5675883975769
물건,1188.2980128384609
능력,1167.6767427861832
노가다,1162.4477710892263
확인,1160.9923610204648
현실,1156.1441404287202
소리,1155.6314289602287
화면,1155.224813878245
음악,1150.779353176278
이유,1147.3160913450301
그림,1144.6158567948364
이동,1141.8290312670622
개발자,1138.3460441228858
종류,1136.6671355670944
행복,1133.4682025098043
과정,1132.2320207253747
할인,1115.946209005915
사서,1114.7165447384891
달성,1109.6549539830835
특성,1107.6033635439987
한국어,1104.3657878492518
최고,1102.6927481701598
강화,1088.9762751796504
체력,1086.2462529702552
만족,1082.1095019267675
몬스터,1074.9052395692572
리뷰,1072.9645914827402
특정,1072.9247689780987
아델라,1071.8664665366764
해금,1067.4965737708023
세일,1066.4151728471788
지역,1066.237455829268
패턴,1063.342838043003
파밍,1062.596400445132
디자인,1055.6110521535786
나무,1051.1748459798653
머리,1046.934290338585
버전,1046.856960104503
경험,1046.1937837936755
후반,1032.1693228857387
관련,1010.7180942877071
