term,tf
게임,16294
플레이,3475
시간,3256
사랑해,2805
스토리,2572
생각,2448
사람,2209
추천,1665
친구,1562
난이도,1505
퍼즐,1389
추가,1377
멀티,1252
진행,1250
느낌,1222
도전,1064
캐릭터,1030
재미,1022
요소,973
처음,950
모드,914
필요,906
시작,885
보스,858
아이템,836
한글,813
과제,758
그래픽,743
구매,739
선택,703
무기,695
이상,678
가격,677
단점,662
클릭,654
초반,648
문제,635
전투,634
시스템,621
사용,595
공격,582
존재,575
부족,563
레벨,562
방식,558
번역,544
개인,523
플레이어,516
전작,501
회차,499
주인공,498
시리즈,498
평가,492
작품,492
조작,484
사실,482
분위기,470
마음,467
장점,460
다음,460
스테이지,455
기본,446
중간,439
패치,432
몰입,432
기대,428
마지막,413
업데이트,410
퀘스트,410
설정,404
상황,400
자신,396
수준,392
카드,392
기능,389
고양이,388
이해,384
건물,381
불편,366
배경,365
상태,355
장르,350
니다,348
지원,348
전체,348
공포,344
방법,334
탄창,333
마을,331
반복,330
설명,328
포인트,327
자원,321
출시,318
연출,318
해결,318
배치,317
내용,315
공략,314
이유,313
