term,tf
게임,7079
캐릭터,2119
스토리,1801
가챠,1387
과금,957
생각,865
플레이,838
말,835
이벤트,778
정도,660
소통,633
문제,617
업데이트,578
번역,563
개발자,531
운영,518
확률,516
재미,514
시간,512
모바일,493
자원,468
시작,462
돈,457
사람,455
최고,404
부족,391
콘텐츠,387
출시,383
필요,372
서버,372
디펜스,363
캐시,344
처음,341
평점,325
운,323
단점,303
피로도,303
추천,283
마음,280
접속,279
자체,272
계정,258
진행,250
보상,249
오류,243
리뷰,242
매력,241
이상,241
시스템,240
감사,240
전략,239
일러스트,235
부분,234
화면,231
난이도,229
천장,227
추가,219
느낌,219
클리어,218
용량,214
게임사,213
스테이지,212
장점,211
육성,208
레벨,208
머리,206
수정,206
삭제,202
해결,200
뉴비,193
요소,193
광고,193
한국,189
만족,188
개선,184
사랑,184
애정,178
인생,174
반복,173
디자인,171
초반,171
유도,170
이유,170
수급,169
지능,169
다운로드,168
사용,166
전투,162
개인,162
설치,162
불편,157
스킬,154
메인,153
밸런스,150
버전,149
부탁,148
경우,148
아이템,147
그래픽,146
개성,146
소리,146
기대,145
로딩,145
하루,144
논란,143
최근,141
한정,141
월드,138
조작,137
이건,136
기능,135
동안,135
임무,135
저장,135
중국,134
자동,132
공간,132
수준,130
니다,125
실행,124
조금,123
이해,123
방식,120
스킵,119
수집,119
콜라보레이션,119
로그인,119
친구,117
설정,116
복귀,115
가요,115
신경,113
완벽,112
성능,110
상황,108
코스튬,108
라고,107
최적화,107
리세마라,106
취향,105
계속,105
공략,103
등급,101
노가다,101
일본,99
기믹,98
경쟁,95
더빙,95
전술,95
오역,94
표절,94
신규,93
무시,93
선택,92
기본,92
건지,92
실망,92
오늘,92
검열,92
몰입,91
패치,91
초기,90
최악,89
할거,89
모델링,89
성장,88
고객,88
제일,87
현지,87
상태,86
설명,86
퀘스트,86
방법,85
중간,85
답변,84
평가,84
공지,84
현상,84
배치,82
답,82
애니메이션,81
사실,81
인지,81
의견,81
다음,81
확인,79
기분,78
욕,78
흥미,78
파밍,77
화이팅,77
예전,77
이다,77
신이,77
공식,76
스타,76
모드,75
오랜만,75
소모,74
존재,74
모습,74
차이,73
짜증,73
이후,73
결제,72
세계관,72
갤럭시,72
서브,71
본인,70
기간,70
서비스,70
자신,70
모험,70
비교,68
경험,68
혜자,68
음악,68
분재,67
입장,67
특정,65
후반,65
속도,65
표현,65
회복,65
버튼,65
테러,65
대부분,64
데이터,64
연출,64
패키지,64
지역,64
완전,64
대응,64
발열,64
대체,63
쓰레기,63
조합,63
방송,63
카페,63
제외,62
나중,62
보스,62
한번,62
노력,62
편의,61
수도,61
부재,61
저가,61
보니,61
붕괴,61
문제점,61
발전,60
발생,60
투자,60
관련,60
정신,60
인물,60
인가,60
플레이어,59
필수,59
이야기,59
만원,59
절대,59
팀,59
스트레스,58
장르,58
유튜브,57
원래,57
점검,57
클라이언트,57
해도,57
양산,56
진심,56
성우,56
불만,56
안드로이드,56
핸드폰,55
특성,55
어려움,55
월정액,55
사건,55
무기,55
진짜,54
요구,54
안녕하세요,53
차별,53
영상,53
응원,53
기존,53
거지,53
피드백,53
대처,52
구매,52
나선,52
의미,51
확정,51
일부,51
불통,51
한국어,50
부담,50
방치,50
하면,50
포인트,50
대회,50
푸리,50
내용,49
오타쿠,49
인해,49
일퀘,49
목소리,49
전체,49
채팅,49
얼마,48
유일,48
모집,48
무한,48
이용,48
보이스,48
미션,47
감동,47
아방가르드,47
실패,47
합성,47
무료,47
숫자,47
젤다,47
불가,46
숙제,46
배경,46
혐오,46
게임물관리위원회,46
지속,45
문의,45
가격,45
획득,44
강화,44
지원,44
상시,44
안함,44
유닛,44
사랑해요,44
분위기,44
