term,tf-idf
게임,6696.020281507135
캐릭터,3494.5705135165917
가챠,2913.842923580177
스토리,2898.2657650994183
개발자,2450.5444143566297
과금,2308.6793694304456
플레이,2011.2456816349336
콘텐츠,1881.5734028950194
번역,1820.0983945368212
생각,1797.2365216328947
재화,1790.8247919009873
업데이트,1779.2512976051053
이벤트,1655.5602137480416
정도,1603.6411808770854
확률,1529.8873820644153
재미,1521.0822297200577
운영,1515.5855346392568
문제,1444.6770336711254
말,1397.9697091251255
서버,1315.0070446716709
디펜스,1284.948409125392
피로도,1241.299150352268
시간,1218.6564958695844
시작,1216.3481097904235
최고,1211.094963929344
최적화,1197.6190930733947
돈,1185.414713435852
필요,1093.4070327068923
사람,1080.1989360948055
모바일,1073.021050263472
부족,967.8334121484144
전략,966.1274885079192
접속,961.2580572810349
처음,956.3652540088877
계정,955.4811071955315
오류,934.4399975121943
추가,914.6571141351152
스테이지,899.4584253024186
화면,892.0473998038495
클리어,877.3195439114689
천장,868.4740556859667
출시,856.1902097575934
진행,845.0421729470266
마음,831.9584113682275
단점,824.4993530356311
리뷰,824.0885770555607
머리,818.8256123950766
시스템,804.9271735626032
추천,803.1417756507298
자체,798.8558888405686
감사,789.8772321588871
난이도,784.1668973823673
부분,779.9051207661588
매력,766.2014189826067
수정,747.2173848759048
다운로드,741.5959591419111
광고,729.2867891762705
삭제,726.2475948640906
해결,724.5020247554481
일러스트,722.420923556508
요소,716.2479262282809
지능,704.2542385789034
평점,693.8809682255289
육성,692.822449717457
느낌,691.5910730717234
이상,689.2723470325649
자동,682.6853607936588
장점,669.7663924429831
설치,666.8272567594801
기술,663.4379553842161
보상,648.9258538934537
레벨,641.839102218808
한국,641.4736751011021
수급,632.6257830549087
전투,632.1543199910543
만족,624.4651288229074
인생,620.0362981220358
자원,599.6169652856324
사랑,599.5123399703982
유도,587.3147740864038
한정,586.1064779536479
로딩,575.2116698355225
이후,573.2317947711977
개선,567.1717276928736
소리,566.4912277990621
부탁,563.8941902798288
초반,549.6053282494627
뉴비,544.0159566469092
하루,538.4459833910493
콜라보레이션,536.4431408148947
개성,532.8035152509034
개인,528.2103814987404
이유,527.3983148477852
수집,521.3128438344643
사용,516.6163317278475
메인,514.9804868483095
리세마라,512.4353557518639
실행,510.2121490071215
일본,504.47359965062014
경우,502.76676413390425
기대,501.47259968859487
기능,497.9324683249244
불편,497.83028330138035
운,497.0194455516991
애정,486.37045980118125
타워,480.07731169412045
설정,479.4936175348228
밸런스,478.595285089005
공략,475.7765974907988
등급,466.9691059547988
오역,465.70378031361133
로그인,455.68236432678265
반복,453.52375096814393
코스튬,453.14698539978
최근,452.9920949128649
요즘,452.9920949128649
취향,443.6645389905756
친구,434.0899003457025
조작,432.2983941212047
완벽,428.470360293161
복귀,425.67290536254677
가요,424.63097674148247
상황,423.3764390695966
방식,421.1685227253194
오늘,416.91763697647315
중국,412.21996320787065
배치,410.9796282849934
경쟁,410.6205374808186
조금,410.2013359922558
신경,410.2013359922558
이건,408.12622790920614
성능,406.20208950886365
유즈,405.0027005795803
니다,403.91621971333916
현상,403.91621971333916
이해,401.34882753824553
더빙,398.86726696692244
수준,394.92471574987826
라고,393.4910433705662
상품,392.80584017705576
동안,392.4583489267453
노가다,383.6528696425593
방법,381.9093688711461
애니메이션,376.150716427182
답변,376.150716427182
스킵,370.9979668870836
디자인,369.6090288428348
소모,367.58327290381453
계속,361.54086919801836
가차,359.99287622528084
초기,359.6071747493692
기본,357.4858002846962
러스트,357.4858002846962
이제,357.482621815382
제일,355.4268283202557
성장,353.65159563136257
현지,353.41647381878244
확인,351.4578570005235
공지,351.29480607498954
오랜만,350.3493022013949
스타,346.578514452168
상태,343.2500781127931
분재,343.2500781127931
용량,342.7014653514672
혜자,342.1649802724949
결제,338.9278404162249
버전,338.32197969426596
회복,337.30675997811016
신규,336.99238549684264
평가,334.9820914913495
갤럭시,334.9287201063949
세계관,333.90643591910106
건지,330.8249456134331
설명,327.7494178288201
존재,325.8217833042619
지휘,324.6875122917173
자신,324.5139011322448
이다,321.43889078160373
선택,320.3225663876098
기간,319.27980595269247
