term,tf
게임,3390
캐릭터,635
번역,536
과금,527
스토리,490
플레이,472
가챠,443
업데이트,375
디펜스,361
이벤트,341
생각,336
재미,324
정도,320
문제,301
피로도,301
운영,263
시간,231
전략,210
재화,208
필요,206
시작,197
사람,189
클리어,185
머리,180
스테이지,179
최고,177
오류,174
부족,173
지능,164
난이도,161
접속,157
처음,152
진행,149
광고,141
추천,137
출시,132
단점,131
수정,125
리뷰,123
시스템,123
계정,123
모바일,123
자체,117
확률,117
부분,116
해결,115
육성,113
설치,113
평점,111
다운로드,110
화면,108
유도,106
요소,104
삭제,102
타워,100
자원,99
장점,98
이상,98
자동,97
보상,93
공략,91
콜라보레이션,91
오역,91
감사,88
추가,87
매력,85
뉴비,85
만족,84
느낌,83
마음,83
초반,83
한정,79
한국,79
기능,78
이후,78
배치,77
수집,77
부탁,77
밸런스,77
사용,77
코스튬,76
하루,75
레벨,74
개인,70
등급,69
서버,69
반복,69
기대,68
복귀,68
상품,68
개선,67
실행,67
답변,66
전투,65
취향,65
인생,64
최근,64
신경,63
노가다,63
소리,63
