recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
145731809,76561199367947485,5,3,195,0,195,2022-08-18,koreana,"친구없으면하지말자",2023-09-06,2023-09-06,False,89,23,0.836502373218536377,0,True,False,False
145582378,76561198383789280,0,21,1559,0,1559,2023-09-02,koreana,"와 나루토  넌 영웅이야 이딴 엔딩만이 당신을 기다립니다스토리 밀지 말고 낚시나 하십쇼",2023-09-03,2023-09-03,False,1,2,0.523809552192687988,0,True,False,False
142272173,76561198431224466,0,2,1065,0,612,2023-07-18,koreana,"바다 이제 싫어    보기도 싫어  ",2023-07-18,2023-07-18,False,1,0,0.5,0,True,False,False
126327004,76561198154693836,3077,23,341,0,341,2022-07-09,koreana,"일단 친구부터 사귈게  ",2022-11-23,2022-11-23,False,343,55,0.932970225811004639,0,False,False,False
83535436,76561199029793178,0,3,2544,0,14,2023-11-04,koreana,"친구없음 하지마라  ",2020-12-30,2020-12-30,False,137,75,0.892425179481506348,8,False,False,True
106433684,76561198354223501,0,2,1811,0,979,2022-07-23,koreana,"업데이트좀해라",2021-12-25,2021-12-25,False,104,7,0.859803974628448486,0,True,False,True
72268073,76561198418753570,0,6,2991,0,2330,2022-05-22,koreana,"업데이트    안 하네 어떻게 스토리를  개월동안 추가를 안 하냐",2020-07-08,2020-07-08,False,115,12,0.855728507041931152,4,True,False,True
128542231,76561198123223438,0,14,138,0,138,2022-12-14,koreana,"친구 명이서 하다가 문득 든 생각이다한새끼는 영웅병이 걸려서 상어랑 맞다이를 뜨고한새끼는 배에서 배고프다고 징징거린다나만 혼자 오은영박사 체험을 하고있다 이 씨발새끼들아 보고있냐 ",2022-12-14,2022-12-14,False,242,424,0.834788024425506592,1,True,False,False
42362515,76561198012755185,0,20,147,0,147,2018-06-01,koreana,"초반에 재밌었지만 어느 정도 하면 의미가 없어지는 그러니까 컨텐츠에 비하여 가격이 비싸다 느껴졌다 ",2018-05-29,2018-05-29,False,61,3,0.818131566047668457,0,True,False,True
113106918,76561198209242056,51,4,1409,0,1393,2022-09-28,koreana,"업뎃 좀 해라 인간적으로 너무한거 아니냐",2022-03-31,2022-03-31,False,47,0,0.776380777359008789,0,True,False,True
101291982,76561198337707886,0,3,2547,0,2198,2022-07-29,koreana,"업데이트 언제함   ",2021-10-19,2021-10-19,False,36,2,0.775735318660736084,0,True,False,True
43328683,76561197987929136,0,24,2117,0,557,2020-11-14,koreana,"현재까지 컨텐츠 부족입니다      원정도 게임 이라 느껴집니다 지금 사지 마시고 할인하시면 그때 구매하세요 ",2018-07-06,2018-07-06,False,51,2,0.769169807434082031,2,True,False,True
87098825,76561198832905550,79,3,1766,0,274,2022-07-19,koreana,"개 씨발련들이 지들이 하자면서 다 롤하러가노",2021-02-20,2021-02-20,False,183,278,0.748746037483215332,12,True,False,True
70775752,76561198119878254,13,1,3404,0,1173,2024-03-20,koreana,"패치해 제발 빡대가리들아",2020-06-14,2020-06-14,False,34,4,0.69294583797454834,0,False,False,True
108756384,76561198126587263,0,22,1733,0,1443,2022-08-14,koreana,"이 게임을 했던게 몇년전 같은데 왜 아직도 앞서 해보는 게임이죠  이 게임만 시간이 느리게 가나요 ",2022-01-25,2022-01-25,False,32,4,0.687249481678009033,0,True,False,True
107105262,76561198402250153,0,33,23302,0,15542,2023-11-11,koreana,"거의    시간을 했지만 이렇게 업데이트가 느린게임은 처음임 다른 얼리엑세스게임은 패치라도 자주 해주는데 이건   아무리 개발자인원이 적다고 했지만 이렇게 잘팔린게임인데 개발자를 추가도 안하고 맨날 이상한 만우절장난이라는지 돌고래 보호 어찌고 라든지 제발좀 새로운 스토리나 몹좀 추가해줘라 진짜                                                                                                            컨텐츠가 없어서 다른 뉴비들 도와주러 다니는데 제발좀 복사 버그좀 작작 써라생존게임인데 그놈의 복사 버그 써놓고 자기 칭찬해달라는 얘들은 도대체 뭐냐물갈퀴 여러개 끼는 버그는 금방 고쳤으면서 초반부터 있었던 아이템 복사버그는 아직도 안고치는 개발진들 에휴 이딴게임에    시간 날린게 참",2022-01-02,2024-03-04,False,21,1,0.679079592227935791,0,True,False,True
122872220,76561198402144633,37,17,726,0,726,2022-07-17,koreana,"혼자하면 재미없어요   ",2022-09-27,2022-09-27,False,18,5,0.660543739795684814,0,True,False,False
111399237,76561198109085774,70,28,2295,0,1042,2023-08-20,koreana,"래프트 하실     폐사 리셋다른 친구 래프트 하실     폐사리셋친구에 친구 패프트 하실     폐사 씨발",2022-03-03,2022-03-03,False,8,5,0.635761559009552002,0,True,False,True
54675058,76561198173755809,75,6,7305,0,2844,2023-07-04,koreana,"  상어가 뗏목 중앙꺼 물어뜯음 미친새끼가    템 버릴 때 가끔 공중에서 멈춰서 분해되버리는데 그것때문에 멀티플에서템 버릴 때 존나 조마조마함   개발중인 과정인데 업뎉이 매우매우 느리고 그것조차 신박한 업데이트를 안함          수정 느리지만 대규모 업뎉으로 스토리가 많이 진전되었따 그러나  아이템이 못견디겠다는 듯이공중분해되버리는 버그는 여전하다  할인할 때 사는 걸 추천 ",2019-08-18,2020-03-04,False,36,23,0.608540654182434082,1,True,False,True
85168941,76561198127201800,1303,32,1285,0,1100,2021-07-25,koreana,"루즈해서 잠이온",2021-01-23,2021-01-23,False,27,8,0.605147480964660645,1,True,False,True
94415574,76561198153281387,220,112,37,0,9,2021-06-26,koreana,"게임은 재밌지만 설명이 불친절해서 비추 눌렀습니다 ",2021-06-26,2021-06-26,False,8,0,0.604790389537811279,0,True,False,True
75598073,76561198868827585,0,4,9055,0,5228,2022-09-11,koreana,"업데이트 언제해 미친년아",2020-09-07,2020-09-07,False,113,53,0.600345492362976074,1,False,False,True
106503686,76561197990145680,0,12,3217,0,543,2024-03-03,koreana,"   말도 안되는 피격판정  주인공은 물과 음식을 하루에   을 먹어치움   평화 난이도 제외하고 동물이 사는 섬에 도착   돌진하는 멧돼지  돌 던지는 독수리 새끼 피하기   템 줍기 무한반복   재미는 있음  그러나 얼리액세스로 나온지 몆 년이 지났는데도 하는 내내 버그가 나온다    생각없이 꾸미는 재미는 있는데  스토리 좀 하고 재료수급으로 바다 쓰레기 모으고  섬 찾아가서 이것저것 가져오는 것만 사실상 무한반복  이런 종류의 게임은 하다보면 한계가 있으니 어쩔 수 없는 듯   재미를 느끼는 것은 상대적이니까 뭐라 못하겠는데  초반에 좀 재밌고 뒤로가면 똑같은 노가다  정가에 사지말고      혹은    이상일 때 사세요 ",2021-12-26,2021-12-29,False,5,0,0.60000002384185791,0,True,False,True
44234879,76561198351191718,0,2,4598,0,819,2022-04-26,koreana,"구조되는줄 알고 조난자 느낌으로 열심히  노저었더니 돌아오는건 사진  장",2018-08-19,2018-08-19,False,8,9,0.593820691108703613,0,True,False,True
42210211,76561198173891022,0,86,84,0,84,2018-05-24,koreana,"상어의 반란",2018-05-24,2018-05-24,False,11,14,0.577626824378967285,4,True,False,True
65064666,76561198840841792,551,154,2829,0,1334,2021-12-31,koreana,"뭔 벌집같은거 업뎃하지말고 다른 챕터나 빨리 달라고 히바    ",2020-03-15,2020-03-15,False,5,0,0.574634969234466553,0,True,False,True
42235627,76561198410796147,0,1,7091,0,749,2023-03-19,koreana,"혼자서 생각보다 오래 게임을 해본 것 같습니다 예전에 몇메가 안되는 버전으로 해봤을 때는 정말 뭔가 할게 없었는데 지금은 섬도 생기고 중간중간 아이템 얻을 수 있는 버려진 뗏목 도 있고 재미있는 요소들이 많이 생겼더라고요   나중에는 무기같은 것들도 더 많이 생기고 공격하는 상어 종류라던가 그런 것도 달라지면 좋을 것 같아요그런데 게임을 하다보니 약간의 버그들이 있는 것 같아요 상어가 막 벽 뚫고 다니고 또 상자를 한  개인가 만들어서 그런가 상자가 안열려요      버그인 것 같아요 너무 치명적이에요그래서 상자 자리를 옮기면 되려나 싶어서 제거 눌렀더니 아이템은 다 사라지는 것 같고 상자 다시 설치해도 제기능을 못해요현제      원으로 되어있는데 가격이 많이 비싼 편인 것 같아요아직 완전히 출시를 한게 아니니 그럴 수는 있지만 많은 보수가 좀 필요 할 것 같아요현재는 만원정도면 적당한 가격인 것 같아요 친구들한테 추천해주고 같이 해볼까 했는데 컨텐츠도 많이 없는 느낌에 가격도 좀 쌔서 추천하기가 좀 애매하네요   ",2018-05-25,2018-05-25,False,10,1,0.573172867298126221,2,True,False,True
64912930,76561198444373815,0,2,1642,0,419,2023-05-14,koreana,"너무비싸요 ",2020-03-12,2020-03-12,False,38,2,0.572104573249816895,0,False,False,True
113899366,76561198074637765,0,1,2070,0,1047,2023-02-26,koreana,"업뎃좀 해라 ",2022-04-16,2022-04-16,False,4,1,0.571984469890594482,0,False,False,True
73718549,76561198340252577,0,42,629,0,55,2024-04-18,koreana,"대체 어케 하는 건데대체 몰 해야 하는 거냐고 응 ",2020-08-04,2020-08-04,False,6,2,0.571428596973419189,0,True,False,True
55703874,76561198113528704,0,4,3650,0,895,2022-09-01,koreana,"     원어치 게임은 아님",2019-10-22,2019-10-22,False,46,3,0.569847345352172852,0,True,False,True
50302410,76561198078296065,0,271,2308,0,1696,2020-08-17,koreana,"바다 위에서 표류한다는 설정과 배를 직접 만들어나가는 것은 참신함그러나 얼리액세스인걸 감안해도 버그가 너무 많고 조작감도 별로  한글번역 또한 발퀄",2019-04-25,2021-07-05,False,3,0,0.565217375755310059,0,True,False,True
44800447,76561198026926764,0,190,278,0,278,2018-06-23,koreana,"지루한 배경지루한 파밍 방법지루한 상어들",2018-09-19,2018-09-19,False,7,6,0.558671236038208008,0,True,False,True
