term,tf
게임,5634
스테이지,1145
시간,1134
제작,1127
재미,1100
플레이,1063
느낌,920
생각,820
스토리,802
보스,575
플레이어,539
진행,539
사람,529
추천,497
조작,490
요소,425
아이템,413
처음,394
퍼즐,384
기술,376
문제,370
난이도,369
업데이트,361
구매,360
캐릭터,344
전투,344
마지막,340
돈,332
시작,328
공격,322
시스템,299
불편,283
개발자,276
환불,270
그래픽,268
무기,250
이상,249
반복,247
수준,243
서버,241
평가,238
기대,238
초반,233
힘들,228
필요,227
짜증,227
패턴,219
친구,214
할인,204
저장,202
부족,195
회차,192
가격,191
추가,187
이동,187
퀘스트,182
사용,181
이유,178
선택,177
이해,177
소울,172
공포,171
점프,169
중간,167
단점,164
구간,164
친절,163
기본,163
Roguelike,163
모드,160
한글,159
설정,159
주인공,158
사실,155
장르,155
디자인,154
번역,152
노가다,150
장점,150
아쉽,150
모션,149
설명,147
몬스터,146
다음,145
멀티,144
방식,144
액션,142
존재,140
생존,138
레벨,138
쓰레기,137
출시,134
분위기,134
개인,134
의미,133
상태,133
도전,132
월드,131
파밍,130
상황,129
소리,126
방법,124
화면,124
탐험,119
밸런스,119
스트레스,117
마을,117
끝나,116
체력,115
몰입,114
전체,112
작품,112
마음,112
배경,108
멀미,108
버전,107
나중,106
연출,106
패드,105
인지,104
자신,104
해결,104
시점,104
자원,103
넘어가,101
특정,100
만원,100
실망,98
기분,96
지도,95
공략,95
능력,95
기능,93
다크,93
개발,91
나가,91
회피,91
혼자,90
머리,90
데미지,90
메트로,90
거지,88
취향,88
장비,88
지원,88
경험,87
영상,86
시리즈,86
재료,85
리뷰,85
전작,85
올라가,85
키보드,85
메인,85
관련,84
정식,83
제한,83
모바일,83
수도,82
후반,82
사지,81
판정,81
속도,81
배치,81
던전,81
강제,81
기준,81
클릭,81
컨셉,81
업그레이드,81
대체,79
버튼,79
대화,79
타격감,78
마우스,78
내용,77
나서,76
위치,76
돌아가,76
효과,76
과정,75
방향,75
건물,75
강화,75
오브젝트,75
단계,74
매력,74
구성,74
거리,73
최적화,73
삭제,73
옵션,73
스컬,73
지나,72
상호작용,72
사망,72
흥미,72
발생,72
해금,72
만나,72
그리,71
그러,70
긍정,70
보니,69
특성,67
스포일러,67
귀신,67
종류,66
프레임,66
수집,66
상자,65
사서,65
포인트,65
좀비,65
순간,64
사운드,64
기믹,64
나무,64
수정,63
오류,63
의도,63
오픈,63
불합리,63
구조,62
개선,62
현실,62
성격,62
이벤트,61
로딩,60
차이,60
제외,59
해당,59
참고,59
비교,59
제일,59
어려움,59
인해,59
고민,58
카드,58
수위,58
음식,57
더럽,57
해서,57
실행,57
유튜브,57
조절,57
일반,57
하루,56
모습,56
달리,56
변경,56
타이밍,56
편의,55
완성,55
일부,55
등장,55
지랄,55
하면,54
정신,54
공식,54
조합,54
회복,54
음악,54
상점,54
계속,53
중반,53
골드,53
본인,52
초기,52
확인,52
대사,52
마라,51
비싸,51
후반부,51
보상,51
구현,51
행동,51
날아가,50
한번,50
최종,50
레이,50
포기,50
관리,50
조건,50
설치,49
성장,49
최악,49
설계,49
신경,49
요구,49
사기,49
랜덤,49
무한,48
방치,48
확률,48
파일,48
라면,48
기억,48
입장,48
운영,48
정보,48
요리,48
행성,48
시도,47
문제점,47
온라인,47
함정,47
지형,47
공간,47
인생,47
영어,47
너프,46
표시,46
무료,46
서브,45
현상,45
발전,45
표현,45
피지컬,45
한국,45
원거리,45
현재,44
정가,44
컴퓨터,44
나머지,44
인물,44
적용,44
결론,44
결말,44
한국어,44
힌트,44
자동,43
이용,43
특징,43
로봇,43
결과,43
옛날,43
이전,42
전략,42
활용,42
건설,42
비주얼,42
정상,42
만족,42
스킵,42
우주,42
망치,42
안함,41
피격,41
얼마,41
진짜,41
인터페이스,41
실수,41
세상,41
아래,41
할거,41
이제,41
화이트데이,41
상대,40
인가,40
목표,40
아니,40
의문,40
완성도,40
유발,40
지루함,40
버프,40
하프라이프,40
볼륨,39
싱글,39
자유도,39
필드,39
게이머,39
바닥,39
아트,39
사이버펑크,39
해골,39
아쉬움,39
인간,38
실패,38
시대,38
일어나,38
동시,38
물건,38
연결,38
대가리,37
얘기,37
요즘,37
고통,37
괴물,37
후회,37
최소한,37
전부,37
원래,37
개성,37
소환,37
하지,36
장난,36
이하,36
시야,36
접속,36
환경,36
지게,36
집중,36
달리기,36
회사,36
줄이,36
불가,36
사냥,36
긴장감,36
바람,35
겁나,35
스타일,35
마법,35
죽음,35
이름,35
마찬가지,35
끝내,35
요약,35
진심,35
제작진,35
기존,35
최대,35
그때,34
방해,34
근접,34
인터넷,34
허무,34
낭비,34
적응,34
고정,34
있다,34
강요,34
파악,34
한대,34
해도,34
컨트롤러,34
그런지,34
동료,34
마법사,34
연속,34
성의,34
루트,34
티어,33
달성,33
잘못,33
감성,33
플랫폼,33
무적,33
도움,33
트리,33
성취감,33
진단,33
바다,32
동물,32
인칭,32
유지,32
진입,32
고려,32
떠나,32
시뮬레이터,32
방어,32
정지,32
도구,32
천원,32
도둑,32
벗어나,31
도중,31
범위,31
한정,31
엉망,31
트레일러,31
끊기,31
종료,31
최고,31
그림,31
내려가,31
흡수,31
추리,31
예전,30
당장,30
유도,30
개판,30
포탈,30
가치,30
하드,30
세팅,30
디아블로,30
조차,30
증가,30
주민,30
마나,30
원작,30
한계,29
대로,29
필수,29
제작사,29
구역,29
가시,29
포함,29
방송,29
최소,29
한국인,29
한판,29
좋아서,29
커서,29
지점,28
목적,28
기간,28
완전,28
작동,28
분량,28
성능,28
없애,28
수록,28
부실,28
언어,28
고어,28
기계,27
성공,27
가방,27
그지,27
파트,27
트라이,27
최근,27
부정,27
로그,27
기가,27
정작,27
중국인,27
진화,27
나이트,27
자유,27
원숭이,27
소모,26
회수,26
한방,26
작성,26
반응,26
가요,26
한참,26
주변,26
가면,26
권장,26
구분,26
텍스트,26
시체,26
에선,26
실력,26
세계관,26
통과,26
계단,26
다시,26
생산,26
이것저것,25
반대,25
크기,25
채집,25
베타,25
모험,25
인식,25
후속작,25
방패,25
나비,25
연습,25
로만,25
생각나,25
없어,25
오리,25
공격력,25
시너지,25
골렘,25
물리,25
발매,25
구림,25
업적,25
카메라,25
리메이크,25
농사,25
줄어들,24
일정,24
안나,24
소재,24
각종,24
완료,24
탈출,24
납득,24
고생,24
점수,24
경직,24
이면,24
장애물,24
대신,24
전환,24
물약,24
명작,24
리듬,24
철거,24
공중,23
도착,23
하위,23
모자라,23
근처,23
사이,23
한마디,23
애정,23
대비,23
시즌,23
적의,23
검색,23
미션,23
열쇠,23
디펜스,23
타워,23
연구,23
중세,23
이식,23
잠입,23
복사,22
무시,22
과거,22
부활,22
체감,22
사고,22
횟수,22
러스트,22
피드백,22
후기,22
오브,22
장치,22
화가,22
주의,22
유료,22
메뉴,22
판단,22
획득,22
남은,22
특색,22
정해진,22
마리,22
비밀,22
자막,22
작업,22
체험,21
칭찬,21
리셋,21
액세스,21
기타,21
증발,21
히트,21
다수,21
직전,21
입력,21
완벽,21
파괴,21
위험,21
라이트,21
억지,21
준비,21
감동,21
미니게임,21
협동,21
깊이,21
폰트,21
와서,21
쓸모,21
해보면,21
수단,21
해석,21
감사,21
전개,21
림보,21
경영,21
양심,21
낚시,20
하네,20
찾아가,20
박스,20
수치,20
데이터,20
잡기,20
가이드,20
간다,20
상승,20
여기저기,20
차지,20
어이,20
데스,20
시나리오,20
공장,20
높이,20
조준,20
추억,20
생성,20
페이지,20
콘솔,20
인줄,20
다양성,20
대기,20
나타나,20
아이디어,20
특수,20
리얼,20
방향키,20
코드,20
주제,20
라인,20
놀라,20
약간,19
조정,19
화나,19
주기,19
에러,19
선물,19
상위,19
보통,19
감상,19
직업,19
도시,19
형태,19
꺼내,19
빈약,19
스윙,19
조선,19
상관,19
갯수,19
하기,19
반면,19
당시,19
중국,19
채팅,19
계정,19
기회,19
어거지,19
개념,19
병맛,19
해상도,19
육성,19
상당,19
영화,19
속성,19
타격,19
하드코어,19
프로,19
탐색,19
경비,19
환생,19
노드,19
접근,18
조각,18
먹이,18
마다,18
가능,18
경험치,18
단어,18
냄새,18
실제,18
기획,18
제시,18
기도,18
이도,18
데모,18
창고,18
도적,18
인기,18
아이,18
전달,18
커뮤니티,18
레이드,18
기반,18
등급,18
동작,18
치킨,18
일본,18
절반,18
단서,18
미라,18
성우,18
우주선,18
엔진,18
함선,18
뉴비,17
식량,17
사양,17
심해,17
샌드박스,17
테크,17
총알,17
배려,17
메타,17
표기,17
전설,17
예시,17
대시,17
종일,17
장면,17
장착,17
마무리,17
다운,17
하늘,17
의지,17
얼굴,17
처리,17
테스트,17
마스터,17
카운터,17
부재,17
고전,17
안내,17
형식,17
소비,17
사면,17
손가락,17
문서,17
매우,17
스페이스,17
웨이브,17
장벽,17
힐링,17
박자,17
동선,17
가가,16
다음날,16
리스크,16
한데,16
예상,16
디테일,16
모름,16
마인크래프트,16
하나로,16
때려,16
기사,16
구경,16
까지,16
이러,16
연타,16
인내심,16
인정,16
평소,16
뺑뺑이,16
미로,16
솔로,16
사건,16
전쟁,16
간의,16
비추,16
이새끼,16
파고들,16
사설,16
이속,16
나레이션,16
무리,16
시뮬레이션,16
다리,16
슬롯,16
세이브,16
흐름,16
어리,16
덩어리,16
분이,16
연기,16
보석,16
프레디,16
의욕,15
테라리아,15
앞으로,15
사막,15
댓글,15
