term,tf-idf
게임,4677.673387507981
스테이지,2474.6208845600368
제작,2239.2222801980197
시간,2194.782471796674
플레이,2157.2284012266614
느낌,1977.8870134785952
재미,1929.2601778557307
스토리,1925.7556767093665
생각,1786.3966043457349
보스,1655.6905150624884
플레이어,1479.267497825035
진행,1410.2917319857752
사람,1339.954353931345
아이템,1323.3690378923768
조작,1283.557078035679
기술,1250.1145660250181
요소,1242.4369246858835
추천,1215.5394621175403
퍼즐,1204.3669167786602
난이도,1086.3361057050824
전투,1080.6538054872685
처음,1079.9774203319776
문제,1078.6428230757313
공격,1068.6193829614258
캐릭터,1053.7913831690944
업데이트,1036.6763445831284
구매,1031.0247283644367
돈,994.4374688425946
마지막,969.8449603934741
시스템,966.2730253157104
시작,962.9100866368534
무기,909.2868667558959
서버,897.5222814071843
불편,887.5933266884398
개발자,868.440775958731
그래픽,826.0577287013394
반복,803.776338047567
환불,799.4179992906053
이상,793.8611144969444
수준,786.6525771634645
회차,771.4406328079442
기대,765.2064275574817
패턴,764.3461955918114
초반,758.2181650408223
평가,756.2724027595442
필요,749.2532773013381
짜증,742.595908674882
저장,720.0950146996794
힘들,715.0928568373296
친구,714.1271751586746
퀘스트,702.5729653374783
사용,679.0776779372139
할인,672.1270609560415
선택,670.8141092189509
이동,668.0778728806844
소울,667.5912415361275
추가,662.3235727100014
부족,660.5988884414402
구간,658.9388738567857
공포,658.3377275526841
가격,642.1504377647246
점프,642.1436210121096
중간,631.3014678809309
로그라이크,625.8664921750144
모드,617.6465629340469
이해,613.9797509401733
이유,612.5038006813181
번역,603.4843708599226
주인공,601.9039534883705
몬스터,593.9178359349415
기본,590.1607609067968
설정,586.4620810643703
단점,585.907867125306
장르,581.5306081782771
한글,580.9787790690544
디자인,564.0196523512125
친절,558.6705905747668
노가다,557.2663512739944
사실,554.9700791187909
액션,552.669639764637
모션,552.2149104380698
설명,551.5161251755273
생존,551.1474927127996
존재,543.3882198549876
도전,540.3955747765474
멀티,538.921149506123
방식,537.5939511710139
장점,537.0678185020557
아쉽,535.8913418829019
다음,531.0574648761417
파밍,528.830949805085
레벨,523.0076105774872
월드,521.640421884306
쓰레기,519.2177003559111
의미,509.32607483624827
상태,509.32607483624827
출시,507.84796969118315
마을,506.6444737672729
분위기,502.74259029605895
상황,502.0731234481562
소리,498.8001174850318
체력,494.2130548474619
탐험,490.3483198755737
개인,489.62991443555535
방법,482.6129248648943
화면,474.8604005992089
작품,474.3182603912708
자원,473.38777477160306
