,게임,플레이,시간,생각,스토리,보스,난이도,사람,추천,느낌,무기,재미,아이템,진행,요소,퍼즐,공격,도전,캐릭터,스테이지,그래픽,업데이트,처음,전투,친구,시작,회차,한글,모드,단점,조작,발언,추가,필요,구매,사용,플레이어,부족,시스템,문제,전작,레벨,존재,퀘스트,과제,이상,소울,초반,멀티,가격,분위기,주인공,파밍,액션,선택,개인,공포,패턴,마을,중간,장점,평가,사실,기본,방식,기대,타워,탐험,번역,불편,수준,시리즈,반복,생존,마지막,장비,작품,이동,몰입,세일,마법,공략,배경,메트로,설정,마음,체력,Roguelike,다음,노가다,상황,개발자,디자인,나무,장르,점프,설명,이해,상태,할인
게임,0.0,849.0,722.0,708.0,547.0,311.0,519.0,442.0,624.0,414.0,196.0,392.0,229.0,346.0,343.0,290.0,184.0,260.0,270.0,185.0,345.0,251.0,344.0,211.0,203.0,275.0,130.0,187.0,142.0,283.0,226.0,6.0,207.0,241.0,228.0,193.0,149.0,182.0,216.0,197.0,116.0,174.0,170.0,139.0,163.0,194.0,120.0,197.0,138.0,219.0,197.0,166.0,131.0,160.0,137.0,208.0,155.0,132.0,97.0,131.0,203.0,168.0,195.0,165.0,158.0,197.0,58.0,131.0,116.0,149.0,149.0,112.0,134.0,119.0,141.0,100.0,101.0,118.0,146.0,104.0,65.0,111.0,143.0,105.0,124.0,154.0,86.0,72.0,130.0,100.0,141.0,134.0,125.0,47.0,135.0,80.0,129.0,141.0,104.0,109.0
플레이,849.0,0.0,480.0,374.0,324.0,183.0,302.0,213.0,301.0,226.0,120.0,209.0,137.0,209.0,200.0,146.0,123.0,139.0,164.0,111.0,205.0,130.0,190.0,117.0,96.0,145.0,103.0,95.0,80.0,161.0,134.0,4.0,143.0,148.0,146.0,129.0,113.0,105.0,131.0,131.0,81.0,107.0,108.0,76.0,89.0,127.0,72.0,116.0,90.0,123.0,122.0,107.0,70.0,100.0,89.0,130.0,65.0,86.0,52.0,84.0,124.0,98.0,112.0,104.0,112.0,114.0,16.0,66.0,67.0,96.0,91.0,62.0,93.0,52.0,90.0,67.0,67.0,70.0,83.0,77.0,39.0,67.0,78.0,54.0,77.0,93.0,56.0,46.0,77.0,50.0,87.0,72.0,79.0,30.0,77.0,50.0,78.0,80.0,67.0,62.0
시간,722.0,480.0,0.0,324.0,262.0,170.0,244.0,231.0,262.0,203.0,100.0,189.0,129.0,168.0,176.0,113.0,115.0,142.0,135.0,109.0,160.0,113.0,187.0,106.0,73.0,132.0,79.0,94.0,80.0,154.0,111.0,4.0,114.0,137.0,118.0,106.0,87.0,103.0,100.0,110.0,58.0,98.0,95.0,86.0,101.0,118.0,51.0,106.0,59.0,126.0,99.0,89.0,74.0,75.0,84.0,109.0,43.0,82.0,52.0,67.0,113.0,86.0,110.0,93.0,73.0,94.0,14.0,59.0,65.0,91.0,93.0,46.0,87.0,43.0,96.0,62.0,57.0,73.0,69.0,65.0,30.0,64.0,62.0,38.0,64.0,78.0,51.0,33.0,79.0,59.0,75.0,63.0,61.0,29.0,71.0,48.0,66.0,76.0,64.0,68.0
생각,708.0,374.0,324.0,0.0,261.0,165.0,246.0,221.0,250.0,217.0,106.0,176.0,112.0,156.0,181.0,108.0,112.0,124.0,142.0,98.0,160.0,104.0,170.0,106.0,56.0,137.0,72.0,72.0,68.0,146.0,105.0,3.0,113.0,127.0,106.0,101.0,86.0,108.0,117.0,114.0,53.0,85.0,93.0,76.0,76.0,98.0,67.0,112.0,52.0,101.0,95.0,91.0,61.0,80.0,83.0,115.0,49.0,73.0,62.0,59.0,110.0,99.0,102.0,93.0,96.0,100.0,17.0,59.0,60.0,79.0,71.0,53.0,66.0,46.0,87.0,57.0,57.0,61.0,75.0,46.0,33.0,61.0,78.0,53.0,66.0,88.0,53.0,33.0,73.0,41.0,83.0,73.0,64.0,25.0,74.0,45.0,76.0,82.0,71.0,52.0
스토리,547.0,324.0,262.0,261.0,0.0,133.0,230.0,156.0,220.0,171.0,75.0,143.0,90.0,174.0,148.0,142.0,72.0,101.0,120.0,69.0,165.0,63.0,118.0,96.0,50.0,85.0,62.0,62.0,65.0,127.0,104.0,3.0,79.0,91.0,73.0,88.0,81.0,64.0,82.0,89.0,72.0,72.0,69.0,58.0,66.0,73.0,56.0,73.0,41.0,85.0,102.0,99.0,46.0,84.0,72.0,105.0,49.0,60.0,31.0,62.0,96.0,69.0,79.0,69.0,75.0,71.0,8.0,43.0,54.0,72.0,75.0,46.0,52.0,19.0,77.0,34.0,61.0,47.0,93.0,45.0,17.0,48.0,77.0,32.0,51.0,72.0,35.0,16.0,50.0,25.0,61.0,43.0,63.0,17.0,57.0,32.0,58.0,92.0,41.0,48.0
보스,311.0,183.0,170.0,165.0,133.0,0.0,186.0,96.0,141.0,120.0,88.0,111.0,89.0,99.0,106.0,48.0,101.0,76.0,88.0,84.0,75.0,47.0,98.0,81.0,27.0,70.0,67.0,33.0,39.0,93.0,60.0,0.0,65.0,72.0,51.0,76.0,53.0,51.0,72.0,60.0,41.0,78.0,63.0,31.0,46.0,55.0,84.0,61.0,30.0,52.0,52.0,54.0,38.0,69.0,44.0,53.0,5.0,111.0,31.0,41.0,66.0,49.0,57.0,71.0,53.0,47.0,7.0,51.0,28.0,51.0,47.0,39.0,50.0,8.0,64.0,45.0,31.0,44.0,24.0,18.0,34.0,48.0,31.0,58.0,35.0,49.0,54.0,32.0,44.0,22.0,40.0,29.0,50.0,13.0,44.0,46.0,45.0,51.0,32.0,27.0
난이도,519.0,302.0,244.0,246.0,230.0,186.0,0.0,148.0,197.0,155.0,85.0,152.0,94.0,146.0,153.0,125.0,93.0,118.0,114.0,97.0,147.0,68.0,118.0,82.0,51.0,90.0,59.0,63.0,66.0,121.0,97.0,0.0,87.0,108.0,74.0,97.0,64.0,61.0,85.0,74.0,61.0,83.0,71.0,47.0,65.0,71.0,66.0,75.0,50.0,91.0,95.0,64.0,40.0,79.0,53.0,84.0,27.0,74.0,31.0,55.0,103.0,75.0,60.0,86.0,75.0,61.0,23.0,41.0,34.0,69.0,70.0,49.0,55.0,17.0,58.0,40.0,52.0,46.0,53.0,45.0,26.0,54.0,56.0,58.0,52.0,58.0,44.0,40.0,46.0,27.0,53.0,51.0,60.0,13.0,56.0,43.0,49.0,57.0,41.0,36.0
사람,442.0,213.0,231.0,221.0,156.0,96.0,148.0,0.0,182.0,117.0,65.0,114.0,83.0,113.0,111.0,75.0,73.0,74.0,100.0,51.0,94.0,73.0,111.0,65.0,53.0,103.0,38.0,50.0,52.0,90.0,74.0,4.0,69.0,85.0,73.0,60.0,62.0,69.0,75.0,81.0,38.0,53.0,69.0,50.0,45.0,78.0,34.0,60.0,52.0,61.0,69.0,62.0,43.0,41.0,52.0,72.0,33.0,42.0,44.0,42.0,69.0,63.0,67.0,64.0,57.0,61.0,6.0,42.0,36.0,57.0,64.0,30.0,54.0,41.0,56.0,35.0,29.0,46.0,52.0,28.0,15.0,40.0,48.0,27.0,47.0,63.0,27.0,22.0,54.0,34.0,61.0,48.0,38.0,21.0,45.0,31.0,49.0,60.0,45.0,34.0
추천,624.0,301.0,262.0,250.0,220.0,141.0,197.0,182.0,0.0,159.0,84.0,141.0,97.0,140.0,149.0,105.0,80.0,105.0,124.0,74.0,137.0,83.0,129.0,100.0,83.0,92.0,69.0,71.0,57.0,122.0,94.0,3.0,96.0,95.0,108.0,83.0,78.0,66.0,87.0,76.0,41.0,74.0,61.0,51.0,63.0,89.0,59.0,75.0,53.0,104.0,91.0,59.0,52.0,67.0,59.0,97.0,51.0,65.0,40.0,58.0,90.0,72.0,87.0,65.0,80.0,73.0,16.0,54.0,51.0,64.0,75.0,53.0,55.0,41.0,69.0,30.0,36.0,49.0,55.0,55.0,28.0,52.0,44.0,58.0,51.0,63.0,41.0,33.0,49.0,34.0,57.0,50.0,51.0,24.0,52.0,41.0,51.0,64.0,50.0,53.0
느낌,414.0,226.0,203.0,217.0,171.0,120.0,155.0,117.0,159.0,0.0,79.0,120.0,90.0,121.0,118.0,76.0,75.0,58.0,93.0,62.0,101.0,69.0,103.0,86.0,37.0,86.0,52.0,50.0,41.0,89.0,70.0,2.0,80.0,74.0,59.0,76.0,58.0,78.0,80.0,70.0,54.0,64.0,69.0,56.0,37.0,59.0,52.0,71.0,27.0,75.0,70.0,53.0,42.0,58.0,61.0,70.0,31.0,54.0,40.0,45.0,64.0,62.0,71.0,67.0,50.0,64.0,12.0,52.0,33.0,56.0,51.0,35.0,35.0,30.0,49.0,38.0,39.0,41.0,50.0,23.0,23.0,35.0,52.0,36.0,38.0,52.0,35.0,26.0,49.0,29.0,56.0,39.0,51.0,9.0,54.0,32.0,50.0,48.0,48.0,37.0
