term,tf
게임,8321
플레이,2020
시간,1879
생각,1424
스토리,1253
난이도,1058
추천,1002
보스,965
사람,941
느낌,752
재미,707
진행,628
요소,611
무기,586
퍼즐,578
그래픽,574
아이템,552
도전,538
업데이트,537
처음,534
캐릭터,523
공격,484
친구,481
스테이지,467
시작,458
단점,450
전투,448
한글,435
필요,417
조작,408
추가,402
구매,393
모드,385
회차,377
사용,365
시스템,362
문제,357
부족,354
초반,337
이상,334
레벨,333
가격,333
플레이어,330
과제,321
존재,319
분위기,319
전작,319
멀티,315
퀘스트,308
개인,299
액션,296
주인공,295
소울,292
장점,286
파밍,286
선택,283
사실,274
기대,274
공포,272
평가,266
패턴,262
기본,258
중간,256
방식,255
불편,243
마을,241
번역,236
수준,236
탐험,234
마지막,230
반복,222
몰입,219
시리즈,215
마음,212
생존,210
배경,208
작품,206
세일,206
이동,205
공략,203
설정,202
다음,202
장비,201
타워,201
발언,199
최고,196
이해,195
개발자,195
상황,194
메트로,194
장르,191
설명,189
할인,189
디자인,187
노가다,186
자신,185
혼자,184
체력,181
상태,179
마법,179
전체,178
Roguelike,177
출시,176
수집,174
점프,173
지원,173
능력,172
포인트,170
월드,169
몬스터,168
다크,162
만족,159
좀비,159
구간,158
나무,157
타격감,157
기능,155
머리,155
리뷰,153
이번,153
세이브,153
방법,151
경험,150
지금,148
나중,147
연출,146
디펜스,146
정신,145
업그레이드,144
제작,141
후반,140
매력,138
어려움,138
카드,138
소리,137
기준,137
음악,137
제일,136
지도,134
조합,133
강화,133
취향,132
버전,132
종류,131
영상,130
화면,130
컨트롤,130
모습,129
해결,128
세계,128
재료,127
제외,126
밸런스,126
이유,125
한국어,124
달성,122
모션,121
순간,121
회복,121
발전,121
회피,121
특정,120
버튼,120
물건,119
배치,119
컨셉,118
최적화,116
데미지,116
개선,114
패드,114
관련,113
확인,113
의미,113
이벤트,113
성장,112
특성,112
구성,112
메인,111
비교,111
짜증,111
방어,111
스타일,110
거리,110
시점,110
그림,110
보니,109
자원,109
등장,109
내용,109
클릭,108
최종,108
속도,108
성격,108
신경,107
위치,107
서버,107
행동,107
모험,106
건물,105
본인,105
기술,105
볼륨,105
현실,104
효과,104
상자,103
사운드,103
영웅,103
참고,102
환불,102
인지,101
방향,101
오픈,101
조절,100
옵션,100
기억,100
이용,99
개발,99
아아,99
우주,99
세계관,98
스트레스,98
결론,98
고민,98
마우스,98
음식,97
감사,97
후반부,97
활용,96
수도,96
인생,95
만원,95
흥미,95
해금,94
단계,94
인물,94
기분,93
구입,93
자동,92
긴장감,91
일반,91
주민,91
완벽,90
편의,90
표시,90
발견,89
세상,88
중반,88
아쉬움,88
과정,88
설치,87
정가,87
한국,87
정보,87
하면,86
일부,86
제한,86
목표,85
대신,85
무료,85
근접,85
아래,84
아트,84
후속작,84
다회,83
수정,83
디아블로,83
라이,82
사서,81
있다,81
컴퓨터,81
인간,81
준비,81
미션,81
던전,80
분량,80
적응,80
필수,80
초기,79
건설,79
결과,79
최대,79
업적,79
플랫,79
영어,79
사냥,78
원숭이,78
특징,78
키보드,78
피지컬,78
차이,77
저장,77
대사,77
구현,76
정식,76
필드,76
라면,76
획득,76
요구,76
상대,76
동물,75
해서,75
자연,75
자유도,75
게이머,75
완료,75
기믹,74
무한,74
공간,74
타이밍,74
킹덤,74
유지,73
한번,73
효율,73
슈팅,73
판정,72
상점,72
트리,72
개성,72
입장,71
해당,71
대비,71
도둑,71
프레임,70
완성,70
발생,70
싱글,70
사양,70
주변,70
장소,70
완전,69
인벤,69
이름,69
이전,68
도움,68
선물,68
요즘,68
원래,68
동시,68
달리기,68
디테일,67
원거리,67
모바일,67
대화,67
절대,67
구조,66
도구,66
사기,66
포함,66
하루,66
변경,66
올해,66
그런지,66
함정,66
각종,65
완성도,65
유튜브,64
직업,64
공식,63
하드,63
특유,63
얼마,63
기존,62
약간,62
스킨,62
탈출,62
똥침,62
포기,61
형식,61
행성,61
계속,60
괴물,60
뉴비,60
상호작용,60
인해,60
시도,60
죽음,60
바닥,59
힐링,59
상당,59
개새끼,59
입문,59
랜덤,59
증가,59
영향,59
언어,59
유물,59
사건,59
중세,59
가치,58
전략,58
후회,57
대체,57
마법사,57
부담,57
서브,57
장면,57
멀미,57
노력,57
열쇠,57
속성,56
주의,56
골드,56
지장,56
적용,56
시뮬레이터,56
어드벤처,56
림보,56
온라인,55
최대한,55
오른쪽,55
필자,55
피해,54
나머지,54
로우,54
원작,54
테라리아,54
최근,54
명작,54
루트,54
성공,53
인상,53
아이,53
자유,53
건축,53
작업,53
제공,53
수단,53
결말,53
해보면,53
시야,53
조건,53
파일,53
스킵,53
전설,52
거지,52
가능,52
진입,52
위주,52
가야,52
보상,52
하드코어,52
왼쪽,52
귀신,52
감성,52
추리,52
리듬,52
바람,51
예전,51
연결,51
움직임,51
구역,51
하기,51
감동,51
적의,50
공중,50
진짜,50
체크,50
목적,50
시즌,50
힌트,50
나이트,49
일본,49
마찬가지,49
사이,49
도시,49
상승,49
실망,49
범위,48
중독,48
곳곳,48
테스트,48
기반,48
파악,48
사랑,48
스포,48
학교,48
로봇,48
시대,48
동굴,48
악마,48
언급,47
강제,47
성능,47
비주얼,47
예상,47
