term,tf-idf
게임,7008.88424976348
플레이,3798.1666510775235
시간,3602.444683941068
생각,2957.3986302430576
스토리,2838.59376989703
보스,2715.4096746115283
난이도,2501.238834556953
사람,2332.5618327737943
추천,2147.1213139951865
느낌,1942.4276575419806
무기,1937.0173144551134
재미,1798.148623680259
아이템,1788.5948190992349
진행,1773.2535883900825
요소,1731.2712539329546
퍼즐,1690.1429443996517
공격,1661.205129618552
도전,1649.8299335093711
캐릭터,1612.0673483623684
스테이지,1600.758135624181
그래픽,1598.696723811067
업데이트,1573.1723974559
처음,1497.4610227260403
전투,1466.8585138819885
친구,1429.1896288264013
시작,1384.8905036457802
회차,1379.3561590462473
한글,1376.791731072606
모드,1373.3185720689307
단점,1354.0136750261752
조작,1310.047966643855
발언,1299.9345241522474
추가,1293.695611595029
필요,1293.358071168877
구매,1266.1639725795317
사용,1256.0715211853721
플레이어,1216.8502197729708
부족,1215.013669183817
시스템,1200.9228689281108
문제,1198.9687324827037
전작,1195.3960529448996
레벨,1174.3750120424584
존재,1158.2611507065321
퀘스트,1142.974264990446
과제,1124.2063900162793
이상,1117.5578741259426
소울,1112.8233483960746
초반,1112.6155751167507
멀티,1092.7171616112812
가격,1077.7536429306008
분위기,1076.7315048720434
주인공,1067.8951701441858
파밍,1064.7584367019176
액션,1060.4632033222504
선택,1053.589641911338
개인,997.9875968170348
공포,996.7264261284821
패턴,990.0124779254387
마을,981.531653550892
중간,964.0998868470178
장점,955.7713713764922
평가,954.3801532728718
사실,944.1622575795709
기본,933.9557759227116
방식,930.1210627407883
기대,919.0728465535866
타워,905.3413950309429
탐험,888.7242271758472
번역,881.4724979445584
불편,874.4300136399063
수준,859.5031581009796
시리즈,840.1481255127259
반복,837.4560061860531
생존,836.4067154723234
마지막,826.4296451360531
장비,811.8648967635504
작품,806.4773226339836
이동,798.1217773344536
몰입,797.5897950174344
세일,790.5676649591696
마법,786.215995041968
공략,784.616535385
배경,778.1631903572036
메트로,775.7356707833939
설정,769.8298506027639
마음,769.753492005595
체력,769.241295084794
로그라이크,750.4445177094796
다음,748.4141753992509
노가다,746.7226344477126
상황,734.3022953255704
개발자,729.5279909598784
디자인,729.3832995400264
나무,729.3065489808253
장르,727.9084230946926
점프,724.9614280909789
설명,722.7896932217062
이해,720.1848865991783
상태,717.1824109766229
할인,716.592416708161
최고,714.9165815576255
능력,714.2795631918541
자신,713.7643439172268
포인트,699.7914873666211
월드,698.7201942826523
지원,693.1427770891383
좀비,691.0589994619966
출시,690.3185519085404
몬스터,690.0653031726811
수집,688.9916387906524
혼자,688.3751299313724
다크,683.6074166767719
전체,678.3649178578811
정신,662.9747286853865
구간,650.3944411995656
카드,649.6743300236399
세이브,641.1508583694784
기능,631.275544814889
이번,631.1845451373214
리뷰,625.7680502985312
타격감,622.8794347574476
방법,621.5794976021165
머리,621.0238754266846
업그레이드,613.4700105666737
만족,613.4515172045355
디펜스,609.036122501232
강화,600.8183591334513
제작,600.6893853465347
연출,599.6996087095919
경험,598.6098448136705
지금,592.977635891286
아아,583.1575601989455
버전,581.3415414012468
나중,579.8518277782123
조합,576.5695920798553
재료,573.7137715033708
소리,572.7913878030655
음악,572.7913878030655
지도,572.2565399623069
후반,568.9928665051021
매력,564.418241445734
영상,560.707005061756
성격,558.5066358213688
회피,556.6983585549153
회복,554.9573213232113
세계,553.4796644735418
어려움,552.911579412145
종류,552.7936517571427
기준,551.114699088625
제일,549.3215221882729
이벤트,547.5906932676896
물건,545.7844730368772
취향,545.7459505639652
해결,542.6943404904711
모습,541.8245612112919
버튼,537.3852670232164
밸런스,536.7862592458396
화면,536.300593907528
컨트롤,535.1346668097691
모션,531.4644435758555
순간,525.9002448735949
데미지,525.5790978734182
한국어,524.4889007043097
배치,524.0882077783967
달성,523.5782015594597
제외,519.7990371719117
방어,519.0400295060963
서버,518.5150812357768
특정,514.994952353567
자원,511.40452781191
최적화,510.8759000192775
발전,510.5956630733914
이유,509.0931813023298
컨셉,505.1630142466708
영웅,505.01865650668316
똥침,504.78987668869985
관련,503.17688081130404
확인,500.386615588592
개선,499.3852181417692
성장,498.72398806076154
패드,496.7644130641535
클릭,493.8018668829086
그림,492.60316143794836
상자,490.01033995499955
특성,488.04924792267707
행동,486.2572140152764
우주,485.4062814967149
시점,484.45128450103897
의미,483.7578017785915
메인,483.69166535193887
최종,483.64674032089476
등장,482.6738150367834
구성,481.85982791107153
건물,480.0851483583833
비교,477.5575080190084
모험,473.3399824714336
짜증,472.88313314514437
위치,472.5204291839182
주민,470.59355425689415
내용,470.13125809024166
현실,469.8128522547288
스타일,469.76283131234146
거리,468.6229247384313
기술,467.55373880696396
음식,464.8112073860389
속도,464.650548342819
효과,461.8089039765714
방향,461.796190325683
본인,461.18815351623823
보니,459.95807665288976
신경,459.20383251526385
오픈,458.9904543508684
환불,455.4780963404361
볼륨,451.74358866662953
참고,450.44003529681925
옵션,450.4186044930064
마우스,448.0794718011578
사운드,444.2524732412375
단계,441.0277579295371
인지,440.115839644557
조절,438.0572088962888
개발,436.0061560509351
해금,435.2413159875903
인물,435.2413159875903
세계관,435.1660825933077
스트레스,435.1660825933077
활용,434.96201203317366
기억,434.62830154842555
후반부,434.3864241770999
구입,432.0096118166672
이용,431.4006745030806
고민,429.29606471836297
결론,423.75786811255546
수도,422.79384829181583
만원,421.8446719016758
설치,421.5963744627345
인생,419.5274838548807
올해,419.1008405382741
흥미,418.38974570544275
감사,417.3250295301244
자동,415.6036769945678
표시,411.50155573575717
근접,410.34482699863355
아트,410.2287559973373
기분,409.5815405326966
정보,409.57729501490337
중반,407.45995539263777
긴장감,405.21324029936875
편의,404.20025670264397
컴퓨터,403.76651446401326
디아블로,403.7640801481347
과정,403.60532459869916
원숭이,403.3659036487664
한국,401.54081616350504
일반,400.7733353599504
완벽,399.642320748956
발견,398.5607397088855
목표,397.4630856578215
미션,397.1505939518577
일부,395.6699077332456
세상,394.0825291503587
제한,390.8235551898483
다회,390.7461550142182
던전,390.69405333079743
대신,388.64035819488174
아쉬움,388.6149324129421
정가,388.49602334919547
무료,387.4515276270289
아래,386.4682819720074
하면,386.23580084919314
슈팅,383.3522326135008
인간,382.6476872044898
준비,382.6476872044898
건설,381.37930979873
업적,381.37930979873
후속작,380.59176052902694
최대,379.95584786401844
라이,378.4637577633036
킹덤,377.196482753044
있다,376.26643609838754
수정,376.0609062370147
사냥,375.1462801695372
달리기,374.184611502801
저장,371.72413739876214
자유도,370.7324315329326
플랫,370.6509880471641
초기,369.40686784668117
결과,369.40686784668117
영어,369.40686784668117
필수,369.23293440322306
스킨,368.5619528938543
분량,368.0650304495308
동물,367.73203143690523
키보드,367.20723001336165
구현,366.8965511987782
적응,365.7791606540064
개새끼,365.555861280467
획득,365.5271447805747
게이머,364.8470603748205
도둑,363.61565961435815
사서,362.73505524067104
특징,361.1576877343835
피지컬,361.1576877343835
상대,359.0274595992744
사양,358.4943122958461
대사,357.6853775256277
차이,356.52746096855805
기믹,355.9080093916122
정식,355.37875894111096
라면,355.37875894111096
공간,354.59824068625653
완료,354.3034140782313
필드,354.2004407643776
요구,351.89723420273265
자연,350.70272263925426
상점,350.25317795982767
모바일,350.0080986623354
판정,348.90734438295266
트리,348.90734438295266
효율,348.5367753509082
장소,347.4602862015953
유지,347.2888817156793
무한,347.1920647530398
타이밍,346.02668633739756
싱글,346.01693609740374
프레임,344.6027465851774
해서,343.98181073752767
해당,342.7586201988586
개성,342.5314997743686
인벤,342.4965678272868
도구,341.3096107797254
발생,339.21547370564844
입장,338.98782260156827
행성,337.88403367193604
한번,335.8593402851969
원거리,333.9797094949245
함정,331.864955099441
주변,331.8402376096006
유물,331.34657006054346
이름,328.2593539504366
대비,326.6577145239586
대화,324.67766768969204
요즘,324.66439347755835
사건,324.66017762743024
완성,324.11587360778003
완전,322.6465048281139
열쇠,322.44133662750164
이전,322.359087963612
선물,322.359087963612
변경,322.32259399790786
도움,320.1293800116486
원래,320.1293800116486
동시,320.1293800116486
디테일,319.8899171028884
구조,319.83173235103993
직업,317.6779759557443
절대,315.42159501147734
림보,314.49843937949885
사기,313.9872081265046
증가,313.20497277541375
각종,312.621900141281
하루,311.7870043888435
그런지,311.7870043888435
중세,311.49470809989185
필자,311.1276055177647
포함,310.713810011306
원작,310.16935432033625
유튜브,307.81233244679976
공식,307.67156699800296
기존,306.4721434005576
하드,306.4715307148492
속성,306.1869190928756
뉴비,303.043785077888
완성도,302.93458749584926
오른쪽,302.6493181272655
골드,302.45220212094995
입문,302.15949179221315
탈출,301.60690324318495
괴물,300.376679323638
특유,299.71506230257256
