term,tf
게임,8321
플레이,2020
시간,1879
생각,1424
스토리,1253
난이도,1058
추천,1002
보스,965
사람,941
느낌,752
재미,707
진행,628
요소,611
무기,586
퍼즐,578
그래픽,574
아이템,552
도전,538
업데이트,537
처음,534
캐릭터,523
공격,484
친구,481
스테이지,467
시작,458
단점,450
전투,448
한글,435
필요,417
조작,408
추가,402
구매,393
모드,385
회차,377
사용,365
시스템,362
문제,357
부족,354
초반,337
이상,334
레벨,333
가격,333
플레이어,330
과제,321
존재,319
분위기,319
전작,319
멀티,315
퀘스트,308
개인,299
액션,296
주인공,295
소울,292
장점,286
파밍,286
선택,283
사실,274
기대,274
공포,272
평가,266
패턴,262
기본,258
중간,256
방식,255
불편,243
마을,241
번역,236
수준,236
탐험,234
마지막,230
반복,222
몰입,219
시리즈,215
마음,212
생존,210
배경,208
작품,206
세일,206
이동,205
공략,203
설정,202
다음,202
장비,201
타워,201
발언,199
최고,196
이해,195
개발자,195
상황,194
메트로,194
장르,191
설명,189
할인,189
디자인,187
노가다,186
자신,185
혼자,184
체력,181
상태,179
마법,179
